??,윽...
나레이션,(쓰러져있던 인형의 마인드맵 재부팅이 끝났다.)
나레이션,(인형은 머리를 흔들면서 자신의 몸을 힘겹게 일으켰다. 대연이 인형을 상냥하게 부축해줬다.)
대연,정말 괜찮나?
인형,그... 그럭저럭... 이요...
인형,여기는 어디죠...?
대연,여기는 대륙간 열차역 맨 끝이에요. 혹시 이름을 알 수 있을까요?
인형,저... 전 콜펜이라고 해요...
나레이션,"(콜펜이라는 인형은 상태가 어느 정도 회복된 뒤, 갑자기 무언가 떠오른 듯 초조한 시선으로 주변을 두리번거리며 급하게 살폈다.)"
콜펜,지휘관님!? 헬레나!?
조휘,헬레나?
강우,지휘관?!
나레이션,(주위에는 인형들 말고 아무도 없었다. 콜펜은 당장이라도 울 것만 같은 표정을 지었다.)
나레이션,"(대연과 강우도 놀란 표정을 지었지만, 그래도 인내심 있게 콜펜이 진정하길 기다렸다.)"
콜펜,마지막에 부점이 달려든 것까진 기억이 나는데...
콜펜,여러분이 콜펜을 구해주신 건가요...?
강우,우리가 여기 왔을 때 부점은 이미 도망간 상태였어. 우리 언니가 네 마인드맵을 재부팅시켜줬고.
콜펜,그런가요... 아무튼 도와주셔서 감사합니다.
대연,"천만에요, 무사해서 다행이에요."
대연,저기... 방금 말씀하셨던 '지휘관님'에 대해서... 자세하게 묘사해 줄 수 있을까요?
콜펜,지휘관님?
콜펜,그건 왜 물어보시나요?
대연,혹시 저희가 아는 분일 수도 있어서요. 맞다면 저희가 어느 정도 도움을 줄 수 있을 거예요.
대연,그 분의 특징을 설명해 주시겠어요?
콜펜,"지휘관님, 인맥이 이 정도셨나..."
나레이션,"(콜펜은 조용히 중얼거렸다. 눈앞의 인형들은 결코 나쁜 인형처럼 보이지 않았고, 당장 도움이 필요하기도 했다.)"
나레이션,(콜펜은 곰곰이 생각한 끝에 간단한 정보를 흘리기로 했다.)
콜펜,"으음... 지휘관님은 저희를 지휘하는 분이고요... 아이, 무슨 당연한 소리를..."
콜펜,아 그렇지. 이렇게 말하면 되겠다. 지휘관님은 사실 현상금 사냥꾼이고요. 커다란 기지차량을 몰고 다니면서 여기저기에서 의뢰를 받고 다녀요. 돈은 별로 못 벌지만...
대연,기지차량...!
대연,혹시 엘모호라는 기지차량인가요?
콜펜,에엣? 그걸 어떻게 알았어요?
나레이션,(대연과 강우는 시선을 교환했다.)
강우,그 불법 조직이 설마...
대연,아무래도 맞나 봐.
대연,"콜펜 씨, 저희는 예전에 그리폰의 지휘관님 밑에서 일했던 인형이에요."
콜펜,그리폰... 지휘관님의 예전 부하예요?
나레이션,"(콜펜의 말을 듣고, 대연은 그녀가 말하는 지휘관이 바로 자신이 알고 있는 그 사람임을 확신했다.)"
대연,"맞아요. 아, 아직 자기소개를 안 했네요."
대연,저는 대연이라고 합니다. 이쪽은 제 여동생인 강우. 저희 모두 예전에 그리폰의 전술인형이었어요.
대연,그리고 이쪽은 조휘. 그리폰 출신은 아니지만 무척 믿음직한 동료랍니다.
나레이션,(강우와 조휘가 손을 들어 가볍게 인사했다.)
대연,그러니 부디 저흴 믿어주세요. 도움을 드릴 수 있어요.
대연,"콜펜 씨, 쓰러지기 전에 무슨 일이 있었는지 말씀해 주실 수 있나요?"
나레이션,"(콜펜은 몇 명의 인형들을 번갈아 바라보다가, 그들의 말을 믿기로 결심하고, 방금 겪은 일을 간단히 설명했다.)"
콜펜,"열차역으로 가던 길에 정체불명의 부대에게 습격당했어요. 그 녀석들이랑 교전하던 중에 갑자기 부점이 나타났고, 아마 그때 부점의 공격으로 의식을 잃은 것 같아요..."
콜펜,"소체가 박살날 거라고 생각했는데, 기능에 전혀 이상이 없어요. 말도 안 돼..."
조휘,방금 전까지 네 근처에 공이 세 개 떠다니고 있었어. 우리가 다가가니까 날아가버렸고.
콜펜,떠다니는 공...
콜펜,헬레나가 구해준 건가?
강우,헬레나?
강우,"아까도 지휘관 말고 그 이름을 말했는데, 헬레나는 누구야?"
강우,"자율 방어 병기라니, 어떻게 그런 고급진 걸 갖고 다녀?"
콜펜,그건... 말 못 해요.
나레이션,(콜펜은 불신을 드러내며 고개를 저었다.)
강우,뭐? 우린 널 구해줬는데!
나레이션,"(대연은 콜펜의 눈빛을 보고, 더 이상 캐물어도 의미가 없다는 걸 깨달았다. 그리고 지금은 그보다 더 중요한 일이 있었기에 다른 질문을 하기로 했다.)"
대연,"일단 그건 잠시 제쳐두고, 지금 지휘관님이 어디에 계시는지 아시나요?"
콜펜,그때 지휘관님은 부점의 공격을 피했어요... 만약 무사하다면 분명 헬레나를 찾으러 갔을 거예요. 어쩌면 두 사람은 지금 같이 있을지도...
대연,두 분의 위치는 알 수 있나요?
콜펜,아... 알 수 있어요!
콜펜,헬레나한테 추적기를 달아놨었어요!
나레이션,"(콜펜이 단말기를 만지작거리자, 단말기가 멀쩡하게 작동했다.)"
콜펜,"휴, 다행이다... 안 고장났어."
콜펜,응...? 헬레나... 바로 근처에 있는데요?
콜펜,그런데 위치가... 지하...?
나레이션,"(인형들이 뭐라 묻기도 전에, 콜펜은 단말기에 나타난 좌표를 향해 뛰어갔다.)"
나레이션,"(일행은 콜펜을 따라갔고, 구멍 난 격리벽을 넘어서 한동안 달리고서야 콜펜은 멈춰 섰다.)"
나레이션,(콜펜이 멈춘 곳 바닥에는 망가진 해치가 있었다.)
나레이션,"(해치는 작은 흙 언덕 뒤에 있었고, 절반이 흙 속에 묻혀 있었다. 멀리서는 아무도 찾지 못할 것이다.)"
나레이션,"(해치를 가려서 숨기고 있던 위장물은 폭발로 산산조각나 여기저기 흩어져 있었고, 영화관 스크린만한 해치는 테두리 부분만 남고 안쪽으로 휘어져 있어, 마치 거대한 힘에 의해 찌그러진 것처럼 보였다.)"
강우,이거... 설마 부점이 이 안으로 도망친 거 아니야?
조휘,지면에도 이상한 점액이 남아있어. 아마 이 안으로 기어들어간 모양인데.
강우,방금 공들도 이쪽으로 날아가지 않았어? 그럼 그것도 이 안에 있는 거 아니야?
콜펜,헬레나가 부점한테 여기로 끌려갔을지도 몰라요. 그래도 방어 시스템이 있으니까 헬레나는 무사할 테지만...
나레이션,(콜펜은 두 손을 꽉 쥐고 최악의 상상을 억누르려 했다. 대연이 콜펜의 어깨를 가볍게 다독이며 진정시켰다.)
대연,"콜펜 씨, 괜찮을 거예요. 지휘관님도 같이 계시잖아요, 그렇죠?"
콜펜,네...
나레이션,"(콜펜은 고개를 끄덕이고, 마음속으로 자신을 다잡으며 침착하게 움직이려고 했다.)"
나레이션,(인형들은 부서진 해치에 다가갔다. 해치 안쪽은 매우 넓은 지하 통로의 입구처럼 보였다.)
강우,입구부터 이런 식이면... 아무리 봐도 정식 시설이 아니잖아!
조휘,밀수범이 격리벽을 지나려고 뚫은 땅굴 같은데...
강우,무슨 땅굴이 이렇게 커?
조휘,"이 정도 크기면 차도 지나갈 수 있겠어. 열차역도 가까운 걸 보면, 아마 꽤 실력 있는 밀수 암상인의 작품일 거야."
강우,암상인이 그 정도로 대단해졌다니...
조휘,암시장에 물건이 그렇게 대규모로 유통되는 게 다 이유가 있지.
나레이션,(분명 우연이 아닐 것이다.)
나레이션,(대연은 철도 경찰이 당부한 말을 떠올렸다. 거기에 지휘관이 연루된 일이니 결코 만만한 상대가 아닐 것이라고 예상했다. 앞으로의 행동을 신중하게 하기로 결심했다.)
대연,헬레나 씨의 좌표는 이 통로 안쪽인가요?
콜펜,그런 것 같아요. 좌표의 고도가 여기보다 낮아요. 어쩌면 통로 안에 다른 시설이 있을지도요.
콜펜,"무리한 요구인 건 알지만, 혹시 지휘관님과 헬레나를 찾는 걸 도와주실 수 있을까요?"
나레이션,"(대연은 콜펜의 간절한 눈빛을 보고, 동료들의 반응을 살펴보았다.)"
조휘,대연의 직감은 역시 언제나처럼 정확한 모양이네.
강우,지휘관님이랑 다시 만날 수 있으면 나야 좋지!
나레이션,"(대연은 다시 고개를 돌려 콜펜에게 고개를 끄덕이고, 긍정적인 어조로 대답했다.)"
대연,지휘관님께 도움이 된다면야 마다하지 않겠어요. 그럼 안내를 부탁드려요.
콜펜,가... 감사합니다!
나레이션,"(콜펜은 어두컴컴한 통로 안쪽을 바라보며, 마음 속의 두려움을 억누르고 좌표를 대연 일행에게 전송한 뒤, 손전등을 켜고 안을 살피며 전진했다.)"
