바랴그단원,"후퇴! 후퇴해! 이 ""토끼""들 뭐가 이리 세!? 후퇴!"
나레이션,"(두 인형들을 상대로 승산이 없다 판단했는지, 바랴그단은 올 때와 똑같은 속도로 부리나게 도망쳤다.)"
강우,"하, 어딜 가려고!"
나레이션,(강우는 기세를 몰아 추격하려고 했다.)
조휘,"강우야, 멈춰."
강우,엥? 이대로 놓아주려고? 아직 주먹이 울고 있단 말야!
강우,그리고 아민다가 실종된 게 저놈들이랑 관계 있을지도 몰라! 놈들이 아민다를 잡아간 거면 어떡해!
나레이션,"(조휘는 놈들이 도망친 방향을 주시했다. 내빼는 것도 빨라서, 이미 시야에 남은 것은 모래 위에 깊게 파인 바퀴 자국뿐이었다.)"
조휘,아까 이 주변을 간단히 수색했을 땐 딱히 눈에 띄는 게 없었어.
조휘,"그런데, 저들은 명확한 목표를 가지고 미리 준비해서 우리를 습격했어."
강우,"그 말은... 이, 일단 지휘관님한테 연락할게!"
나레이션,"(조휘의 속뜻을 읽은 강우는 곧장 지휘관에게 통신을 연결해, 상황을 상세히 보고했다.)"
지휘관,매복이야. 사고 차량의 관계자를 낚으려고 한 거겠지.
조휘,역시 지휘관도 그렇게 생각하는구나.
강우,"그렇담 상대를 잘못 골랐네! 평범한 암상인이면 쉽게 당했겠지만, 우리는 전술인형이라고!"
조휘,놈들은 전력을 다하지 않았어.
지휘관,뭐? 우리 화력에 밀린 게 아니라?
나레이션,(조휘는 잠깐 기억을 되짚었다.)
조휘,"우리랑 교전한 시간은 길지 않았어. 간만 보다가 실력차를 느껴서 일단 후퇴한 거야. 하지만 겉보기엔 황급히 패주한 것 같았어도, 다 같은 방향으로 퇴각했어... 유인계라고 생각해."
조휘,놈들은 레이스에 참가한 상단을 노렸을 가능성이 커. 자신들이 이곳 지리에 익숙하다는 점을 이용해 매복한 거지.
조휘,지휘관. 놈들은 내가 지금까지 겪거나 들어봤던 바랴그단과는 달라.
지휘관,"응, 나도 그렇게 생각해."
지휘관,그리고 그놈들... 느낌이 어딘가 익숙하지 않아?
조휘,"그 말은, 설마..."
지휘관,"그 바랴그단 놈들, 행동 방식이 최근 에이다 사건에서 마주친 놈들과 상당히 비슷해. 갑자기 머리를 쓸 줄 알게 됐어."
지휘관,"즉, 그때 우리가 거점째로 박살냈다고 생각한 패거리가, 어쩌면 아직 멀쩡하게 활동 중일지도 모른단 뜻이야."
강우,"흥, 또 그놈들이라고? 이번엔 아주 철저하게 때려눕혀 주겠어!"
조휘,"지휘관, 페리는 찾았어? 그 애의 실종도 이 특이한 바랴그단과 관계 있지 않을까?"
지휘관,"가능성은 있어. 모두가 행방을 찾는 중이지만, 이렇다 할 만한 건 아직."
조휘,그렇구나... 그럼 이제 어떡할래? 나도 도울게.
지휘관,"바랴그단은 내가 처리할 테니, 너희는 아민다를 계속 찾도록 해."
조휘,알겠습니다.
강우,나한테 맡겨!
