다른 손님,꺄아아아아아아아아아아아아아아아악!!!
나레이션,"(휘몰아치는 바람 소리, 연이어 터져 나오는 비명 소리, 끊임없이 뒤집히는 시야, 이 모든 것이 어우러져 사람들의 심장을 미친 듯이 뛰게 했다.)"
나레이션,(하지만 고개를 돌려 옆을 바라보면...)
플로렌스,하하하하!
플로렌스,하하하하하하하!
플로렌스,우와아! 기분 진짜 좋다!
나레이션,(플로렌스가 환하게 웃음을 터트리고 있었다.)
플로렌스,"아, 지휘관도 몰래 날 보고 있었구나."
나레이션,(플로렌스가 고개를 돌려 나를 바라보았다. 그제야 나는 플로렌스가 아까보다 몇 배는 더 들뜬 표정으로 나를 바라보고 있다는 것을 깨달았다.)
지휘관,우리가 같이 롤러코스터를 탄 적이 있었나?
나레이션,"(이상하게도 눈앞의 풍경이 묘하게 익숙하게 느껴졌다. 아득히 먼 옛날, 지금처럼 놀이공원에서 함께 놀았던 것 같았다.)"
플로렌스,"이제야 생각이 난 거야, 지휘관?"
지휘관,그냥 기시감이 들었을 뿐이야.
지휘관,지금 뭘 좀 생각하고 있었거든.
지휘관,미아는 미친 게 아닐지도 몰라. 어쩌면 미아가 했던 말들은 전부 사실일지도 모르지.
나레이션,"(플로렌스가 나를 알고 있다고 말했던 것처럼, 많은 사람들이 나를 '지휘관'이라고 불렀던 것처럼 말이다.)"
나레이션,"(에스메는 나와 마찬가지로 많은 것을 기억하지 못하는 것 같았고, 반대로 미아는 플로렌스처럼 많은 것을 알고 있는 것 같았다.)"
나레이션,"(단순히 표현 방식이 서툴렀던 것일지도 모른다. 아니면 실제로 무슨 일을 겪어 감정을 주체하지 못해, 자신이 알고 있는 정보를 제대로 전달하지 못한 것일 수도 있다.)"
플로렌스,"지휘관, 그게 꼭 지금 생각해야만 하는 문제야?"
지휘관,안 돼?
나레이션,(플로렌스가 교활한 미소를 지었다.)
플로렌스,"딴마음을 품고 있는 거라면 아주 위험할지도 몰라, 지휘관."
플로렌스,"이제 슬슬 절정에 다다를 시간이야. 자, 깜짝 놀랄 준비는 됐어?"
나레이션,(플로렌스의 말이 끝나자마자 눈앞의 시야가 순식간에 새까만 어둠으로 뒤덮였다.)
다른 플레이어,으아아아아아아아아아아아아아아아아아아악!
나레이션,(지금 들려오는 처절하고 끔찍한 비명 소리는 결코 갑작스러운 어둠에 놀라서 터져 나온 것이 아니었다.)
지휘관,터널로 들어온 건가?
당황한 관광객,플뢰르!!
플뢰르,"꺄악! 미레유, 어디 있어? 보이지가 않아서 모르겠어..."
나레이션,(갑자기 축축해진 공기 속에 비릿한 녹슨 쇠 냄새가 퍼졌다. 어둠 속에서 금속이 반사하는 희미한 빛이 아른거렸다.)
플로렌스,손님 여러분께 전하는 서프라이즈! 이제 곧 모두를 위한 특별한 체험이 시작될 거야~! 많이 기대해 줘!
나레이션,(기묘한 분위기 속에서 플로렌스가 몸을 일으키더니 들뜬 목소리로 외치기 시작했다.)
플로렌스,"자아, 모두의 안전장치가 해제됐어! 지금부터 떨어지지 않도록 버티면서 '광대'의 추격을 잘 피하도록 해~!"
지휘관,미쳤어? 이게 무슨 롤러코스터야?!
플로렌스,"나는 '심박 가속기 9000'이라고 했지, 롤러코스터라고 한 적 없는데?"
나레이션,(나를 포함한 모든 관람객이 필사적으로 안전장치를 붙잡았다.)
플뢰르,으아아아아아아아아아아아아아!
나레이션,"(살점이 찢겨나가는 끔찍한 소리가 울려 퍼졌다. 나는 고개를 숙여 아직은 따뜻한 살점을 피했지만, 얼굴에 흩뿌려진 미지근한 액체는 피하지 못했다.)"
나레이션,(아니다. 이곳의 바람 소리를 감안한다면...)
지휘관,터널 안에 있는 건...!
분장한 광대,——!!
에스메,"꺄아아아아악! 오, 오지 마!!"
지휘관,"플로렌스, 전투를 준비해!"
플로렌스,"알겠어~ 지휘관이라면 언제, 어디서든 상관없이 맞춰 줄 테니까~"
