??,바보 사쿠라! 빨리 일어나세요! 이러다 배송 늦어집니다!
사쿠라,우웅... 으엑?!
사쿠라,"주문? 무슨 주문요?! 잠깐만요 선배, 지금――"
나레이션,(미처 상황 파악을 못한 사쿠라가 운전석에서 펄쩍 뛰고는 허둥지둥 두리번거렸다.)
나레이션,(그런 그녀의 모습에 트럭 선배가 가차 없이 웃어댔다.)
트럭 선배,"와하하하하! 역시 바보 사쿠라는 잘 속네요, 하하하하하!"
사쿠라,우으으...! 선배! 저 그만 놀리라니까요!
트럭 선배,"흥, 그러게 운전석이 아니라 화물칸에서 잤어야죠. 제 휴식을 방해 말고 뒤로 가세요."
사쿠라,자던 거 아니거든요? 저는―― 이씨...!
나레이션,"(사쿠라는 황급히 변명하려다가, 치밀어 오른 짜증에 발길질을 했다. 하지만 너무나 미약해서, 스크린 속의 비웃는 얼굴을 사라지게 하기에는 역부족이었다.)"
트럭 선배,"그럼 뭔가요, 아직도 그 케이크를 생각 중이었나요?"
트럭 선배,"불만은 이미 접수됐으니, 어쩔 수 없습니다. 매니저에게 어떻게 해명할지나 고민하세요."
사쿠라,그건 그렇지만... 앞으로 비슷한 사태가 벌어지지 않는단 보장이 없잖아요. 대비를 해야죠.
사쿠라,"그때 제가 안나 씨를 잘 달랬다면, 불만이 접수되는 일은 없었을 거예요..."
사쿠라,"그래서... 그래서, 그런 상황에 대응하는 법을 구상하고 있었어요!"
사쿠라,그리고 찾아낸 게 바로 이 《진심을 담는 18가지 커뮤니케이션 》이에요!
나레이션,"(최근에 찾아낸 커뮤니케이션 기술에 관한 전자책을 불러내면서, 사쿠라는 아주 심각한 표정으로 스크린을 향해 두 손 모아 빌었다.)"
사쿠라,"제발 부탁드려요 선배, 다시 연습하는 거 도와주세요!"
트럭 선배,벌써 3번이나 해 놓고 뭘 또 합니까? 작작 하세요.
트럭 선배,"또 고객과 갈등이 생기면 어떻게 대처할지, 아주 달달 외운 주제에."
사쿠라,"으으... 이해는 된 거 같은데, 그래도 너무 어렵단 말이에요... 어떻게 대면 배송 안 하는 방법 없을까..."
사쿠라,"애초에 그 차에서 잠들지만 않았어도, 여기 오는 일 없이 계속 창고에서 일했을 텐데... 이렇게 배송 과정을 개선하려고 고민할 일도 없고..."
사쿠라,"음... 일단 운송 중에 최대한 화물이 흔들리지 않게 해야겠죠? 포장 방식을 개선한다든지, 트럭 선배의 서스펜션 시스템을 개선한다든지..."
트럭 선배,저를 업그레이드하겠다? 반대는 안 해요.
사쿠라,"...하지만, 그러려면 비용이랑, 회사의 포장 규정도 고려해야겠죠."
사쿠라,"트럭에 자전거 같은 소형 이동 수단을 준비해 두는 것도 좋겠어요. 그럼 또 차가 막힐 때, 위험한 길로 가지 않고 제가 직접 배송할 수 있겠죠?"
사쿠라,"으음... 이 위성도시의 지도를 다시 한 번 업데이트해야겠네요, 선배 없이도 배송할 수 있도록..."
사쿠라,아으으... 왜 이렇게 할 일이 막 늘어나지...
나레이션,"(점점 더 세세한 부분으로 파고들면서, 사쿠라는 두 손으로 머리를 부여잡고 중얼거렸다. 이대로라면 밤새도록 할 기세였다.)"
트럭 선배,동작 그만!
트럭 선배,"바보 사쿠라. 당신은 ""기분 전환""을 위해 모르니아에 취직한 것 아닙니까?"
트럭 선배,"그런데 지금 머리를 굴리는 꼴을 보고 있자니, 어째 매니저 직급보다도 회사 걱정을 하는 것 같군요."
사쿠라,"아 맞아, 매니저님... 전에 제출했던 절차 최적화 기획안은 어떻게 됐을까요... 그후로 소식이 없네..."
트럭 선배,"바보 사쿠라, 제가 선배로서 조언 하나 하겠습니다.
좀 덜 노력한다고 하늘이 무너지진 않아요!"
트럭 선배,"그 기획안, 며칠 밤을 지새워서 작성했다고요? 하지만 제가 장담컨대, 그 인간은 몇 초 훑어보지도 않았을 겁니다. 그런데 그게 무슨 소용이에요?"
트럭 선배,"스스로에게 좀 더 관대해지세요. 아무리 노력으로 부족함을 메울 수 있다지만, 당신이 좀 모자란 건 사실이잖습니까? 지금까지의 성과도 당신 스스로의 기준에 턱걸이 수준이겠죠. 그러니――"
나레이션,"(전혀 듣기 좋은 말은 아니었지만, 스크린에 띄운 얼굴이 일그러질 정도로 연산력을 쥐어짜내 건네는 트럭 선배의 위로였다. 하지만 사쿠라에게는 전혀 들리지 않았다. 마인드맵 속에서 아우성치는 목소리가, 스피커에서 나오는 트럭 선배의 위로보다 더 컸기 때문이었다.)"
사쿠라,맞아... 내가 여기 온 이유... 기분 전환... 좀 더 쉽고 편한 일을 하러 온 거잖아...
사쿠라,그런데... 오랫동안 쉬지 못했어... 어쩌다 일이 이렇게 됐지...
사쿠라,지휘관님을 찾기로 했는데... 이렇게 오랜 시간이 지났는데...
사쿠라,"이런 게, 정말 내가 원하던 삶일까...?"
트럭 선배,――란 겁니다. 알겠습니까? 알았으면 나머진 천천히 생각해 보세요. 저는 이만 대기 모드로 전환합니다.
트럭 선배,"...아니, 내일도 일찍부터 배송이니까 그냥 얼른 눕기를 권장합니다."
트럭 선배,"이것저것 고민하느라 머리를 부여잡느니, 차라리 푹 쉬고 몇 건 더 배송해서 번 돈으로 마인드맵 모듈을 업그레이드하세요. 파트너가 멍청하면 저도 많이 힘들단 말입니다."
나레이션,"(그 비아냥을 끝으로 스크린은 어두워졌다. 따스한 주황빛 조명은 여전히 켜져 있었지만, 차 안에 드리운 그림자 속에서 나오지 않았다.)"
사쿠라,나는... 대체 뭘 위해서 노력하는 거지?
