페일린,아까 해결할 문제가 뭐뭐 있다고 했지?
바스티,"음? 어디 보자... 아, 이제 하나도 없어!"
바스티,"우릴 여기까지 들여보내 준 멍청이 씨, 땡큐 베리머치~"
나레이션,"(바스티는 기절한 재단의 하수인을 옆으로 걷어차고는, 비콘 스테이션에 빽빽하게 들어선 기계들을 향해 다가갔다.)"
바스티,"여보세요~ 조이, 들려? 깨어 있지?"
조이,"아, 여깄어! B.U.G. 전원 준비 완료!"
바스티,"이제부터 네 차례야, 정신 바짝 차려."
바스티,"옐로우존 최대의 통신사가 자랑하는 방화벽을 뚫는 것쯤, 금방 할 수 있지?"
헬렌,"정보를 취합하자면, 여러분은 테러 습격에 휘말린 것 같네요. 스위퍼가 말한 공동체나 지휘관을 노린 함정이 아니라요."
헬렌,습격자의 정체로 짐작 가는 인물은 있나요?
드셰브니,"음... 있다, 우리 옆자리에 앉았던 그 두 인형놈들!"
드셰브니,"사악한 망나니 녀석, 악행을 저지를 관상이었다!"
스위퍼,"아니, 그렇다기엔 너무 눈에 띄었어. 난 오히려 어제 그 소매치기 꼬맹이가 더 의심스러운데."
스위퍼,"정전되기 전에 방송에서 나온 목소리, 그 녀석이었잖아."
파에투사,조이는 그런 나쁜 짓 할 애 아니야!
스위퍼,"아주 이름까지 부르시네, 뭐 걔랑 친구라도 먹었냐?"
파에투사,"그, 그냥 알 수 있어! 백번 양보해도, 그런 어린애가 이런 폭발물을 구하는 건 무리라고."
파에투사,"단순하게 생각해 보자. 우리는 이걸 경매장의 창고에서 훔쳤어. 그럼, 가장 의심스러운 사람은 주최자 아닐까?"
드셰브니,"영주가? 하지만, 그녀는 이 포르트 미카의 지배자다. 지배자가 왜 자기 것을 공격하겠느냐."
헬렌,"자아, 다들 그만. 마침 새로운 단서를 찾았어요."
헬렌,"포르트 미카의 물류 출입 기록을 검색했는데, 대다수가 출처부터 완벽하게 기록되어 있어서 금지 품목이 섞여 들어오기는 어려워요. 비교적 소규모라 관리가 쉬운 편이라곤 해도, 옐로우존에서 보안이 그린존 수준에 달하다니 정말 대단하네요."
헬렌,"다만, 어제 예외가 생겼네요. 아무런 검사도 거치지 않은 외부 차량 한 대가, 포르트 미카로 진입했어요."
헬렌,"제가 보기에는, 이 차량을 통해 불법 폭발물이 유입됐을 가능성이 높아요."
드셰브니,"오호라, 앞길을 인도할 등불이 생겼구나!"
드셰브니,"그 차량의 내력을 밝혀내면, 사악한 세력의 진면목을 파헤칠 수 있겠군!"
헬렌,"응, 그렇겠지."
헬렌,"현재 확인 가능한 정보는 제한적이지만, 그 차량이 물류 회사 ‘모르니아 로지스틱스’ 명의로 등록된 배송 트럭이라는 사실은 알아냈어요."
헬렌,차주의 이름은 ‘사쿠라’예요.
드셰브니,......
스위퍼,......
사쿠라,푸헷취!
트럭 선배,인형이 웬 재채깁니까?
사쿠라,"쿨쩍... 다른 데서 누가 본인 얘기를 하면 재채기가 나온대잖아요. 혹시, 지휘관님이 저 보고 싶으신 거 아닐까요? 에헤헤..."
트럭 선배,누군가 수배자 명단에 바보 후배의 이름을 올렸을 수도 있죠.
사쿠라,"그럴 리가요! 아하하, 선배도 참, 또 그런 질 나쁜 농담이나 하시고."
사쿠라,......농담 맞죠?
트럭 선배,글쎄요. 사쿠라에게 어떤 불행이 닥쳐도 이제는 놀라지 않을 지경이긴 합니다만.
사쿠라,"이번 일이 좀 갑작스럽게 받은 거긴 해도, 배송한 것들 전부 다 아무 문제 없는 화물들이잖아요!"
사쿠라,얼른 일 마치고 지휘관님 곁으로 돌아갈 거예요!
드셰브니,...찾을 필요 없다.
드셰브니,"사쿠라의 화물차를 타고 포르트 미카에 당도한 자는, 우리 둘... 아니, 우리 셋이다."
나레이션,(통신에서 긴 침묵이 흘렀다.)
헬렌,"...그러니까, 사쿠라가 전직 그리폰 인형이라고?"
헬렌,"아, 그러고 보니, 스프링필드 씨에게 이름을 들어본 것 같네..."
헬렌,...그 아이도 참 운이 없구나.
스위퍼,(헬렌이 저렇게 기운 빠진 목소리인 건 처음 듣네.)
헬렌,"좋아요, 여러분이 멋대로 ‘포르트 미카 폭파’ 같은 의뢰를 수락한 건 아니라고 믿을게요."
헬렌,"진범은 아무래도, 꼬리를 잡히지 않으려고 아주 치밀하게 계획한 듯해요. 그럼 자신만의 운송 경로도 있다는 뜻인데... 현재 당국을 제외하면, 그런 특권을 가진 건 사노피&파르벤 그룹과 씨링크, 이 두 기업뿐이에요."
헬렌,......
헬렌,"여러분, 더 이상 개입하지 마세요."
헬렌,"지금 취할 최선의 방법은, 여러분이 현지 관리자에게 경고한 다음 바로 복귀하는 거예요."
파에투사,리디아에게 알리라고?
헬렌,"네. 그곳의 관리자인 그녀가 당신들보다는 할 수 있는 일이 더 많을 테니, 꼭 도움을 청하도록 하세요."
헬렌,"하지만, 만약에... 그녀의 반응이 이상하거나, 문제를 해결할 의사를 보이지 않는다면..."
헬렌,"그럴 경우, 상황은 생각보다 훨씬 심각할 수도 있어요."
헬렌,"그걸 확인하는 즉시 이탈해서, 폭발물을 황무지에서 폐기하세요. 다 합치면 위력이 엄청나니까 반드시 주의하시고요."
헬렌,"저는 바로 지휘관님께 알려서 지원을 보낼 테니, 통신 상태 유지하세요."
나레이션,"(헬렌과의 통신이 끝나고도, 드셰브니는 통신기를 든 채 얼이 빠진 표정으로 잠시 움직이지 않았다.)"
스위퍼,좀 열받네. 따로 사람을 보내? 우리 못 믿는 거야?
파에투사,어쩔 수 없잖아.
드셰브니,"...결국, 헬렌과 지휘관에게 폐를 끼치고 말았군."
드셰브니,나는 용사가 아니라 멍청이였어!
파에투사,"아니야, 드셰브니! 다르게 생각하자. 우리 덕분에 끔찍한 재난을 막을 기회가 생긴 거야. 이것도 용사의 공적 아니겠어?"
파에투사,지휘관도 분명 칭찬해 줄 거야!
드셰브니,...그렇구나.
드셰브니,"그래, 당장 영주에게 연락하면, 이 위기를 종식시킬 수 있을 터다!"
드셰브니,"헌데, 어찌 연락하지? 우리에겐 그녀의 연락처가 없잖느냐."
파에투사,"그 사람이, 포르트 미카 전체가 자기 관리하에 있다고 했으니까..."
파에투사,"아무한테나 연락해도, 결국엔 그녀에게 닿을 거라고 생각해."
드셰브니,"일리 있구나, 군사여!"
나레이션,"(드셰브니는 곧장 여관에서 제공하는 서비스 안내서를 뒤적여, 긴급 연락처 몇 군데를 찾아냈다.)"
나레이션,"(제일 먼저, 드셰브니는 화재 신고 번호로 전화를 걸었다.)"
소방수,"포르트 미카 소방국입니다, 무슨 일이십니까?"
드셰브니,안녕하신가! 우리는 지금 급히 리디아를 찾고 있다.
소방수,...리디아 님 말씀이십니까? 구직 상담이라면 씨링크에 직접 연락하세요.
나레이션,(드셰브니는 또 곧장 씨링크 고객 센터 번호를 찾았다.)
씨링크 상담원,"안녕하십니까, 씨링크 고객 센터입니다. 무엇을 도와드릴까요?"
드셰브니,리디아를 찾는다! 리디아와 연결해 줄 수 있느냐?
씨링크 상담원,"...대단히 죄송합니다만, 저희는 그런 서비스는 제공하지 않습니다."
씨링크 상담원,"대표님과의 면담을 바라신다면, 사업부를 통해 정식 면담 신청서를 제출하셔야 합니다. 신청이 통과되면 양식에 맞춰 재산과 신분 증명서를 준비하신 뒤, 대표님의 비서에게 연락하여 면담 시간과 장소를――"
드셰브니,너무 길어서 못 외운다! 처음에 무어라 하였느냐?
씨링크 상담원,사업부를 통해 정식으로――
드셰브니,사업부에는 어떻게 연락하지?
씨링크 상담원,"아, 그쪽은 오늘 퇴근해서 내일 다시 연락하셔야 합니다."
드셰브니,아니된다! 지금 한시가 급하단 말이다!
드셰브니,아직 퇴근하지 않은 곳은 없느냐? 연락 가능한 번호를 전부 내놓아라!
