페일린,온다——
류시,모두 엄폐물 뒤로 물러나세요!
류시,"드셰브니, 페일린, 지수 씨, 부탁할게요."
지수,"문제없어, 넌 안심하고 지휘해."
드셰브니,"지옥 군단의 수가 압도적일지라도, 우리에겐 용기와 우정의 유대가 있으니! 이 싸움, 용사가 반드시 승리하리라!"
파에투사,이대로라면... 이길 수는 있더라도 큰 희생을 치르게 될 거야. 벼랑지기 마을 사람들이 도와준다 해도 머릿수 차이가 너무 심해.
파에투사,"류시, 방금 말했던 대로 공중 비콘이 도착할 때까지 기다려야 해. 그때까지 적들이 광산 안으로 도망치지 못하게만 막으면 충분해."
파에투사,파빌의 부하들과 철혈 병기들을 계속 밖으로 유인해 줬으면 좋겠어. 특히 철혈 인형이랑 기갑은 많을수록 좋아.
류시,알겠어요. 지휘관님을 관찰하는 건 원래 제가 가장 좋아하던 일이었으니까요. 그분이 보여주셨던 전술을... 저도 한번 시도해 볼게요.
류시,"저와 지수 씨가 그리폰을 떠날 때, 페르시카 박사님이 그러셨어요. 지휘관님 곁에 있던 인형들의 마인드맵에는 특별한 ‘가능성’이 잠재되어 있다고. 지금 여기서, 그게 틀리지 않았다는 걸 증명해 보이겠어요."
파에투사,응! 다들 분명 해낼 수 있을 거라고 믿어!
