앨바,보이마스티나!
보이마스티나,......!
나레이션,"(다츄어가 손목을 가볍게 돌려, 뒤에서 날아오는 총탄을 양산으로 절묘하게 막아냈다.)"
나레이션,"(강철판도 뚫을 탄두건만, 양산에 닿는 순간 굵은 빗방울이 떨어지는 둔탁한 소리를 내며 힘없이 바닥으로 미끄러졌다.)"
나레이션,"(양산 너머의 그녀는 몸을 살짝 웅크렸다가, 도약했다.)"
나레이션,휘익——
나레이션,타타타타타——
나레이션,"(보이마스티나가 즉각 방아쇠를 당겨, 맹렬한 화력으로 다츄어를 밀어내려 했다.)"
나레이션,(다츄어의 손에 들린 양산은 견고한 방패인 동시에 예리한 창.)
나레이션,"(이 화망을 돌파하지 못하는 한, 그녀는 공격할 틈도 없다.)"
그로자,"전원, 보이마스티나를 지원해!"
나레이션,(배로 늘어난 사격음이 방을 진동시켰다.)
나레이션,"(하지만 초연이 걷혔을 때, 다츄어는 이미 보이마스티나의 코앞에 있었다.)"
보이마스티나,아닛...!?
나레이션,"(양산도 어느샌가 접혀, 시꺼먼 돌격소총이 되었다.)"
나레이션,"(전혀 회피하지 않은 것이었다. 다츄어는 쏟아지는 총알 세례를 정면으로 받아내, 탄흔으로 처참한 몰골이 되었다.)"
나레이션,"(하지만, 그녀의 손에 들린 총구는 섹스턴스를 향했다.)"
멜라니,안 돼——!
나레이션,타앙!
나레이션,"(집중 포화가 멎은 틈을 타 울려 퍼진 한 발의 총성이, 유난히도 귀를 찔렀다.)"
지휘관,너...!
다츄어,콜록... 케흑...
다츄어,후후...
다츄어,히히히...
다츄어,하하하하...!
다츄어,아하하하하하하하――!!!
다츄어,아무도...
다츄어,"아무도, ‘어머니’를 배신할 수 없어!"
다츄어,아무도!!!
다츄어,나도...
다츄어,"섹스턴스, 너도..."
나레이션,(섹스턴스는 완전히 의식을 잃었다.)
나레이션,(가슴을 관통한 한 발의 총탄으로 인해.)
지휘관,너 미쳤어!?
지휘관,이런다고 너에게 무슨 이득이 있다고!
다츄어,콜록콜록... 이득요...?
다츄어,"글쎄요, 잘 모르겠네요... 생각해 보니, 확실히 그래요... 아무 이득도 없는데... 그런데, 참을 수가 있어야죠..."
다츄어,"어머니를 무시했으니, 용서할 수 없다... 그리 생각했을 뿐이랍니다..."
다츄어,"그러는 당신은 어떤가요, ‘지휘관’? ‘어머니’를 적대해서, 당신에게 무슨 이득이 있나요?"
다츄어,"우리와 맞서다 붕괴방사능에 처참한 몰골이 되어서까지, 무슨 이득이 있냐고요."
지휘관,그 여자도 악과 손을 잡기로 한 또 한 명이지.
나레이션,"(다츄어와 시선이 마주친 순간, 증오로 가득찬 그녀의 눈동자에서 뜻밖에도 한 줄기의 이해심을 읽어냈다.)"
다츄어,보세요~ 정의에 대한 당신의 집착이 당신을 여기까지 이끌었잖아요~?
다츄어,"집착의 힘을, 얕보지 마세요."
지휘관,그럼 그 집착에 끝장날 준비나 해.
지휘관,네 ‘어머니’랑 함께 말이야.
지휘관,"패러데우스는 모조리, 하나도 남김없이 부숴버리겠어."
다츄어,"후후후... 아이, 무서워라."
다츄어,"유감스럽게도, 당신은 그러지 못할 거예요..."
다츄어,"왜냐하면... ‘어머니’는, 운명을 꿰뚫어 보시는... 위대한 존재니까..."
나레이션,"(그리고 다츄어는 뒤로 쓰러져, 바닥에 갈라진 틈 사이로 사라졌다.)"
나레이션,쿠르릉—— 쾅——
나레이션,(우리가 처음 여기 왔을 때보다 훨씬 강력하고 급격한 진동이 응접실을 덮쳤다.)
그로자,"지휘관, 내 손 잡아!"
나레이션,"(바닥도 점점 기울어지자, 미끄러지지 않도록 그로자가 나를 부축했다.)"
나레이션,(이윽고 창백한 머리의 패러데우스 인형들이 또 다시 사방에서 밀려들었다. 그 수가 전보다 2배는 더 많아진 듯했다.)
나레이션,"(마치 일출 전 마지막 새벽 기도라도 올리듯이, 그들은 어떤 주문 같은 것을 읊조렸다.)"
