바랴그단,젠장! 저 전술인형들은 대체 어디서 나타난 거야! 후퇴하라!
베리스,"도망치게 두지 마, 쫓아가!"
나레이션,(대원 벨리스는 동료들의 만류에도 아랑곳하지 않고 퇴각하는 바랴그단을 향해 사격을 멈추지 않았다.)
나레이션,(그녀의 눈앞에는 조금 전 습격당하던 광경이 생생하게 그려졌다—)
나레이션,"(길가에 설치된 인계철선 지뢰가 폭발하던 순간, 오늘 갓 합류했던 어린 병사의 얼굴은 영원히 그 찰나에 멈춰버리고 말았다.)"
요셉,"그만해, 벨리스!"
베리스,저 짐승 같은 놈들을 그냥 보내주자는 거야?
요셉,냉정해져야 해. 우리 임무는 이 광석들을 마을까지 무사히 운송하는 거야. 네가 쫓아갔다가 빈틈을 노려 역습이라도 당하면 지금보다 피해가 훨씬 커질 거야!
베리스,쳇...
나레이션,(부단장 요셉의 말을 듣고서야 벨리스는 트럭 주변에 쓰러진 대원들을 발견했다. 그들은 방금 전 교전에서 부상을 입어 치료가 시급한 상태였다.)
베리스,"알겠어. 여기 뒷정리는 맡길게, 난 부상자들을 보러 가겠어."
부상자,"아악, 다리에 총을 맞았어..."
베리스,"불행 중 다행인 줄 알아, 다리만 스쳤으니까. 조금만 더 위였다면 평생 의족 신세를 졌을 거야."
부상자,"하하, 농담으로 안 들리는데... 윽, 아파 죽겠네. 빌어먹을 바랴그단!"
나레이션,(벨리스는 부상자들을 한곳으로 모아 응급 처치를 시작했다.)
나레이션,"(부상자가 꽤 많았지만, 다행히 대부분 가벼운 찰과상에 그쳤다.)"
나레이션,"(매복에 걸려 강제로 전투를 치러야 했던 상황임을 감안하면, 벨리스의 경험상 이 정도는 천만다행인 결과였다.)"
부상자,그러고 보니... 저 인형들은 대체 정체가 뭐야? 이런 고급 전술 병기를 들여왔다는 소리는 못 들었는데.
베리스,나도 몰라. 하지만 제때 나타나 줘서 정말 다행이지...
베리스,저 인형들이 갑자기 나타나지 않았다면 희생자가 훨씬 더 많았을 거야.
나레이션,(옆 차량 근처에서 요셉이 인형들과 대화를 나누고 있었다.)
나레이션,(벨리스의 귀에 그들의 대화가 들려왔다. 특히 만두 머리를 한 인형이 유난히 시끄럽게 떠들어대고 있었다.)
미틸,"『걱정 마세요, 스프링필드가 모두를 지켜드릴게요!』"
쿠로,"야야, 네가 무슨 스프링필드야. 갑자기 목소리 깔지 마!"
나레이션,(다른 인형은 기이하게 생긴 구식 휴대폰을 들고 여기저기 촬영을 하고 있었다.)
부상자,생각났다... 아까 우리 이동할 때 네가 검색했던 그 엉뚱한 라이브 방송 기억나?
부상자,방송하고 있던 인형들이 바로 쟤들이야!
베리스,"움직이지 마! 큰일이네, 붕대가 모자랄 것 같아."
요셉,"벨리스, 이리로 좀 와봐!"
베리스,...왜 그래?
요셉,인사해. 이분들은 자율 권한을 가진 전술인형들이야. 정식 루련 시민권도 가지고 계시고.
베리스,자율 권한?
요셉,"그래, 나도 이런 인형이 있다는 건 처음 들었어. 하지만 조금 전 상황에선 확실히 본인들의 판단으로 우릴 도와준 거야."
쿠로,"안녕, 난 쿠로라고 해. 이쪽은 미틸."
베리스,...미틸.
미틸,반가워 반가워~
베리스,......잠깐...
미틸,음?
베리스,미안해... 나도 모르게 그만... 전술인형이랑은 처음 마주해 보는 거라.
베리스,난 벨리스라고 해... 방금은 도와줘서 정말 고마웠어.
미틸,"『어머나, 사양하실 거 없답니다. 이제 우린 한 가족인걸요♪』"
베리스,"가족이라니? 무슨 소리야, 우리 방금 처음 봤는데..."
쿠로,"저기, 너무 신경 쓰지 마. 얘가 가끔 갑자기 목소리를 바꿔서 남 흉내를 내거든... 하하, 나도 참 골치 아파."
요셉,"성격은 좀 특이해도, 벨리스, 이분들이 우리에게 의약품을 나눠주기로 하셨어."
베리스,정말? 지금 붕대랑 지혈제가 절실하거든... 항생제랑 소독약도 있으면 좋겠어.
미틸,있고말고. 아주 넉넉하게 챙겨왔다구~
나레이션,"(미틸이 전술 배낭을 열어 보여주자, 벨리스는 그것들이 전부 그린존 정식 제조사의 제품이라는 것을 바로 알아챘다.)"
베리스,"고마워, 정말 좋은 약들이네... 하지만 우리가 그만한 대가를 치를 수 있을지 모르겠어."
미틸,"에이, 신경 쓰지 마. 이럴 땐 사람 살리는 게 우선이지. 일단 가져가서 써."
쿠로,맞아. 만약의 사태를 대비해서 챙겨둔 거야. 원래 인간용으로 나온 약들이고.
베리스,...알겠어. 일단 정말 고마워. 비용은 나중에 꼭 정산할게.
나레이션,(새로 얻은 약품 덕분에 벨리스는 신속하게 부상자 처치를 마칠 수 있었다.)
나레이션,(그동안 미틸은 옆에서 그녀의 조수 역할을 톡톡히 해냈다.)
미틸,벨리스는 실력 좋은 의무병인가 봐? 손놀림이 아주 능숙한데.
베리스,...정식 교육 같은 건 받은 적 없어. 우린 민병대라 전장에서 필요한 일은 뭐든 해야 하니까.
베리스,"미틸, 너희는 그린존에서 온 거지? 옐로우존에 대해선 잘 모르는 것 같아서."
미틸,딩동댕! 한 달 전만 해도 나랑 쿠로는 크레멘추크에 있었어.
베리스,"어쩐지 약을 그냥 선뜻 내준다 했네... 너희는 잘 모르겠지만, 옐로우존에서 의약품은 무기 다음으로 가장 비싼 물자야."
미틸,에헤~ 그래? 그래도 아까 벨리스가 비용은 제대로 쳐주겠다고 했잖아.
베리스,...우리랑 마주친 게 다행인 줄 알아. 철사단은 남의 물건을 함부로 뺏지 않는 게 규칙 이거든.
미틸,철사단?
베리스,아까 그 방송도 그래. 너희 너무 눈에 띄어. 함부로 방송하는 건 위치를 노출하는 거나 다름없어. 대놓고 와서 공격해 달라고 광고하는 꼴이지.
미틸,방송? 아~ 벨리스도 MO-live 써? 설마 너도 방장이랑 키보드 배틀 뜨는 거 좋아해?
베리스,난 분탕질 같은 거 안 하거든! 그냥 내부망에서도 방송이 잡히길래 신기해서 본 거야. 평소엔 마을에 가야만 외부 네트워크를 쓸 수 있거든.
미틸,"사실 내가 실수로 버튼을 잘못 눌렀어. 쿠로의 방송 채널인데, 기다리다 지루해서 쿠로 흉내를 좀 내본 거야."
미틸,이런 식으로— 『불펍 방식이야말로 총기의 가장 고귀한 자태다! 반박 시 네 말이 다 틀림! 발사!』
베리스,이건... 쿠로의 목소리잖아?
미틸,"헤헤, 아까 방송에서 봤지? 지난 몇 년 동안 쿠로랑 계속 붙어 있어서 걔 흉내 내는 게 내 특기거든!"
나레이션,"(벨리스는 깜짝 놀랐다. 쿠로와 만난 지는 얼마 안 되었지만, 미틸이 방금 보여준 목소리와 말투, 표정은 쿠로 본인과 소름 돋을 정도로 똑같았다.)"
미틸,"그건 그렇고, 네 목에 걸린 목걸이 정말 예쁘다."
나레이션,(벨리스는 긴장할 때마다 습관적으로 가슴의 목걸이를 움켜쥐며 마음을 가라앉히곤 했다.)
나레이션,"(그것은 아주 낡은 목걸이였고, 중앙에는 아주 작은 붕괴 결정이 박혀 있었다.)"
베리스,"고마워. 걱정 마, 이 결정에 방사능은 없으니까... 근데 이건 단순한 장식품이 아냐."
쿠로,좋은 소식이야! 요셉이 캠핑카를 거점까지 견인해 가서 점검해 주겠대. 이제 여기서 찬바람 맞고 있지 않아도 돼.
미틸,정말? 그럼 거점에 가면 거기 비콘으로 지휘관님이랑 연락할 수 있는 거야?
베리스,...너희가 연락하려는 사람이 혹시 폭풍 너머에 있어?
베리스,그건 아마 힘들 거야. 거점의 비콘도 간섭을 받고 있어서 그쪽 구역과는 통신이 완전히 끊겼거든.
쿠로,"하아, 요셉도 그렇게 말하더라."
쿠로,그래도 사람 사는 곳에 가서 좀 쉬는 게 이 벌판에서 모래알 세고 있는 것보단 낫지.
미틸,그건 그래. 폭풍이 잦아들 때까지 기다려야 한다면 북적거리는 곳이 훨씬 좋지!
미틸,"게다가 인터넷만 되면 방송도 할 수 있잖아. 쿠로, 벌써 근질근질하지?"
쿠로,옐로우존 시청자는 너무 적단 말이야. 적어도 MO-live 메인 서버에는 접속할 수 있으면 좋겠네~
베리스,여기가 어떤 곳인 줄 알고... 너희 정말...
베리스,"(쳇, 이 인형들은 정말 상식이 없네. 왠지 모르게 짜증이 솟구쳤다.)"
