나레이션,(마키아토가 준비실 문을 열자 임전태세의 스프링필드와 샤크리가 보였다. 그리고 그 둘 앞에 있는 건...)
마키아토,"뭣, 뭐야 저거!? 슈퍼 디너게이트?"
스프링필드,"쉬잇, 목소리 줄이세요, 손님이 놀라요."
마키아토,"이놈이 밖으로 나가면 그게 더 난리지!|그래서, 이거 대체 뭐야? 무기가 주렁주렁 달린 거 보면 평범한 디너게이트는 절대 아닌데. 해치울 거야?"
샤크리,"모르겠어, 샤크리가 산 거랑 완전 다른데..."
마키아토,디너게이트를 샀어!?
샤크리,"산 거랑 다르다니까!|점장, 마키아토 쟤 언어 해석 모듈이 망가졌나봐!"
스프링필드,쉬잇...
슈퍼 디너게이트?,삐삐삐... 삐삐...
샤크리,저거 뭐하는 거야?
스프링필드,램프가 깜빡이고 있어... 카페 서버에 연결하려는 것 같아요...!
슈퍼 디너게이트?,삐삐삐... 삐삑.. 삐삐!
샤크리,"쟤, 쟤 왜 나한테 총을 들이대는 거야!?"
마키아토,스프링필드! 녀석이 공격할 거야!
스프링필드,"여기서 총을 쏘면... 손님들이 다치고 말아요...|서버 권한을 개방할 테니까, 두 분이 레벨 2 플랫폼에 접속해서 디너게이트의 공격 명령을 해제하세요!"
