나레이션,"(깊은 밤 골목길, 야코프는 비밀 문 반대쪽에서 걸어나와, 거기서 기다리고 있던 페리를 만났다.)"
야코프,"페리 양, 오늘 레이스에서의 눈부신 활약, 참으로 놀라웠네. 분명 이대로 쭉 점수를 벌어서 필요한 정보를 살 수 있겠지."
페리,칭찬 감사합니다! 메시지로 톰슨 사부님의 정보를 얻으셨다고요? 정말인가요? 사부님은 지금 어디 계세요?
야코프,물론 정말일세. 우리 비즈니스 파트너가 알려준 정보인데...
페리,"그, 그렇군요...!"
페리,"설마 사부님이 결정 수렵자 팀에 들어가셨을 줄이야! 게다가 이름도 바꾸셨다니, 어쩐지 계속 아무 소식도 없다 했어요... 정보 알려주셔서 고마워요, 바로 돌아가서 준비하고 찾으러 갈게요!"
야코프,"아니 아니, 벌써 돌아가지 말고. 마침 내가 그쪽 지역에 납품할 게 좀 있어서 말이야. 이왕 가는 거 아가씨도 태워줄까 싶은데, 어떻겠나? 지금 부하한테 연락해놓겠네. 장터 외곽으로 가보면 차량이 대기 중일 걸세."
페리,"네? 차, 차까지 태워주시나요? 정말 감사합니다! 그럼, 먼저 지휘관님한테..."
야코프,"잠깐만, 내가 굳이 아가씨를 불러내서 이걸 알려준 건, 그 수렵자 팀이 이번에 긴급히 물자를 보급한 뒤에 바로 시생물을 쫓으러 갈 예정이라서 그러네. 지체 없이 상품을 보내야 하니까, 페리 아가씨가 먼저 가서 사부님에게 기다려달라고 말하는 게 어떻겠나? 엘모호 쪽엔 내가 대신 전해주겠네."
페리,하지만...
야코프,이제 2분 뒤에 출발해야 하네. 기다릴 시간이 없네.
페리,"그, 그럼 부탁할게요!"
페리,나...
페리,반드시 찾아낼 거야...
페리,사부님을... 반드시...!
