캐롤릭,"지휘관, 놈들이 물러난다!"
그로자,안전 거리에 진입! 장성열차 주둔군이 언제든지 공격해올 수 있어!
지휘관,"차량 정지, 탐조등 점등.|그로자, 경계 유지하고 후방의 공격에 주의해. 적의 이탈을 확인하면 기지차량으로 복귀해."
그로자,알았어.
나레이션,(엘모호가 점점 속도를 늦췄다.)
나레이션,(차량 전면에 설치된 탐조등이 켜져 장성열차 쪽으로 깜빡였다.)
나레이션,(몇 분이 지나고...)
나레이션,(흩날리는 회색 눈송이 너머로 장성열차에 움직임이 생겼다.)
나레이션,(그와 함께 기지차량에 통신 요청이 들어왔다.)
그로자,지휘관!
지휘관,......
지휘관,"주둔군 준위님, 수고하십니다. B.R.I.E.F. 인증 현상금 사냥꾼이 인사드립니다."
??,"하아, 10km 거리 유지하라고 강조하지 않았습니까?"
지휘관,"정말 죄송합니다, 준위님. 아무쪼록 양해해 주시면 진심으로 감사하겠습니다."
??,감사...? 나 참.
지휘관,"아유, 여부가 있겠습니까. 바랴그단을 뿌리칠 수 있었던 것도 전부 접근 허가를 내려주신 준위님 덕분이지요."
??,......
지휘관,......
??,"연기력이 정말 처참하구만. 오랜만이다, 지휘관."
지휘관,"여어, 친애하는 블라디미르 준위님. 내 통행 코드를 받고서도 FM대로 거리 유지하라고 하니까, 그새 사람 바뀌었나 조마조마했다고."
블라디미르 준위,"너 오늘 운 좋은 줄 알아, 조금만 더 늦었으면 난 여기 없었을 거거든.|저번 주에 인사 이동 명령이 내려왔어. 드디어 이 망할 곳을 떠나서 그린존으로 갈 수 있다고."
지휘관,"이야, 경사 났네? 몇 년만에 드디어 자리 물려줄 후임이 나타났나봐?"
블라디미르 준위,"간신히 합격이랄까... 하, 폐급인 건 여전하지만 5년이나 지났으니 조금은 성장을 했겠지?|그런데 너야말로 이렇게 오랜만인데 여전하시구만?"
지휘관,"이 고물 기지차량 꼴을 보면 알겠지만, 지금 재정 상태가 말이 아니거든.|우리 준위님 아니었으면 저 귀찮은 바랴그단을 떼내지도 못했을 거야."
블라디미르 준위,무슨 말썽이라도 생겼냐? 너 정도 사냥꾼이 바랴그단 따위로 애먹을 리가 없을 텐데?
지휘관,그게 이야기하자면 복잡해서. 아무튼 잠깐만 우릴 숨겨 주면 고맙겠어.|지금 차량도 이 지경인데다 물자도 부족해서 오래 버티기가 힘들거든.
블라디미르 준위,"하, 천하의 지휘관도 이럴 때가 있구만? 대단하신 B.R.I.E.F 인증 현상금 사냥꾼님, 기왕 고생하시는 거 조금만 더 부탁드려도 되겠슴까?"
지휘관,이거 안 본 사이에 주판 굴리는 속도도 빨라졌네?
블라디미르 준위,마침 딱 맞춰서 왔길래 말야.
지휘관,무슨 일이야?
블라디미르 준위,뭐 그렇게 대단한 건 아니고...
블라디미르 준위,이 0105 정화구역은 정화가 끝났어. 전방에서 신규 정화구역의 땅고르기와 철도 부설 작업이 진행 중이야. 그쪽 시생물 청소는 우리 관할이 아니지만... 그쪽에서 지원 요청을 보냈더라고. 무시할 수도 없잖아?
지휘관,그쪽에도 너네 부하들 있지 않나? 걔들은 뭐 하고?
블라디미르 준위,어휴...
블라디미르 준위,"하늘 봐봐, 눈 내리잖아. ""날씨가 이러면 붕괴 방사능 농도가 너무 높아서 방호복도 소용없다구요."" 하면서 아무도 안 나가려 한다고."
블라디미르 준위,그리고 너네 인형들은 안 죽잖아. 우리 폐급 애들은 한번 나가면 몇 명이 죽어서 돌아올지 아무도 몰라.|나도 나름 책임져야 하는 위치라고. 해마다 애들 부모님들한테 꼭 멀쩡하게 돌려보내겠다고 편지 보내고 있단 말이야.
지휘관,세상에나... 이런 천사 같은 상사가 있었다니. 감동해서 눈물이 다 난다 야.
블라디미르 준위,오오--
블라디미르 준위,"또 새 인형을 영입했나 보네? 우리 지휘관님, 여전히 수비 범위가 태평양이셔?"
지휘관,"비꼬는 건 그만하고, 주변 환경 정보는 있어?"
블라디미르 준위,환경 정보...?
블라디미르 준위,"있긴 있는데, 날씨가 이러면 요 폐급 놈들은 사무실에도 안 있으려 하거든. 어디다 저장해 뒀는지를 알 수가 없어. 찾으려면 시간이 꽤 걸릴걸? 대신 구조 요청 지점의 환경 정보라면 내가 기억하고 있지."
지휘관,...보수는 얼마 줄 건데?
블라디미르 준위,"보수라... 위대하신 B.R.I.E.F. 인증 사냥꾼님, 이런 촌구석 장성열차 주둔군에 그럴 돈이 있을 것 같슴까?"
지휘관,"열정페이 해라 이거야? 이봐요 준위님, 지금 오랜 친구가 굶어죽기 직전인데 너무 섭섭하게 대접하는 거 아니야?"
블라디미르 준위,"에이, 섭섭하다니 누가 할 소릴. 우리 장성열차 주둔군이 이런 데 파견 나와서 대우가 수직 추락하고 보너스도 받지 못하게 된 게 과연 누구 때문이더라?"
지휘관,......
블라디미르 준위,그래도... 탄약 같은 물자라면 좀 나눠줄 순 있지.
지휘관,...군용 물자 재고 관리는 엄청 빡셀 줄 알았는데?
블라디미르 준위,빡세긴.
블라디미르 준위,요 5년 동안 물자 상황에 대해 질문받은 적 단 한 번도 없어. 꽁꽁 쟁여놔 봐야 쓸 데도 없고 말이지.
지휘관,"그건 그렇네. 좋아, 내가 거기 시생물들을 처리하지."
블라디미르 준위,역시 지휘관님. 믿고 있었다구!
지휘관,대신 추가 조건이 있어.
지휘관,"우리 준위님이 좀 떠올려 주셨으면 하는데. 지형이 복잡하고, 기상 변화가 적고, 시생물이 우글거리고. 이 세 가지 조건을 전부 만족하는 지점이 혹시 있을까?"
블라디미르 준위,있기야 있을 텐데... 머릿속 폴더 뒤지는 데 시간이 쪼끔 걸리네? 내 부탁을 처리했을 때쯤에 딱 떠오를지도?
지휘관,"하, 붕괴 방사선이 기억력도 감퇴시키던가? 이건 또 금시초문이네."
블라디미르 준위,세상은 언제나 새로움으로 가득하다고.
그로자,블라디미르 씨는 여전한 것 같네.
지휘관,"그래, 여전히 사사건건 따지길 좋아한다니까.|군인 말고 암상인이 더 적성에 맞았을 텐데."
그로자,의뢰 정보와 주변 환경 정보 전송받았어.
지휘관,출발하자. 우리 준위님이 기억을 무사히 떠올려 주시길 바라자고.
