캐롤릭,"칫, 이렇게 마구잡이로 방향을 틀다간 놈들을 떼어내긴커녕 우리가 먼저 길을 잃겠어!"
나레이션,(앞차가 급정거하는 바람에 콜펜은 화들짝 놀라면서 브레이크를 밟고 핸들을 약간 돌렸다. 차체가 살짝 비틀리며 심하게 덜컹거렸다.)
콜펜,"자꾸 화내면 얼굴에 주름 생겨요, 캐롤릭~"
캐롤릭,"흥, 화내는 거 아니거든?! 벌써 반나절은 달렸어. 차는 용케도 버텼지만 탄약이 바닥나기 직전이라고. 얼마나 더 도망쳐야 돼?"
그로자,조금만 더. 아직 추격대를 완전히 섬멸했는지 알 수 없어.
캐롤릭,"그것도 그렇고, 이제부터 열차역까지 가야 하잖아. 이정표가 저 하얀 기둥뿐인데 길을 어떻게 찾으려는 거야?!|쯧, 그냥 드론 한 대 슬쩍해올걸 그랬어. 날아가는 게 제일 편했겠다."
콜펜,"우와~, 위성도시에서 가장 눈부신 과녁이 되는 게 꿈인가 봐요~?"
캐롤릭,아 그럼 어쩌라고! 아무나 붙잡고 길이라도 물어보게!?
네메시스,"...광풍, 파도를 휩쓸고 지나가...드리우는 그늘..."
캐롤릭,뭐어? 야! 쫄긴 누가 쫄아!? 그건 네 얘기겠지!
그로자,열차역으로 가는 길을 찾기 전에 먼저 추격대부터 처리해야 해.|저들을 꽁무니에 달고 지휘관과 합류할 수는 없어.
캐롤릭,"그거야 그렇지만, 길을 알아야 가든 말든 할 거 아냐!?"
콜펜,"자아 자아, 운전 중에 떠들지 말고요~|어라? 대장, 저 앞에 길이 막혔는데요~?"
그로자,좌회전.
콜펜,네!
