??,둘 다 수고했어.
레나,리바 언니~
리바,"레나, 일단 좀 놔줄래?"
레나,오랜만인데 리바 언니 너무 차갑다아... 흑흑...
카리나,말썽이 좀 생겼어요.
리바,"응, 놈들이 오데사에 개입하리라는 것까진 짐작했지만, 이 정도로 깊이 침투해 있었다니 예상 밖인걸."
레나,"아 그렇지, 그럼 오늘 지휘관한테 준 신분증도 다 쓸모없어졌겠네? 아직 지휘관이 쓰지 않았다면 다행이지만..."
카리나,원래 계획대로 움직이죠.
레나,오오! 404 소대가 다시 활약할 때네!
리바,"...아니, 이젠 404 소대가 아니야."
레나,그건 그렇지만... 그냥 좀 그리워서~♪
카리나,"추억 이야기는 나중에 하죠. 레나, 당신이 나설 때예요."
레나,맡겨만 줘~
레나,"그럼 이따 봐, 리바 언니, 카린 언니!"
리바,응.
카리나,알렉스는 찾았나요?
리바,찾긴 했어... 너무 늦었지만.
카리나,......
카리나,그런가요... 유족에게 연락은요?
리바,이미 했어.
카리나,"네, 최고 등급으로 예우해 주세요."
리바,응.
카리나,기존의 통신 채널은 더 쓸 수 없어요. 암호화 회선을 바꿔서 지휘관님께 연락해주세요.
리바,"...호오, 드디어 그 호칭을 입에 담을 수 있게 됐네? 지, 휘, 관, 니임~?"
카리나,리바!
리바,꺄아~
카리나,그리고 댄들라이에게 연락하세요. 본인이 키운 일이니까 직접 해결하라고요.
리바,"헤리와 ""이피""를 댄들라이가 키웠다고 표현하긴 좀 그렇지 않아?"
카리나,...누가 그렇게 느긋하게 농땡이 치래요?
나레이션,(나는 승객 한 명을 기절시키고 옷을 뺏어입은 뒤 열차 플랫폼에 숨었다.)
나레이션,"(멀리서 폭발음이 들렸지만, 내 주변은 여전히 일상의 평온함 그대로였다. 그 수상한 그림자들은 열차 플랫폼까지는 따라오지 않았다.)"
나레이션,(...나는 통신 단말기를 꺼냈다. 암호화 통신인 것을 확인하자 살짝 마음이 놓였다.)
지휘관,...여보세요?
카리나,저예요.
지휘관,"카린, 아니, 카리나... 너, 너 괜찮니?"
카리나,...전 괜찮아요. 그쪽은요?
지휘관,아직 열차역이야.
카리나,제가 드린 신분증 혹시 쓰셨나요?!
지휘관,"아직. 방금 수상한 사람이 다가오길래 다른 사람의 신분증을 챙겼어. 지금 열차 플랫폼에 있는데, 이제 쫓아오는 사람은 없어."
카리나,챙겼... 다른 사람 신분증을 훔친 건가요?
지휘관,덤으로 옷도.
카리나,...후훗.
카리나,레나가 새 신분증과 열차표를 전달하러 갈 거예요. 원래 계획대로 여길 벗어나세요. 키이우에서 만나죠.|헬레나를 부탁드릴게요. 앞으로 연락할 때 쓸 암호도 신분증이랑 같이 전해드릴게요.
지휘관,놈들이 이렇게 악착같이 쫓아오는 걸 보면 헬레나의 정체는 확실해. 굳이 더 검사해볼 필요 있어?
카리나,"중요한 ""완전면역체""니까요."
지휘관,...알았어. 그럼 이쪽의 말썽 말인데...
카리나,도시 봉쇄 말인가요? 이미 댄들라이에게 연락했어요. 다만 해결하는 데 시간이 걸릴 거예요.
지휘관,댄들라이? 걔는 지금 뭐 하고 있어?
카리나,"글쎄요, 바캉스라도 즐기고 있겠죠."
지휘관,"그래... 뭐 그건 됐고, 내가 말한 말썽은 그쪽이 아니야."
지휘관,새 신분증과 열차표가 있어도 아직 여길 뜰 수가 없어.
카리나,무슨 일이 있나요?
지휘관,"4시간 전에 그로자 일행과 따로 움직이기로 했어. 나는 먼저 열차역에 와서 기다리고, 그 애들이 헬레나를 구출해서 역으로 오기로. 그런데 아직 그 애들과 합류하지 못했어."
카리나,현재 위치는요?
지휘관,몰라.
카리나,......
나레이션,(통신이 아주 부자연스럽게 몇 초 끊어졌다.)
지휘관,카리나?
카리나,통신 교란이에요.
카리나,"원래 쓰던 통신 채널에 문제가 있어서, 암호화 회선을 바꿔서 연락했어요.|그런데 이번엔 정체불명의 능동 전파 방해가 발생해서..."
지휘관,...네가 개설한 통신 채널을 정확하게 특정해서 교란할 수 있다고?
카리나,"네, 어쩌면 이게 새로운 단서일지도요. 즉시 추적해볼 테니 당분간은 어떤 통신도 쓰지 마세요.|댄들라이의 지원은 조금 시간이 걸릴 거예요. 레나가 곧 그쪽에 도착할 테니, 그로자 일행과 합류하기 전까지 꼭 몸조심하세요."
카리나,...지휘관.
지휘관,응.
지휘관,...카린.
