바랴그단 두목,"이, 이 망할 로봇들이 왜 여기에 있어?! 이 자식들, 두고봐라! 모두 철수해!"
그로자,"멈춰, 콜펜!"
콜펜,즉시 철수보다 추격을 선택했다면 비용과 위험부담이 훨씬 컸을 거다. 이미 엘모호에 아무 위협도 안 되는 놈들이죠. 알아요.
지휘관,"그로자, 소대 상황은?"
그로자,이상 무.
지휘관,"사쟈, 미안하다."
사쟈,뭐가 미안한데?
지휘관,지금 상황 말이야.
지휘관,바랴그단이 이번에 쳐들어온 건 우리가 아까 무작정 공격해서——
사쟈,꺄아~
지휘관,......?
사쟈,"신경 쓰지 마, 저게 바랴그단이 평소에 하는 ""추수""니까."
사쟈,우린 놈들과 미묘한 세력 균형을 이루고 있었어. 밖에 남겨둔 물건은 다 그냥 부수고 가져가라고 놔둔 것들이야. 진짜 중요한 물자는 우리 암상인들이 각자 창고에 잘 보관하고 있지. 보기엔 정신 사납긴 해도 우리 손실은 그리 크지 않아.
지휘관,그럼 다행이고.
사쟈,"물론 당신네들이 있어서 바랴그단이 평소보다 심하게 날뛴 것도 있지만, 그래도 이미 그쪽에서 거의 다 해치워줬으니까. 나머진 우리 스스로 처리할 수 있어. 이제 또 다른 협..."
나레이션,(사쟈의 시선이 콜펜을 스쳤다.)
사쟈,"...음, 좀 더 좋은 장비를 갖춰두면 언제 다른 바랴그단이 쳐들어와도 처리할 수 있겠지."
콜펜,......
사쟈,아무튼 도와줘서 정말 고마워. 근데 지금 이 꼬라질 보니 오늘은 이만 가게 문 닫아야겠다.
사쟈,"도와준 답례로, 같이 우리 동네에 가서 하룻밤 쉬고 가는 게 어때? 베프리의 권한 문제도 처리하고, 가성비 좋은 의뢰에 관해서 자세히 얘기도 하고."
지휘관,"...그래, 그러자. 우리도 마침 처리할 일이 좀 있어서.|모두 같이 가서 쉬자고."
사쟈,"입구의 리프트는 이미 쓸 수 없고, 예비 출입구는 여기서 좀 거리가 있어.|길은 내가 안내할 테니까 그쪽 차에 태워줄 수 있을까, 지휘관?"
지휘관,응.
나레이션,"(나와 사쟈는 함께 엘모호 쪽으로 걸어갔고, 그로자는 다른 소대원들을 이끌고 따라왔다.)"
나레이션,(제일 뒤에 선 콜펜이 주변을 한 바퀴 둘러봤다.)
나레이션,"(암시장의 등불이 하나씩 꺼지면서, 넓은 지하공간이 서서히 어둠에 잠겼다.)"
지휘관,콜펜?
콜펜,응.
나레이션,(그녀는 종종걸음으로 대열에 복귀했다.)
나레이션,(여전히 무표정인 채로.)
