,"설령 태양에서 가장 먼 원일점에 있어도, 햇빛은 절대 사라지지 않는다."
메이링,"또 새 통신이에요! 암호화 채널... 발신자 표시... ""칼끝을 손에 쥐고""?"
지휘관,...연결해.
레나,지휘관!
나레이션,(......)
나레이션,(옛날 악몽에 휩싸였던 그날. 레나의 통신이 새로운 소식을 전달했다.)
나레이션,"(두려움의 중얼거림은 운명을 갖고 노는 마녀에게 살며시 파묻히고, 모래 위에는 과거의 이야기가 써내려져 갔다.)"
나레이션,"(지금, 엘모호는 황야 위를 전속력으로 질주하고 있었고, 경로 데이터 보고가 가끔씩 귀에 들려왔다.)"
나레이션,"（지금은 오후, 햇빛이 가장 강한 시간. 순간 창밖에서 들어온 강한 빛이 지휘실을 가득 채웠다. 잠깐의 눈부심 속에서, 오랫동안 입에 담지 않았던 이름이 머릿속에 떠올랐다.）"
나레이션,HK416... 클루카이.
나레이션,(클루카이와 미슈티는 건물 폐허 속에서 붕괴폭풍을 피하고 있었다.)
나레이션,(회오리에 휩쓸린 모래알이 끊임없이 창문을 두드리며 불안한 소리를 냈다. 금방이라도 날카로운 유리 조각으로 산산조각 날 것만 같이 창문은 삐걱삐걱 소리를 냈다.)
나레이션,（미슈티는 창문에서 멀리 떨어진 낡은 벽에 기대서 창 밖에서 휘몰아치는 붕괴폭풍을 졸린 눈으로 바라보고 있었다.）
미슈티,하아... 여긴 대체 어떻게 돼먹은 곳이야... 붕괴폭풍이 예고도 없이 툭하면 몰아치다니...
미슈티,"안도리스랑 비욜카는 참 좋겠다... 임시 거점에서 뒹굴기만 하고, 사전 조사도 안 나가고..."
클루카이,레드존 근처에서 일기예보를 기대하는 네가 더 이상한 거지.
미슈티,네에네에...
나레이션,(매서운 바람에 휩쓸린 잡동사니가 창문 밖을 지나가면서 미슈티의 시선을 끌었다.)
미슈티,우왓! 방금 그거 뭐야!? 나무 상자가 날아간 것처럼 보였는데...
미슈티,역시 바이크를 건물 안에 넣어두길 잘한 것 같아... 애써 준비한 장비가 바람에 날아가버리면 큰일이잖아.
클루카이,"난 차라리 바람에 날아갔으면 좋겠는데, 그딴 애물단지."
미슈티,"뭘 모른다니까, 클루카이는."
미슈티,"우리가 조사했던 정착지 시설들에 비하면, 이건 완전 보물 수준이라구..."
나레이션,（미슈티는 자신만만한 표정으로 바이크에 묶여 있는 배낭을 바라봤다.）
미슈티,그야말로 동네 아이들도 부러워할 정도로 말이야.
클루카이,"...패러데우스에 관해서 알아보라고 했더니만, 애들하고 놀고 자빠지셨어?"
미슈티,"으우, 그렇게 무섭게 보지 말고... 나도 탐문은 제대로 했으니까... 근데 다들 아는 게 없던걸."
미슈티,"그 정착지 사람들, 패러데우스는커녕 니토 같은 인형조차 본 적 없다고 하더라..."
미슈티,리바가 그랬지? 그놈들 아직도 활동 중이라고. 정말일까?
클루카이,그걸 알면 우리가 이런 임무를 맡을 일도 없겠지.
미슈티,으으... 그냥 물어본 건데...
미슈티,"그나저나, 패러데우스 잔당은 다 처치했다며. 왜 또 나타난 거야... 지치지도 않나?"
미슈티,그렇게 일하는 게 좋으면... 차라리 404에 와서 알바나 하지. 총 쏘는 건 어딜 가도 똑같은데...
나레이션,(폭풍은 전혀 약해질 기미가 보이지 않았다. 미슈티는 짜증이 난 듯 머리를 긁적이다가 벌러덩 드러누워 버렸다.)
나레이션,"(클루카이는 미슈티의 시선을 따라 창밖의 폭풍을 잠시 바라보다가, 이내 짜증이 나기 시작했다.)"
클루카이,어딜 누우려고. 일어나. 임무 중에는 경계 태세 풀지 말 것. 까먹었어?
나레이션,(클루카이는 미슈티에게 다가가 뒷덜미를 잡아당겨 깨우려고 했다. 하지만 미슈티는 나른하게 자세를 바꿀 뿐이었다.)
미슈티,"아아... 어차피 바빠질 텐데, 쉴 때는 쉬는 게 좋잖아아..."
미슈티,"패러데우스랑 관련된 임무는 괜히 어렵기만 한 데다가, 대부분 안 좋은 일만 생겨. 아니지, 대부분이 아니라 무조건."
미슈티,"이런 헛고생만 하는 의뢰를 맡다니, 리바는 대체 무슨 생각이지... 차라리 거점에 가만히 있는 게 더 나았을텐데..."
나레이션,"（클루카이는 손을 놓고, 어이없다는 표정으로 미슈티를 바라보았다.）"
클루카이,"걔가 무슨 생각을 하든, 우리는 맡은 임무를 수행할 뿐이야."
미슈티,딱히 게으름 피우려는 건 아니구... 밖에 폭풍이 전혀 그칠 생각을 안 하잖아. 여기 숨어있는 거 말고는 아무것도 못 해.
미슈티,"클루카이 너도, 좀 편하게 있어봐... 여기 오기까지 패러데우스는 물론이고 바랴그단이나 현상금 사냥꾼도 거의 없었잖아. 여기에 시생물만 없었으면 진짜 치안 좋은 곳이었을걸?"
클루카이,그러니까 수상한 거야. 지금 이 틈을 타서 다음 계획을 짜야겠어.
클루카이,어쩌면 이번에는 지금까지보다 더 험난한 상황이 기다리고 있을지도 몰라.
나레이션,(클루카이는 폐허 사이를 휩쓰는 모래폭풍을 진지한 눈으로 바라봤다.)
클루카이,잦은 붕괴폭풍에 기준치를 훨씬 넘는 방사선량까지... 여기 환경은 리바가 준 정보보다 훨씬 열악해. 그러니까——
미슈티,괜찮아... 어떻게든 되겠지... Zzzzzz... Zzz...
클루카이,............
