나레이션,"(로벨라의 도움으로, 리바 일행은 오데사-01에 성공적으로 잠입한다. 밤을 틈타 치안 관리부의 회수 창고 근처까지 온다.)"
리바,"오데사-01의 통행 제한을 가뿐히 조작하다니, 로벨라 전자전 실력이 예전보다 늘었네."
로벨라,"댄들라이한테 조금 배웠을 뿐이야. 게다가 페르시카가 마인드맵 차원에서 개조해 주지 않았다면, 방법을 알아도 연산 능력이 부족했을 거야."
로벨라,너 그렇게 긴장 안 해도 돼. 전자전 분야에서 우리끼린 절대적인 격차 같은 건 없어.
리바,"긴장? 말도 안 돼, 난 진심으로 칭찬하는 건데."
로벨라,그럼 다행이고.
로벨라,"소프, 거기서 두리번거리지 마, 그림자 노출된다고."
리바,...하하...
로벨라,"뭐야, 왜 웃어?"
리바,너희랑 같이 일하니까 묘하게 익숙한 느낌이 드네.
로벨라,"리바, 너……"
리바,"아, 치안 기계가 멀어졌어."
리바,"창고가 세 동이나 있는데, 순찰 기계가 두 개 분대뿐이라니…|오데사 주 정부는 위성 도시 치안을 엄청 자신하는 모양이네."
로벨라,…우리 움직이자.
리바,"응, 우선 보안 시스템 해킹해서 모니터 영상을 덮어씌우자.|로벨라, 소프, 협력 부탁해."
