나레이션,"(어느 정도 탐색을 한 뒤, 일행은 닫혀 있는 전자식 문 하나 앞에 도착한다.)"
소프,음…… 이 문에 붙은 전자 표지판도 꺼져 있네. 안에는 뭔가?|또 작은 실험 작업실 아니야? 이미 비슷한 게 최소 세 군데나 발견됐잖아.
소프,"하…… 다 비슷해 보여. 구형 소형 치안 기계 몇 대 빼곤 아무것도 없네.|생산 설비도 못 써본 지 최소 1년 넘은 것 같고, 전자장비에 저장된 데이터도 못 뽑아내서 재미없잖아……"
로벨라,"적어도 여기 작은 기계 연구시설이란 건 확실해. 저 기계들은 지라드 그룹이 예전에 오데사 주에 공급했던 치안 기계 부품 구조와 완전히 똑같아.|상표는 없지만, 실소유주는 지라드 그룹이라고 봐야겠지."
로벨라,우리가 제대로 온 것 같네……
소프,"음…… 지라드는 수석을 암살하고, 누명까지 씌우고, 심지어 중무장을 배치하면서……|결국엔 여기 공방의 고물들을 숨기려고 그런 거야?"
로벨라,그럴 리 없어. 지라드는 원래 치안 기계 생산 자격이 있잖아. 굳이 숨길 필요가 없지.
소프,"음, 그럼 대체 여기서 뭘 하던 거지?"
로벨라,알고 싶으면 더 조사해볼 수밖에. |리바?
리바,응. 우선 근처 지선 통로로 이동해서 전자전 준비를 하자.
리바,"내가 알아서 할 테니까, 너희 셋은 날 지켜줘야겠어~"
