나레이션,（안도리스가 조사를 마치고 레벨 2 플랫폼에서 나왔다.）
클루카이,어때?
안도리스,유용한 정보가 별로 없어… 눈에 띄는 건 생산이 갑자기 중단됐다는 점. 수습도 급히 해서 장비에 생산 기록이 조금 남아 있어.
비욜카,"보아하니 그 류리크 의원, 이번엔 급했네? 이렇게 급히 공장 통째로 팔 준비를 하다니."
안도리스,너희는? 찾은 거 있어?
클루카이,없어. 나랑 비욜카가 자재랑 설비를 살폈는데… 전부 일반 재료고 모델도 시중 주류라 쓸만한 단서가 없어.
내레이션,（클루카이가 주위를 차갑게 훑어보며 장비를 베어 버릴 듯했다.）
안도리스,"여긴 1차 작업장일 뿐이야. 더 보자, 다른 실마리가 있을지 몰라."
안도리스,방금 공장 전자 안내도를 찾았어. 우리 나눠서 수색할 수 있어.
내레이션,（안도리스가 안내도를 둘에게 공유했다.）
클루카이,작업장이 너무 많아. 일단 실험실부터 가자.
클루카이,지라드가 급히 처리한 탓에 거기에 잔여 데이터가 남았을 확률이 커.
안도리스,응.
비욜카,언니 지시대로! 출발~!
