나레이션,"（클루카이와 비욜카가 레벨 2 플랫폼에서 나오자, 안도리스는 먹통에서 회복돼 아무 일 없었다는 듯 손을 흔들었다.）"
안도리스,"대장, 발견한 거 있어?"
클루카이,"응, 이 장비 데이터에 삭제·수정·백업 전송 흔적이 있어……"
클루카이,"원본 데이터는 말할 것도 없고, 이 흔적 자체도 꽤 숨겨 놨어. 네가 알려주지 않았으면 놓쳤을 거야."
안도리스,응? 내 발견이랑 관계 있어?
클루카이,......
비욜카,"거 봐, 안도리스도 몰랐다니까!"
안도리스,"응응, 하나도 몰라. 두 마디 듣고 다운됐었어."
클루카이,"……됐어, 중요하지 않아."
클루카이,밖쪽 작업장의 설비들은 정보가 대충 지워져 있었어. 여기와는 완전히 다른 방식이지……|삭제한 놈이 우리가 삭제·이동된 내용을 찾지 못하길 바란 거야. 네가 잡아낸 시간 차가 다시 뒤질 수 있는 실마리가 됐어.
안도리스,맞아…… 보통은 가동 로그를 기준으로 거슬러 올라가잖아. ‘존재하지 않는’ 날짜로 검색할 생각은 안 하지~
비욜카,진짜 교활하네. 클루카이 언니가 똑똑해서 다행이야!
클루카이,너무 좋아하긴 이르다. 지운 걸 복구 못 하면 증거도 없는 거니까.
안도리스,"응응, 나도 도울게. 조작 흔적 역추적해서 살려낼 수 있는 만큼 살려 보자~"
