키로비그,"대체하고 나면, 죽어."
나레이션,"(키로비그가 손을 뻗는 순간, 이그라의 몸이 갑자기 격렬하게 떨리기 시작했다. 그녀는 고통스럽게 무릎을 꿇고, 간신히 손으로 몸을 지탱했다.)"
나레이션,"(하지만 그녀의 등에서는, 무언가가 그녀의 항상 단정했던 옷을 찢고 나오는 듯했다.)"
나레이션,"(피투성이의 뼈대 두 개가 3세대 인형의 인공 피부를 뚫고 밖으로 뻗어나왔고, 나는 거의 뼈가 미친 듯이 자라는 소리를 들을 수 있었다.)"
지휘관,3세대 인형... 이런 것도 가능한 건가?
지휘관,지난번 섹스턴스에게서 발견된 부점 세포 융합의 흔적... 설마 그게...
지휘관,"(깊이 생각할 겨를도 없었다. 이그라의 몸이 빠르게 부풀고, 늘어나고, 뒤틀리며 내 앞의 거대한 괴물로 변했다. 그녀는 등 뒤의 살과 피로 된 날개를 펼치고, 고통스러운 비명을 질렀다.)"
지휘관,"(변이된 이그라는 의식적으로 자신의 움직임을 통제하려 노력하는 듯했지만, 분명히 변이의 지배 아래 모든 노력은 헛수고였다. 거대한 몸이 날개를 퍼덕이며 주위를 무차별적으로 공격했고, 나와 인형들은 미처 피하지 못하고 날갯짓이 일으킨 바람에 모두 땅에 쓰러졌다.)"
나레이션,"(그로자와 콜펜이 나를 끌고 옆으로 피했지만, 가장 먼저 피해를 입은 것은 옆에서 멍하니 이 모든 것을 지켜보던 오르페르네였다.)"
지휘관,보이마스티나!
보이마스티나,......!
나레이션,"(보이마스티나는 이그라의 발밑으로 달려가, 날개가 오르페르네의 머리 위로 휘둘러지기 전에 힘으로 거대한 날개 끝의 뼈 돌기 하나를 붙잡았다―― 하지만 그녀가 온 힘을 다했음에도, 간신히 버티고 있을 뿐이었다.)"
나레이션,"(칼날 같은 날개가 한 뼘 한 뼘 내려오자, 보이마스티나의 몸도 조금씩 가라앉았고, 소체에서는 거의 부서지는 듯한 소리가 나기 시작했다.)"
나레이션,"(나는 이 틈을 타, 그로자와 콜펜의 엄호 아래, 서둘러 오르페르네를 안전한 곳으로 데려갔다.)"
나레이션,"('챙' 하는 소리와 함께, 금속 빛을 띠는 뼈 돌기가 마치 단두대처럼 방금 오르페르네가 서 있던 곳에 떨어져, 거의 플랫폼 바닥 전체를 꿰뚫었다.)"
오르페르네,왜 날 구했어!
오르페르네,그냥 죽게 내버려 둬!!!
지휘관,"네가 여기서 죽는다고 해서 아무 문제도 해결되지 않아. 일단 살아남고, 다른 해결책을 찾아."
오르페르네,하지만 너도 봤잖아... 나... 나는 아무것도 못 한다고...
오르페르네,만약 내가 아니었다면...
지휘관,지금 네가 자책하고 있다는 거 알아.
지휘관,"하지만 넌 마지막에 그 버튼을 누르지 않았어. 눈앞의 모든 일이, 전적으로 네 탓은 아니야."
오르페르네,하지만 나는...
지휘관,"붕괴 입자는 이미 수집되었고, 그 니토는 이미 자기 생각대로 이 모든 것을 설계했어."
지휘관,왜 그녀가 그렇게 네가 버튼을 누르길 원했는지는 모르겠지만... 넌 그 집행인이 아니야.
지휘관,"더 이상 문제를 일으키고 싶지 않으면, 날 꽉 따라와."
지휘관,"앨바, 너희 쪽 상황은 어때? 여기 내부 시스템에 해킹할 수 있어?"
앨바,시스템에 연결했습니다. 404 소대가 해독 방법을 찾고 있습니다.
지휘관,얼마나 더 걸려?
앨바,5분입니다.
지휘관,알겠습니다.
지휘관,"보이마스티나, 정면에서 화력을 끌어줘."
보이마스티나,알았어.
지휘관,"그로자, 너랑 나는 같이, 측면에서 이 녀석을 교란하자."
지휘관,"콜펜, 오르페르네의 안전을 확보하면서 우리를 지원해 줘."
지휘관,작전 개시.
지휘관,"부탁한다, 모두!"
