벡터,"지휘관, 저번 작전 보고에 따라서 하프시가 훈련 모드를 다시 조정했어."
하프시,그렇네.
하프시,이제 훈련 모드의 모든 데이터는 내부 인트라넷을 사용해서 외부 적이 출현할 가능성을 근본적으로 차단했어요.
하프시,"그리고 기존 데이터베이스를 참고해 예상을 벗어난 상황이 다시는 자동으로 생성되지 않도록 조치했으니까, 안심하고 훈련할 수 있어요."
비욜카,에에? 그 기능 엄청 좋았는데!
비욜카,"미슈티, 이것도 네가 제안한 수정 사항 중 하나야?"
미슈티,엘모호에 있는 모든 사람이 그 영상을 봐버렸잖아. 괜히 네가 그 영상을 동네방네 틀고 다녀서...
미슈티,클루카이가 그걸 보고 나를 찾아와서... 며칠 동안 추가 훈련 받느라 고생했다구...
미슈티,"난 그냥 재미있는 장면이라서 기록했을 뿐이지, 그 영상은 나랑 전혀 상관없는데."
비욜카,"히히, 그건 나랑 클루카이 언니 사이의 우정의 증거인걸! 몇 번을 봐도 질리지 않아~"
미슈티,"그나저나, 훈련 모드 테스트하는 데 이렇게 많은 사람이 모일 필요는 없지 않아?"
미슈티,"하프시는 디자이너니까 빠진다고 쳐도, 한 판에 필요한 멤버는 4명이니까 여기 있는 사람들로 이미 충분하잖아."
미슈티,"다들 수고했고, 나중에 플레이 소감 들려줘어~ Z... zz..."
클루카이,미슈티! 일과 훈련을 빼먹을 생각 하지 마.
미슈티,"그치만 이건 하프시의 새 훈련 모드를 테스트하러 온 거지, 일과 훈련이랑은 별개 얘기잖아..."
미슈티,"오늘 훈련량은 이미 다 채웠으니까, 하프시가 만든 훈련 모드 테스트가 다 끝나면 정식 버전으로 체험하게 해줘."
안도리스,"하프시가 훈련 모드 개선할 때 네 의견을 많이 참고했잖아, 미슈티."
하프시,"네, 미슈티의 의견이 필요했어요."
안도리스,지금 훈련 모드는 개선을 거쳐서 엄청 재밌다고 들었어.
하프시,지휘관님의 요구에 따라 소대의 팀워크를 강화하는 방향으로 훈련을 많이 수정했어요.
하프시,미슈티도 인정해 줄 수 있는 훈련 모드를 만들고 싶었어요.
미슈티,뭐야... 나한테 인정받는 게 그렇게 중요해?
안도리스,"그럼 네 의견이 꼭 필요하겠네, 미슈티."
미슈티,"미리 말해두지만, 난 게임 평가에 아주 깐깐하다고."
미슈티,"게임으로 만들었다고 해도, 훈련 모드는 결국 훈련이니까..."
비욜카,"언니랑 같이 훈련할 수 있다면, 나한텐 그게 바캉스고 행복이야!"
