위시 마스터(청안),쿠우웅...
나레이션,(수차례의 격전 끝에 위시 마스터가 얌전해졌다.)
지휘관,휴우... 이제야 좀...
콜펜,어... 어머나~!
콜펜,"설마 이 강력한 위시 마스터를 쓰러뜨리다니, 그야말로 전례없는 전설을 쓰셨네요!"
지휘관,"어떻게 쓰러뜨렸는지는 나중에 말하고, 콜펜, 이게 대체 어떻게 된 일이야?"
콜펜,그게... 지휘관님이 싸우시는 동안 메이링한테 물어봤거든요?
콜펜,"기획서에 요구사항을 ""지휘관님이 전투 지휘하면서 매력을 최대한 뽐낼 수 있도록""이라고 적어놨더니...|지휘관님만 보면 미친 듯이 전력으로 덤벼들도록 개조한 모양이에요..."
지휘관,...이것도 한두 번 겪는 일이 아닌 것 같고.
지휘관,됐다. 아무튼 싸움이 끝났으니까 이제 쉴 수——
콜펜,여억~시! 지휘관님의 진심 앞에선 아무리 강력한 적도 버틸 수가 없었네요!
콜펜,이것이 바로! 지휘관님과 인형 사이의 가장 끈끈한 유대!
콜펜,"그럼 이어서, 지휘관님은 이번엔 과연 어떤 강적과 맞서게 될까요? 모두 기대해주세요!"
지휘관,잠깐만...
지휘관,더 있다고?
콜펜,그야 물론이죠~!
콜펜,응원하고 싶은 그녀를 위해 전력을 다하는 지휘관님의 모습! 거기 반하지 않을 사람이 세상에 어디 있겠어요?
콜펜,"다른 사람은 물론, 콜펜도 방금 지켜보면서 계속 두근두근했다고요~!"
콜펜,그러니까 모두를 만족시킬 수 있도록 지휘관님께서 계속 힘내주세요~!
