??,지휘관님! 들리시나요? 지휘관니이임!
나레이션,"(붕괴폭풍을 뚫고, 드론 2대가 나의 위치로 급강하했다.)"
나레이션,"(드론에 장착된 단거리 통신기에서 흘러나오는 목소리는 신호 교란 때문에 뚝뚝 끊겼지만, 그 목소리를 들은 순간 우리 모두 안도했다.)"
지휘관,"메이링, 타이밍 환상적이었어. 기지차량은 어때?"
메이링,우리 망해써여 지히간니이임!! 엘모호 완전 구멍 송송 바람 숭숭이에여어어!!
지휘관,...아...
메이링,창고 물자도 부품 재고도 전멸이에요! 제가 모아뒀던 붕괴결정 샤드까지 싹 다 털렸다고요! 으아앙!!
지휘관,"어... 메이링? 괜찮아, 샤드는 다시 모으면 되잖아. 일단 우릴 여기서 탈출시켜 줘.|드론 얼마나 더 날 수 있어?"
메이링,아...! 아아 그렇지! 지휘관님이 계시니까 돈은 또 벌면 되죠!
나레이션,"(메이링은 드론 한 대로 개조 기갑에게 제압 사격을 가하는 동시에, 다른 한 대를 살짝 먼 위치의 안전한 절벽 위에 착륙 대기를 시켰다.)"
메이링,지금 드론에 남은 연료면 56분은 버틸 거예요! 빨리 타세요!
지휘관,"그로자, 네메시스, 철수한다.|상자 챙겨!"
