나레이션,"(리바 일행은 로벨라의 활약으로 무사히 ODE-01에 잠입하여, 밤을 틈타 치안관리국의 증거물 보관 창고 부근까지 도달했다.)"
리바,위성도시의 통행 제한을 순식간에 해치우다니. 예전보다 전자전 실력 엄청 늘었구나?
로벨라,"댄들라이가 한 수 가르쳐준 덕이죠. 그리고 페르시카 씨가 마인드맵 업그레이드를 해주지 않았다면, 방법을 알아도 연산력이 부족했을 거예요."
로벨라,"너무 신경 쓰실 필요 없어요, 리바 씨랑 그렇게 엄청 차이 나는 것도 아니니까."
리바,"에이, 신경 쓰긴 무슨~. 그냥 진심으로 칭찬하는 건데?"
로벨라,그럼 됐고.
로벨라,"소프, 거기서 두리번거리지 마. 그림자 보여."
리바,하하...
로벨라,왜 웃으세요?
리바,"아니, 왠지 뭐랄까, 오랜만에 너희랑 같이 작전 뛰니까 그리운 기분이 들어서."
로벨라,리바 씨...
리바,"아, 치안 로봇 저 멀리 갔다."
리바,"그나저나, 창고는 세 채인데 순찰 병력은 두 부대뿐이라니...|오데사 주 정부는 위성도시 치안에 엄청 자신 있나 봐?"
로벨라,...움직이죠.
리바,"먼저 보안 시스템부터 해킹해서, 감시 카메라 영상을 덮어씌우자.|얘들아, 서포트 부탁해."
