나레이션,"(한바탕 조사를 마치고, 일행은 굳게 닫힌 전자식 문 앞에 섰다.)"
소프,"칫, 이 문도 전자 표시판이 먹통이네. 안에 뭐가 있으려나...|또 쬐끄만 실험장은 아니겠지? 벌써 3개나 봐서 재미없는데."
소프,"하아아... 세 곳 다 그게 그거잖아! 다 낡아빠진 치안 로봇 말곤 아무것도 없는 게 말이 돼?|생산 라인도 최소 1년은 넘게 방치돼 있고, 전자 설비에선 데이터도 못 뽑고, 재미없어어어..."
로벨라,"최소한, 여기가 소형 기계를 다루는 연구소라고 추정할 순 있겠어. 그 기계들, 초기에 지라드 그룹이 오데사주에 공급하던 치안 로봇들과 구조가 완벽하게 일치해. 로고는 안 붙어 있긴 하지만, 이곳의 실질적인 소유자는 십중팔구 지라드 그룹이야."
로벨라,제대로 찾아온 것 같네...
소프,"흐음... 수석을 암살하고, 누명 씌워서 모함하고, 경비병까지 잔뜩 쓰면서 하려던 게...|고작 이딴 고물 창고 숨기기라고?"
로벨라,"그건 아닐 거야, 애초에 지라드 그룹은 치안용 기계 생산 라이센스가 있는걸. 애써 숨길 이유도, 필요도 없어."
소프,으음... 그럼 여긴 진짜 뭐 하는 데지?
로벨라,궁금하면 계속 조사해봐야지.|리바 씨?
리바,"응, 저쪽 갈림길로 이동해서 해킹 준비하자."
리바,"이건 나 혼자서 처리 가능하니까, 그동안 셋이서 엄호 부탁해~"
