나레이션,(안도리스는 조사를 마치고 레벨 2 플랫폼에서 로그아웃했다.)
클루카이,어때?
안도리스,"쓸모 있는 정보는 거의 없네... 그래도 눈에 띄는 건, 이 공장의 생산이 갑자기 중단됐다는 거야. 뒷처리도 날림으로 해놔서, 설비에 일부 생산 기록이 그대로 남아 있어."
비욜카,"그 류리크 의원이라는 사람, 이번엔 엄청 급했나봐? 공장을 통째로 이렇게 후다닥 팔아치우려고 하다니."
안도리스,너희는? 뭔가 알아낸 거 있어?
클루카이,"없어. 비욜카랑 꼼꼼하게 확인했는데... 원재료도 딱히 특별할 거 없었고, 장비도 시중에 흔히 유통되는 것들이야. 별다른 실마리는 없었어."
내레이션,"(클루카이는 주위를 차갑게 훑어보며, 마치 눈빛으로 장비를 베어버릴 듯이 쏘아보았다.)"
안도리스,여긴 아직 제1작업장일 뿐이야. 좀 더 살펴보자. 혹시 다른 단서가 있을지도 모르잖아?
안도리스,방금 이 공장의 전자 안내도를 찾았어. 우리 흩어져서 수색하자.
내레이션,(안도리스는 안내도를 다른 두 명에게 공유했다.)
클루카이,작업장이 너무 많아. 먼저 실험실부터 가자.
클루카이,"이렇게 급하게 해치우고 갔다면, 그쪽에 아직 데이터가 남아있을 가능성이 높겠어."
안도리스,예.
비욜카,명령 받들겠습니다! 출발~!
