나레이션,"(클루카이와 비욜카가 레벨 2 플랫폼에서 나오자, 시스템이 회복된 안도리스가 마치 아무 일도 없었다는 듯 손을 흔들었다.)"
안도리스,"대장, 뭐 찾아낸 거 있어?"
클루카이,"응. 이 장비에 기록된 데이터에는 삭제, 수정, 외부 백업의 흔적이 있어."
클루카이,"장비 안의 원본 데이터는 말할 것도 없고, 이 흔적들만 봐도 꽤나 잘 숨겨져 있네. 네가 말 안 해줬으면 우리도 놓쳤을 거야."
안도리스,응? 그거 내가 발견한 거랑 관계 있는 거야?
클루카이,......
비욜카,"봐, 내가 말했지? 쟤도 제대로 이해한 건 아니라니까!"
안도리스,"응응, 전혀 모르겠던걸. 설명을 듣던 중에 다운된 것 같아."
클루카이,"...됐어, 중요한 건 아냐."
클루카이,"밖에 작업장에 있는 장비들은 자료 뒷처리가 너무 허술했어. 하지만 이곳에서 사용된 방식은 완전히 달라...|삭제되거나 옮겨진 내용이 뭔지, 우리한테 절대로 들키기 싫었던 모양이야. 네가 발견한 시간의 차이 덕분에 다시 한번 조사할 기회를 잡은 거고."
안도리스,"맞아... 보통은 다들 시작 날짜를 기준으로 쭉 추적해나갈 테니까. ""존재하지 않는"" 날짜로 누가 검색을 해보겠어~"
비욜카,"으, 진짜 음흉한 녀석이네. 그래도 우리 클루카이 언니가 똑똑해서 다행이야!"
클루카이,아직 좋아하긴 일러. 삭제된 내용을 복구하지 못하면 결국 아무것도 증명할 수 없어.
안도리스,"응응, 나도 거들게. 조작 흔적을 따라 역추적하다 보면 어느 정도는 복구가 가능할 거야~"
