칠로베이그,"그리고, 죽어."
나레이션,"(칠로베이그가 손을 내밀자, 갑자기 이글라의 몸이 심하게 움찔거리기 시작했다. 이글라는 고통스러워하며 무릎을 꿇었고, 바닥에 손을 짚어 몸을 지탱했다.)"
나레이션,(그녀의 등에서 무언가가 정장을 찢고 튀어나왔다.)
나레이션,(피가 철철 흐르는 골격 덩어리 두 개가 3세대 인형의 모조 피부를 뚫고 뻗어나왔다. 뼈가 우악스럽게 자라나는 소리가 들렸다.)
지휘관,3세대 인형은... 저런 것도 되는 거야?
지휘관,섹스턴스에게서 발견했던 부점 세포 융합 흔적이... 설마 이런 식으로...
지휘관,"(자세히 생각할 겨를이 없었다. 이글라의 몸뚱이는 빠르게 팽창하고 늘어나며 비틀리더니, 곧 거대한 괴물로 변했다. 그리고는 등에서 자라난 핏덩어리 날개를 펼치며 고통 가득한 포효를 내질렀다.)"
지휘관,(변해 버린 이글라는 아직 남아있는 의식으로 자신의 몸을 제어하려 했다. 하지만 변이의 지배 앞에서 모두 헛수고였다. 거대한 괴물이 날개를 퍼덕이며 주변을 무차별적으로 공격했다. 나와 인형들은 대비할 틈도 없이 거센 바람에 휩쓸렸다.)
나레이션,(그로자와 콜펜이 나를 붙잡아 한쪽으로 피신시켰다. 하지만 가장 먼저 휩쓸린 건 멍하니 상황을 보고 있던 오르페루네였다.)
지휘관,보이마스티나!
보이마스티나,......!
나레이션,"(보이마스티나가 이글라의 발치까지 뛰어들어, 뼈 날개가 오르페루네를 후려치기 직전에 그 끝의 가시를 붙잡았다. 하지만 보이마스티나가 온 힘을 다해도 간신히 버티는 게 고작이었다.)"
나레이션,"(날카로운 칼날 같은 날개가 점차 아래로 내려감에 따라, 보이마스티나의 몸이 조금씩 짓눌렸고 소체가 으스러지는 소리가 났다.)"
나레이션,(나는 그 틈에 그로자와 콜펜의 엄호를 받으며 오르페루네를 안전한 곳으로 데려갔다.)
나레이션,"(챙, 하는 소리와 함께 금속 광택이 번쩍이는 뼈 가시가 마치 작두처럼 오르페루네가 서 있던 자리에 처박혔다. 플랫폼 바닥을 통째로 꿰뚫는 위력이었다.)"
오르페루네,왜 구했어요!?
오르페루네,그냥 죽게 놔두라고요!!
지휘관,여기서 죽는다고 해결되는 건 아무것도 없어. 문제를 해결하려면 일단 살아남아야 해.
오르페루네,"당신도 봤잖아요... 전... 전 할 수 있는 게, 아무것도..."
오르페루네,애초에 다 제가...
지휘관,지금 자책감으로 괴로운 거 알아.
지휘관,하지만 넌 결국 버튼을 안 눌렀어. 지금 이 모든 게 네 탓인 건 아니야.
오르페루네,하지만 저는...
지휘관,붕괴 입자는 진작에 모여 있었어. 저 니토가 처음부터 자기 생각대로 전부 설계해 놨겠지.
지휘관,녀석이 왜 그렇게 네가 버튼을 누르도록 유도했는지는 모르겠지만... 너는 학살자가 되지 않았어.
지휘관,"말썽 더 키우기 싫으면, 날 따라와."
지휘관,"앨바, 그쪽은 어때? 내부 시스템 해킹, 되겠어?"
앨바,이미 404가 시스템에 접속해서 해킹 시도 중이다.
지휘관,얼마나 더 걸려?
앨바,5분.
지휘관,알겠습니다.
지휘관,"보이마스티나, 정면에서 놈의 시선을 끌어줘."
보이마스티나,알았다.
지휘관,그로자는 나와 함께 측면에서 저 녀석을 견제하고.
지휘관,콜펜은 오르페루네를 지키면서 되는 대로 지원 사격을 해줘.
지휘관,작전 개시.
지휘관,모두 부탁할게!
