시아,이상해...
나레이션,"(끊어진 통신기를 보며, 시아는 위화감을 느꼈다.)"
나레이션,"(하지만 잠시 후, 다시 연결된 통신은 그녀의 위화감을 누그러트렸다.)"
특수작전팀 2분대장,"시아 씨, 특수작전팀 2분대입니다."
나레이션,(적의 통신기를 전부 회수한 로렐라이가 다시 교신을 한 것이었다.)
로렐라이,"네, 임무는 순조롭습니다. 지하 감옥까지 60분 정도 남았습니다."
로렐라이,......
로렐라이,"예, 현재 위치 동기화 완료했습니다."
로렐라이,"방금 전 통신 말입니까? 죄송합니다. 예상대로 시생물과 교전이 있었습니다. 네, 무사히 해결했습니다."
로렐라이,안심하세요.
나레이션,(로렐라이는 능숙하게 통신기를 자신의 몸 어딘가에 집어넣었다. 겉보기에는 그만한 공간이 전혀 없었는데도 말이다.)
지휘관,이번엔 연기 잘했네.
지휘관,아깐 일부러 티낸 거야?
로렐라이,시아가 자길 생포하려고 공을 엄청 들였거든. 당연히 이쪽도 조심스러울 수밖에.
로렐라이,"어차피 연락은 올 거였고, 들키는 것도 시간문제였어. 그럴 바엔 차라리, 이 긴장감을 이용해서 지휘관이 날 몸으로 기억하게 만들고 싶었지."
나레이션,"(로렐라이가 내게 다가와 몸을 굽혔다. 상황과 어울리지 않는 광경 속에서, 나는 그녀가 통신기를 어디에 숨겼는지 알 수 있었다.)"
로렐라이,"혹시, 역할극이 너무 일찍 끝나서 아쉬워?"
지휘관,궁금한 게 하나 있어.
로렐라이,"어머, 뭔데? 최대한 만족시켜 줄게."
지휘관,보아하니 시아와 연락하는 건 저 정체 모를 적에게서 통신기를 탈취해야 가능한 모양인데.
로렐라이,"신호를 가로채는 건 쓸데없이 일을 키울 수도 있어... 그보단, 자기를 가로채는 게 더 흥분되는걸...?"
나레이션,(나는 ‘저 사람들을 전부 처리한 건 말썽이 아닌가?’ 라고 속으로 생각했다. 하지만 지금은 그런 것보다 더 중요한 질문이 있었다.)
지휘관,"그럼, 네가 맨 처음에 받았던 통신은 누구한테서 온 거야?"
로렐라이,......
