울리드,"지휘관, 바실이 성공했다!"
나레이션,"(묵직한 굉음과 함께 흙먼지가 자욱하게 피어오르는 가운데, 옴니셸드론이 제자리를 맴도는 속도가 점점 느려지다, 마침내 완전히 정지했다.)"
나레이션,"(그런데, 바실이 보이지 않았다.)"
나레이션,"(조지의 후속 지원군이 곧 도착할 예정에, 보위군의 봉쇄선도 점점 우리를 향해 죄어 오고 있다. 지금은 바실을 찾는 것이 중요하니, 잠시 전열을 가다듬어 다음을 도모해야 한다.)"
지휘관,그로자는 나와 함께 옴니셸드론을 수색하자. 바실을 찾아야 해.
그로자,알았어.
나레이션,"(우리의 지원군이 드디어 보위군의 봉쇄선을 돌파했는지, 때마침 매우 높은 감도의 신호가 통신 채널에 접속했다.)"
마키아토,"이, 이번엔 내가 제일 먼저 도착한 거 맞지!? 야 지휘관, 너 지금 어디야!"
지휘관,"마키아토, 지금 주케로 멤버들도 같이 있어?"
지휘관,"정보 동기화해 줄 테니까, 이 구역에서 조지와 시아의 흔적을 수색해 줘."
마키아토,"어? 아아, 알았어. ...어? 잠깐! 나 말 안 끝났어, 통신 끊지――"
나레이션,"(마키아토의 통신을 종료하자마자, 곧바로 다른 통신 요청이 들어왔다.)"
클루카이,"생명의 은인에게, 뭔가 하실 말 없나요?"
지휘관,어... 이번엔 보수를 받아줄래?
클루카이,저번에 저흴 도와주셨으니까... 이번엔 필요없어요.
지휘관,매번 그렇게 말하네... 한 번 도와준 걸 가지고 몇 번이나 갚으려고 그래?
클루카이,흥... 근처에 있는 보위군도 제압해 드릴게요. 보수는 돌아가서 청구하죠.
나레이션,"(내가 없는 동안 그로자가 지원 요청을 한 것은 알았지만, 이렇게나 많이 올 줄이야.)"
나레이션,(당장 하나하나 모두에게 무사하다고 답해야 하는지 의문이 들었다.)
강우,"지휘관님! 나야 나! 휴우, 드디어 연결됐네. 지금 상황 어때?"
강우,"아참참, 계절풍 소대, 현재 모코쉬에서 대기 중! 얼른 명령을 내려 줘!"
지휘관,"정보를 보냈으니, 그 두 사람을 찾아. 그리고, 다른 소대 지원에도 신경 써 주고."
강우,알았어! 걱정 말고 우리한테 맡겨!
강우,"아앗 잠깐! 지휘관님, 내 질문에 대답 안 했잖아! 지금 상황 어떠냐니까? 나만이 아니라 다른 사람들도 엄청 궁금해한단 말야!"
지휘관,"난 무사해, 너무 걱정 마."
나레이션,"(물론 상처 하나 없지는 않지만, 지금 이들을 걱정시키게 했다간 일만 더 커질 것 같았다.)"
강우,"그래? 다행이다~ 아, 지금 언니가 옆에서 그러는데, 돌아가서 신체 검사 철저하게 할 거래!"
나레이션,(...역시 대연까지 속여넘길 수는 없나 보다.)
나레이션,"(그밖에도 여러 통신들을 처리하면서, 나는 그로자와 함께 멈춰 선 옴니셸드론에게 접근했다. 다만 멀찍이서 나를 지켜보는 로렐라이의 시선을, 이때는 전혀 알아채지 못했다.)"
그로자,"지휘관, 저쪽에..."
나레이션,"(그로자의 시선을 따라간 그곳에는 옴니셸드론의 강철 가시에 걸린 바실이 있었다. 주위에 그의 공구가 사방으로 흩어진 것으로 보아, 혼란 중에 튕겨져 나간 모양이었다.)"
지휘관,...상태가 심각한데.
나레이션,"(말하기 무섭게, 줄곧 감겨 있던 그의 눈꺼풀이 뜻밖에도 천천히 열렸다.)"
지휘관,몸은 좀 어때?
바실,"걱정 마, 안 죽어... 갈비뼈 몇 대 나간 정도쯤이야..."
나레이션,"(물론 아니었다. 그는 지금 심각한 부상을 입었지만, 아직 끝나지 않은 전투에 마음을 놓지 못해 무리하는 것이었다.)"
지휘관,...지금 어떤 꼴인지나 보고서 말해.
지휘관,"우선 응급처치부터 하자. 억지로 일어나려 하지 마, 구조대가 지금 오고 있어."
바실,조지는... 어떻게 됐지...?
바실,"참... 화이더 선생님이랑, 메이링은... 지하, 제어 센터에서, 대기 중이야..."
나레이션,"(이전에 점검하면서 그들이 남겨 둔 취약점 덕분인지, 지하 제어 센터의 권한을 획득하는 데 그리 오래 걸리지 않은 듯했다.)"
지휘관,지하의 상황은 어때?
바실,"여기 오기 전에... 수자원, 전력, 운송, 격리층 시스템까지, 지하의 모든 ‘생명선’을... 탈취해냈지..."
바실,지휘관... 우리... 이길 수 있을까?
지휘관,......
지휘관,"안심해. 네가 옴니셸드론을 무력화한 덕분에, 나머지 일이 훨씬 수월해졌으니까. 차근차근 해 나가면 돼."
지휘관,"무엇보다, 지금 이만큼 해낸 것만으로도 이미 이긴 거야. 성급하게 마무리지으려 하다간 일만 그르치고 말걸?"
나레이션,(나는 바실이 흥분하지 않도록 최대한 가벼운 투로 대꾸했다.)
나레이션,"(조지의 보위군이 압박해 오고 있는 만큼, 여기서 교전하기보다는 신속히 후퇴하는 것이 급선무다. 다음 행동을 계획한 뒤, 다른 전장을 선택해야 한다.)"
나레이션,"(우리 또한, 옐로우존에 주민들의 피와 땀으로 세워진 무역 도시가 폐허로 변하는 꼴을 보고 싶지 않다.)"
지휘관,"여태까진 하수도가 너의 족쇄였겠지만, 이젠 너의 날개가 될 거야."
지휘관,"지하에서부터 조금씩 지상으로 공략해 나가는 건, 이젠 결코 환상이 아니야."
지휘관,"실제로 봐, 지하의 중요 시스템들을 전부 장악했잖아? 도시는 곧 지금보다 더 큰 혼란에 빠질 테고, 옴니셸드론까지 더하면... 모코쉬의 명줄은, 지금 우리가 쥐고 있다 해도 과언이 아니라고."
바실,"그런가... 이 날을, 얼마나 기다려 왔는지..."
바실,"난 이제 잃을 게 없어... 모코쉬 사람들은, 대부분 마찬가지야..."
바실,"우린 그저... 우리의 것을, 되찾고 싶을 뿐이라고..."
바실,"모코쉬의 하수도를 장악했다면... 이 도시의 절반을, 장악한 거나 다름없어..."
지휘관,"나머지 절반은, 내가 도와줄게."
나레이션,"(응급처치를 마치고 나니, 바실은 상태가 더 나아 보였다. 스스로 자리에서 일어나, 천천히 앞으로 발을 내디뎠다.)"
바실,이제... 지하의 힘을 움직일 차례군.
나레이션,(나는 그의 등을 가볍게 두드렸다.)
지휘관,"그래, 앞길은 내가 깔아 줄 테니 걱정 마."
나레이션,"(그리고, 나도 천천히 그의 뒤를 따랐다. 아직 싸움은 끝나지 않았다. 이제부터가 시작이다.)"
그로자,......!
나레이션,"(내 뒤를 바짝 따르던 그로자가, 거칠어진 노면 때문에 넘어질 뻔했다. 평소의 그녀라면 상상도 못할 일. 모코쉬에서 너무 많은 일이 있었던 탓에 오랫동안 극도로 긴장한 채였을 테니, 불안정한 상태로는 분명 고문이나 다름없었을 것이다.)"
나레이션,"(그런데도, 그로자는 작은 신음조차 내지 않으려고 애썼다.)"
지휘관,그로자.
나레이션,"(나는 그녀의 손을 잡고 내 쪽으로 끌어당겨, 몸을 받쳐 주었다.)"
지휘관,"미안해, 내가 너무 늦었지?"
그로자,"...아니야, 난... 난, 지휘관이 무사하기만 하면..."
그로자,"나…… 난 계속 걱정했어, 내가 지휘관 곁에 있으면 지휘관이 더 위험해질까 봐."
그로자,"하지만 정작, 당신이 곁에서 사라지니까... 미칠 것만 같았어. 미안해, 지휘관..."
지휘관,...이해해.
지휘관,‘적양파’... 이미 기억난 거지?
그로자,...다 알아챘구나.
나레이션,"(그로자가 내 손을 놓으려 해, 그 손을 더 세게 쥐었다.)"
그로자,"그날이, 정말로 다가올까 봐... 걱정돼."
그로자,"지휘관의 눈 속에, 정말 괴물로 변해버린 내가 비칠까 봐 두려워."
그로자,"...지휘관, 약속해 줘. 만약에, 정말로 그런 날이 오면... 망설이지 말고, 나를 죽여 줘. 나를 완전히 파괴해 줘."
지휘관,그로자.
나레이션,"(이런 마음을 입 밖으로 꺼내기까지, 얼마나 큰 용기가 필요했을까.)"
나레이션,"(내가 그녀에게 줄 수 있는 것은 신뢰 말고도, 어쩌면 일종의 보증일지도 모른다는 생각이 들었다.)"
지휘관,약속할게.
지휘관,"이 일을 해결할 때까지, 네가 걱정하는 일이 절대로 일어나지 않도록 하겠다고, 약속할게."
나레이션,"(나의 이 대답에 마음을 굳힌 듯, 그로자는 다시 내 곁에 섰다.)"
