모코쉬 시민,......!
나레이션,"(그들 중 누군가는 화면 속의 그것을 본 적이 있었다. 아니, 화면 속의 그 '차'를.)"
나레이션,"(상처투성이에, 방금 전 혈전을 치른 듯 완전히 기능을 상실한 듯한 '엘모호'였다.)"
렌틴,"나도 알아. 너희 중 많은 이들에게, 특히 우리를 막을 수 있다고 착각했던 그 멍청이들에게."
렌틴,"이 기지차량은 마치 신화 속에서 걸어 나온 군신의 전차 같았고, 너희의 구세주 같았겠지."
렌틴,이 차량만 있으면 너희 오합지졸들이 정말로 나와 재단을 이길 수 있을 거라고 생각했나?
렌틴,"그따위 고철 덩어리들과 인형 몇 기만으로, 우리 매그니 시큐리티와 군의 화력에 맞설 수 있을 거라고?"
렌틴,꿈은 꿈속에서나 꿔라!
렌틴,"이 세상에 신 따위는 없다, 기적도 없고!"
렌틴,너희 같은 놈들이 우리에게 맞서겠다는 건 그저 사마귀가 수레바퀴를 막아서는 꼴에 불과해!
렌틴,"고작 지상 전함 한 척 따위는, 매그니 시큐리티와 군 앞에선 손가락 하나만 까딱해도 으스러질 쓰레기일 뿐이다!"
렌틴,"이제 이 녀석은 우리가 완전히 파괴했고, 이 안에 있던 부대도 더 이상 너희를 지원할 수 없어."
렌틴,그놈들은 제 목숨조차 부지하지 못했다!
렌틴,"그러니 여전히 헛된 저항을 계속하는 무지한 놈들아, 하수구의 쥐새끼 같은 인형들아. 잘 생각해 보아라. 그 허황된 이상을 위해 목숨을 내던지는 게 정말 가치 있는 짓이더냐?"
렌틴,"소위 '영웅'이란 자들이 희망과 공정을 가져다줄 거라 믿다니, 우습고 유치하지 않나?"
렌틴,"지금이라도 정신 차리고 항복한다면, 관대한 처분을 내려주마."
렌틴,조건은 단 두 가지다.
렌틴,"첫째, 재단의 지시에 따를 것."
렌틴,"둘째, 지휘관을 내게 넘길 것."
나레이션,(——생사는 묻지 않겠다.)
렌틴,"반항자들, 엘모호의 공범, 보위군의 잔당들."
렌틴,"아니면 또 다른 멍청한 생각을 품은 놈들, 어디 한 번 너희의 그 멍청함을 행동으로 옮겨 보시지——안 그래도 너희를 못 찾아서 짜증 나던 참이니까."
렌틴,"과거, 현재, 그리고 미래."
렌틴,모코쉬는 오직 재단만의 것이다.
렌틴,"그리고 지금, 내가 바로 재단의 의지다."
렌틴,"지휘관을, 내놔라!"
