지휘관,"냄새 정말 좋다. 그로자, 커피 내리는 중이야?"
그로자,"응, 지휘관. 방금 드링크 바를 청소했어."
그로자,일 끝났으면 한번 볼래?
지휘관,음... 음료 종류가 아주 다양하네... 음...
그로자,"응? 지휘관, 뭘 찾는 거야?"
지휘관,죽을 만큼 단 걸레물이 없는지 확인해 봤어...
그로자,"후훗, 죽을 만큼 단 걸레물은 없지만, 해장 차는 준비해 줄 수 있어."
지휘관,으음...
그로자,"후후후, 농담이야."
그로자,"드링크 바엔 차와 커피, 탄산음료가 있어. 자세한 목록은 직접 메뉴를 확인해 봐."
그로자,"일부 음료는 특별한 효과도 있어서, 피로를 푸는 데 도움이 될 거야."
그로자,매주 인형들이 돌아가면서 드링크 바의 음료를 담당하기로 의논도 마쳤어.
그로자,"지휘관, 여유가 되면 자주 놀러 와서 심신의 피로를 풀도록 해."
지휘관,확실히 분위기가 정말 좋네.
지휘관,메이링이 보면 분명 바에 앉아서 쌀술을 마시고 싶어하겠지.
그로자,"정답이야. 메이링이 방금 막 일을 마쳤다고, 이쪽으로 온다고 했어."
지휘관,너무 많이 마시진 않으면 좋겠는데...
그로자,"후후후, 지휘관도 조심해야 할걸."
지휘관,크흠... 그건 나도 동의해...
그로자,"후후. 그런데 여기까지 왔으니, 드링크 바를 체험해 보는 건 어때, 지휘관?"
그로자,"여기선 조용히 음료를 즐길 수도 있고, 이야기를 나눌 수도 있어."
지휘관,좋아. 메뉴 보여줘.
그로자,예.
