나레이션,"(센타우레이시와 춘전이 청소 도구를 정리하는 틈을 타, 모두들 즐거운 마음으로 자신들의 노동 성과를 둘러보았다.)"
마키아토,"뭐, 대충 이 정도면... 적어도 전처럼 더러워 보이진 않네."
카리나,이제 이 침실을 써도 되겠어.
바스티,달링을 위해서라면~ 아무리 힘들어도 쉴 수 없지.
로렐라이,"하아~ 힘들어 죽겠어, 오늘 이 방에서 나갈 기운도 없어——"
바스티,"엄살 피우지 마, 배터리 빵빵한 거 다 보여. 그나저나 이 커피잔은 뭐야?"
마키아토,내 커피잔에 불만 있어?! 여기다 둔 거야! 올 때마다 커피를 못 마시는 건 싫거든.
바스티,넌 왜 꼭 지휘관 방에서 커피를 마셔야 하는 거야? 그럼 난 내 모자를 여기 둘래...
로렐라이,"음~ 축음기가 하나 빠진 것 같네요... 고요한 밤, 지휘관이 아름다운 음악을 들으며 긴장을 풀 수 있게요... 후후."
카리나,침실에 기본 가구만 있으면 확실히 너무 밋밋하지.
마키아토,"응, 아직 쓸 만한 가구들을 좀 더 골라낼 수 있을 거야."
로렐라이,그다음 침실에 배치하면 되겠어.
카리나,"쇠뿔도 단김에 빼라고, 가구 문제도 얼른 처리하자."
