나레이션,"(어느 오후, 엘모호에서 쉬던 그로자와 나는 두 번째 요리 콘테스트를 회상했다.)"
그로자,아직도 그 요리 대결이 생각나.
그로자,"엘모호에서, 모두 함께 시끌벅적한 밤을 보냈지..."
그로자,지휘관은 아주 훌륭한 심판이었고.|눈을 가리고 어느 요리가 누구 건지 정확하게 맞추다니 말이야.
지휘관,우리 대장님 솜씨를 모를 리가 없잖아.
그로자,"그럼, 다시 한 번 블라인드 테스트를 해도 정확하게 맞출 수 있을까?"
지휘관,한 번 더?
그로자,"응. 이번엔 누군가와의 대결이 아니라, 나 자신과의 싸움이야."
지휘관,"자신과의 싸움이라, 어쩌다 그런 생각을 하셨을까?"
그로자,...지휘관이 만족할 만한 맛을 만들고 싶어서.
그로자,원래는 그때 나만의 특별한 요리를 만들어서 당신에게 대접해 주고 싶었거든.
그로자,"그런데 내가 재료를 잘못 고르는 바람에, 썩 만족스럽지가 않았어."
그로자,그게 정말 아쉬웠어.
그로자,"그래서 요즘도 계속 새로운 레시피를 연습하면서, 이전의 레시피도 수정하고 있지."
그로자,"콘테스트 날 만들었던 요리도 그래, 재료부터 크게 바뀌었어."
그로자,"자극적인 재료는 빼고, 조리 방식도 식감이 더욱 부드러워지도록 찜으로 변경했어."
그로자,이 신메뉴는 자신 있어. 그날 밤의 아쉬움을 달랠 수 있다고 생각해.
그로자,하지만... 맛은 지휘관이 판단해야 하겠지.|이 요리는 당신을 위해 만든 거니까.
그로자,"그러니까 지휘관, 오늘 밤에 새 레시피를 맛보러 와 줄래?"
그로자,바뀐 레시피가 지휘관의 입맛에 맞을지 확신이 안 서서.
지휘관,좋아.
그로자,"고마워, 열심히 준비할게."
그로자,바뀐 레시피가 지휘관 마음에 들면 좋겠네.
그로자,...대결에서 이기고 지는 건 아무래도 좋아.
그로자,단지... 그 요리가 지휘관에게 안 좋은 기억으로 남았다는 생각이 들어서 마음에 걸려.
그로자,당신이 내 실패작을 맛본 게 한두 번은 아니긴 하지만...
그로자,"하지만, 앞으로도 새로운 요리를 만들 때마다, 당신에게 좋은 기억으로 남았으면 해."
그로자,당신은... 나에게 정말 특별한 사람이니까.
그로자,당신이 좋아해야 내가 레시피를 바꾼 의미가 있어.
그로자,"그리고, 난 당신에게 ""완벽한 그로자 대장""으로 남고 싶고."
그로자,그러니까 지휘관... 한 가지만 약속해 줄래?
그로자,"이번에도 맛이 없으면, 솔직하게 말해 줘."
그로자,"당신의 조언, 기대할게."
지휘관,응.
