나레이션,"(어느 평온한 날, 나와 캐롤릭은 그녀가 예전에 엘모호에 남기로 했던 일을 다시 한 번 이야기했다.)"
캐롤릭,"그럼, 그때 안 남을 거면 결정 샤드 20개 배상하라고 한 건... 완전 거짓말이었던 거지?"
캐롤릭,"그때 정말로... 가겠다고 했으면, 사실 지휘관도 날 난처하게 만들 생각은 없었던 거지?"
지휘관,글쎄다...
캐롤릭,"...쳇, 그때는 내가 널 잘 몰라서 속았던 거야! 지금은 그렇게 안 속아."
캐롤릭,"지금은... 나, 나도 이제 네가 어떤 사람인지 어느 정도는 알게 됐어..."
캐롤릭,다시 한 번 나한테 선택하라고 하면 절대...
지휘관,안 남을 거야?
캐롤릭,"뭐? 그럴 리가! 쳇, 어떻게 그렇게 잘 아는 건데!"
캐롤릭,"나, 나는 말이지... 지휘관이 다시 한 번 물어본다 해도, 절대 안 속을 거야!"
캐롤릭,그리고 지휘관 너도!
캐롤릭,내가 남기를 원했으면 솔직하게 말하라고!
캐롤릭,아무튼 수습 기간 동안 꽤 괜찮게 지냈으니까...
지휘관,"캐롤릭, 여기가 마음에 들어?"
캐롤릭,당연하지!
캐롤릭,"임무가 많긴 했지만, 나 원래부터 강해지고 싶었거든."
캐롤릭,"시생물이랑 바랴그단을 마구마구 해치우니까, 실전 연습으로 딱이더라고."
캐롤릭,그리고… 아직 네가 있잖아.
캐롤릭,너 말이야... 생각보다 꽤 믿음직스러워.
캐롤릭,"내가 싫어하는 무기를 쓰라고 강요하지도 않고, 매달 샤드도 챙겨주고."
캐롤릭,"전투할 땐 나랑 다르게... 음, 꽤 침착하고 합리적인 명령을 내리고."
캐롤릭,가장 중요한 건... 어떤 상황에서도... 절대 누구 하나 버리지 않는다는 거야...
캐롤릭,아오... 이런 말 하려니까 어색해서 죽겠네. 내 스타일 완전 아니야.
캐롤릭,여기 너무 오래 있다 보니까 나도 네메시스처럼 말이 많아졌네...
캐롤릭,"아무튼! 내 말은... 엘모호에 남은 건 절대 후회 안 한다는 거야! 알겠어, 지휘관?"
지휘관,"그래, 고마워. 캐롤릭."
캐롤릭,고맙긴 뭐가 고마워? 오염지대에서 너 같은 사람은 처음 봤어!
캐롤릭,"인형한테 고맙다고 하고, 환영회까지 열어 주다니…"
캐롤릭,"말이 나와서 말인데, 환영회 날... 술을 너무 과하게 마신 거 아니야?"
지휘관,기분이 좋아서 두 잔 더 마셨어.
캐롤릭,"기, 기분이 좋았다고?"
캐롤릭,사실 나도… 음… 꽤 괜찮았어.
캐롤릭,"환영회, 꽤 즐거웠어. 서로 싸우고 죽이려고 모인 게 아니잖아... 그때 같이 했던 게임들에 내가 영 소질이 없어서 못하긴 했지만..."
캐롤릭,"그래도 너랑 한 조에 있을 때, 몇 번 이긴 게 기억나…"
캐롤릭,"…야, 왜 웃는 거야! 다음엔 나 혼자서 이길 거라고!"
캐롤릭,뭐? 표정이 왜 그래? 못 믿겠어?
캐롤릭,두고 봐! 다음번엔 내가 꼭... 반드시 이길 거야!
지휘관,"그래, 기대할게."
