나레이션,"(훈련이 종료된 후 어느 이른 아침, 베프리가 숙소로 왔다. 그녀는 기쁨을 감추지 못하며 자기가 추리했던 내용을 내게 자세하게 설명했다.)"
베프리,그러니까 베프리는 정말로 지휘관과 모두를 기쁘게 하기 위해서 이 제안을 하게 된 거야!
베프리,연습하려면 시간이 좀 걸리고 공연 의상과 무대 장비를 준비하려면 지출도 좀 있겠지만--
베프리,하지만! 믿을만한 지휘관과 사랑스러운 헬레나도 함께니까!
베프리,"베프리는 자신 있어. 아이돌 그룹, EH3는 꼭 데뷔할 수 있을 거야☆"
베프리,그리고 네메시스의 점술이 있으니까 우리의 공연에는 행운이 가득할 게 분명해☆
베프리,그러면 공연 수입도 생기고 엘모호의 재정 상황도 훨씬 좋아지겠지--
베프리,다들 지금처럼 고생할 필요도 없고!
베프리,지휘관도 공연하면서 긴장도 좀 풀고~
베프리,요새 지휘관이랑 그로자 대장은 늘 늦게까지 바빴잖아...
베프리,베프리도 도움이 되고 싶어!
베프리,아이돌의 본분이라면 모두를 기쁘게 만드는 거니까☆
지휘관,"어어, 그런 마음이면 됐어."
베프리,히힛! 베프리는 지휘관이 같이해 줄 줄 알았어☆
베프리,지휘관은 이전에 작전을 하다가 어려움이 있더라도 쉽사리 포기하지 않았잖아!
베프리,"음, 라이벌인 MH3를 상대하는 것처럼 계속 업그레이드 해서 우리는 결국 글로벌 라이브 무대에 서게 될 거야! 절대 지지 않을 거라고!"
베프리,베프리도 절대 포기하지 않을게!
지휘관,하겠다고 한 건 아니니까 일단 진정해.
베프리,"...어? 계, 계획이 충분히 매력적이지 않아서 그러는 구나!"
베프리,알겠어! 베프리가 지휘관을 만족시킬 수 있도록 계획을 전면 수정해 볼게☆
지휘관,평상시에 하는 훈련은 어떻게 하지?
베프리,"걱정 마, 지휘관. 베프리는 그로자 대장에게 폐를 끼치지 않을 거니까."
베프리,"베프리, 어제 훈련도 진전이 있었다구☆"
베프리,만능 아이돌은 모든 측면에서 잘해낼 수 있도록 노력해야 하거든!
베프리,지휘관도 시간 있을 때 베프리가 훈련하는 걸 보러 와☆
베프리,작전 훈련만 하는 게 아니라 공연 훈련도 하거든~
베프리,베프리가 꼭 지휘관이 공연의 즐거움을 느낄 수 있도록 해 줄게!
베프리,그러면 지휘관도 내 계획을 더 통과시키고 싶어지겠지☆ 히힛.
베프리,베프리는 지휘관과 함께 하는 공연이 너.무.너.무 기.대.돼☆
지휘관,공연은... 하지만 훈련이라면 보러 가지.
베프리,좋았어☆ 그럼 지금부터 더 열심히 해야지!
베프리,음... 신곡 연습부터 시작하자☆
베프리,베프리가 지휘관을 위해 특별히 준비한 곡부터 시작할 거야☆
베프리,"지휘관, 꼭 와야 해! 베프리가 기다릴게!"
지휘관,응.
