나레이션,"(어느 맑은 오후, 레나와 나는 숙소에서 그녀와 리바가 이름을 짓던 날의 일을 이야기하기 시작했다--)"
레나,하하- 그런 일도 있었다니까♪
레나,"아이고, 아이고~ 불안해서 한바탕 울어버리고... 지금 생각해보니 부끄러운 일이지 뭐야!"
레나,"그때는 다 너무... 많이 변해서. 지휘관도 곁에 없고... 리바 언니와 클루카이도 만나지 못하는 경우가 많아서... 무, 무서웠어..."
레나,"지휘관, 이런 나를 비웃을 거야?"
지휘관,그럴리가. 하지만 그 이후로는 안정된 거야?
레나,"맞아.|헤헷, 리바 언니와 비슷한 이름을 갖게 된 후로는 안심이 되더라구♪"
레나,"게다가 이제는 나도 알아. 리바 언니는 리바 언니고, 지휘관도... 음, 나를 가족으로 여기는 그 지휘관이라는 걸 말이야."
레나,그렇게 생각하니까 좀 떨어져 있어도 참을 수 있겠더라고! 게다가 카린 언니랑 리바 언니도 다 잘 챙겨줘야 하고!
레나,다들 앞을 향해 나아가고 있는데 나만 그 자리에 멈춰 있을 수는 없지.
레나,지휘관한테 내가 성장한 모습을 보여줄 거야! 나중에 다시 만나면 깜짝 놀라게 될 걸!
레나,어어... 하지만... 잠시 떨어져 있는 건 참을 수 있다고 하더라도...
지휘관,하지만?
레나,...음! 그래도 역시 지휘관이 같이 있을 때가 더 기분 좋아♪
레나,"맞다! 휴가 때 같이 여행 가자, 지휘관!"
레나,진짜 여행 말이야. 프로젝터로 쏘는 그런 것 말고 해변과 모래사장 같은 데에 가는 거야.
지휘관,왜 갑자기 여행을 가고 싶어졌어?
레나,그야 지휘관이랑 더 친해지고 싶어서지♪
레나,여행은 더 친해질 수 있는 좋은 방법 아냐?
레나,게다가 전에 다 같이 여행을 간 적은 있었지만... 지휘관이랑 둘이서 가는 여행은 드문 편이었잖아...
레나,지휘관은 맨날 이것저것으로 바쁘니까!
지휘관,둘이서? 다 같이 가는 게 아니고?
레나,"아, 다 같이?|음... 모두 함께라면 더 신나긴 하겠지만..."
레나,그렇지만 가끔 나 혼자서 독차지하는 것도 괜찮지 않아?
레나,나 되게 열심히 하는데 지휘관이 작은 보상이라고 생각해 주면 안 될까♪
레나,그리고... 단둘이 있을 때 하고 싶은 얘기도 있고...
레나,"다 같이 이름을 결정한 것처럼, 풍경이 좋은 곳을 찾고 적당한 시기가 오면..."
레나,그럼 그때 지휘관에게 제대로 말하면 되겠지♪
레나,"헤헤-- 지금은 무슨 말이냐고 묻지 마, 비밀이니까~ 비밀!"
지휘관,...알겠어. 여유가 생기면 계획해 보자.
레나,헤헤♪ 계획은 무적의 레나에게 맡겨 줘!
레나,나는 지휘관에게 보여주고 싶어. 지금의 레나가 얼마나 대단한지! 히히♪
레나,"그럼 약속한 거야, 지휘관. 바람맞히면 안 돼."
지휘관,그래.
