나레이션,"(업무가 끝난 어느 오후의 엘모호. 메이링과 나는 그날 밤 메이링이 실수로 ""마법의 술""을 들이켰던 일을 회상했다...)"
메이링,아... 그게 꿈이 아니었구나...
메이링,"그러니까, 제가 완전 루다에 빙의해서, 다른 사람들을 이야기 속 등장인물로 착각했다고요?"
메이링,"아무리 취했다지만 어떻게 그럴 수가... 게다가 하나도 똑바로 기억이 안 나는데... 아앗, 그래서 지휘관님이 휴가증을 주시겠다 한 거구나!"
메이링,"우에엥, 죄송해요 지휘관님! 기억은 안 나지만, 그때 엄청 실례를 범한 것 같아요!"
지휘관,"괜찮아 메이링, 나 화 안 났어."
메이링,"그, 그치만 지휘관님은 항상 제게 잘해 주셨는데, 제가 지휘관님을 ""악덕 공장주""라고..."
메이링,"그리고, 그날은 제가 당직 서는 날이었잖아요! 결국 당직도 지휘관님이 서시고..."
메이링,"으아앙, 진짜진짜 죄송해요! 다 제가 물병에다 술을 넣어놓은 탓이에요, 앞으론 안 그럴게요!"
메이링,"지, 지휘관님, 혹시 뭐 다른 할일 있으신가요? 그건 제가 마저――"
지휘관,"메이링, 업무는 방금 다 끝났어. 게다가, 그때 우리가 한 얘기 벌써 잊었니?"
메이링,어... 그때 한 얘기요? 그게...
지휘관,휴가증.
메이링,"아앗! 아아아뇨, 안 잊었어요! 죄송해요... 아니, 그게 아니라, 마음이 급해지는 바람에... 하지만 그런 뜻은 아니에요!"
지휘관,"메이링, 천천히, 조급해하지 말고."
메이링,"훌쩍... 고마워요, 지휘관님. 저... 저기요..."
메이링,"실은, 꽤 오랫동안 이런 생각을 했어요. 지휘관님이 실은 절 원해서 거둬주신 게 아니면 어쩌지 하고..."
메이링,"그래서 모두한테 버려질까 봐... 지휘관님이 어느날 갑자기, 제가 더는 필요 없다고 하실까 봐 무서워서, 제가 멋대로 굴어서 또 소중한 사람을 잃을까 봐 겁먹고 있었어요..."
메이링,"그런데 그날, 지휘관님이 저 칭찬도 해 주시고, 휴가증도 주시고, 하고 싶은 대로 하라고 해주셔서... 저, 정말 기뻤어요!"
메이링,"저도 이젠 믿어요, 지휘관님은 절 안 버리실 거라고!"
메이링,"휴가증은 이 가슴 주머니에 잘 넣어놓고 있어요. 종이에 적힌 글자는 거짓말을 안 하니까요! 그리고, 그날 지휘관님이 하신 말씀도 똑똑히 기억하고 있다고요."
메이링,"정말, 정말 감사합니다. 지휘관님은, 저한테... 정말... 우아앙!"
지휘관,"으이구, 또 울어?"
메이링,"우에엥... 어떡해여... 지히간님을 만날 수 있어서, 기쁘다고요오..."
메이링,"엘모호에 있는 동안, 언제나 너무너무 즐겁고 마음이 놓였어요... 골치아픈 일도 많고, 제대로 잠도 못 잘 때도 많았지만... 하루하루가 보람찼어요!"
메이링,"그래서요, 쿨쩍... 어... 으음... 혹시요..."
지휘관,왜 그래?
메이링,"가, 갑자기 든 생각인데요... 지휘관님이 그러셨잖아요? 제가 하고 싶은 대로 하라고. 그러니까... 부탁이 하나 있는데... 괜찮을까요?"
지휘관,얼마든지.
메이링,저요... 지휘관님이랑 블록 쌓기 게임하고 싶어요! 오랫동안 같이 할 사람이 없어서 너무 심심했어요...
메이링,"지휘관님이랑 함께라면, 분명 신기록을 세울 수 있을 거예요!"
메이링,"그러니까... 혹시 쉬는 시간에, 저랑 같이 블록 쌓기 게임을 하면서 수다도 떨고 해주시면... 정말정말 좋을 것 같아요!"
메이링,"지휘관님이랑 같이 있으면... 그, 제 업무 효율도 크게 향상될 거고요!"
지휘관,"후훗, 알았어. 나중에 시간 나면 같이 놀자."
