나레이션,"(어느 조용한 오후, 나와 수오미는 숙소에서 그녀가 좋아하는 노래를 함께 들으며 환영회를 떠올리고 있었다...)"
수오미,헤헤... 그때는 정말 예상하지 못했어요... 지휘관님과 여러분이 저에게 환영회를 열어주실 줄은요.
수오미,"완전 오해하고 깜짝 놀랐지만, 정말로 기뻤어요."
수오미,"이미 다들 절 많이 도와주셨는데, 그런 일까지 신경 써 주시다니..."
지휘관,별거 아니니까 신경 쓰지 마.
수오미,"별거 아니라뇨! 엄청난 거예요 지휘관님! 정말로, 진심으로 감사해요!"
수오미,다들 저 보고 불운을 부르는 인형이라고 했었는데... 지휘관님은 그런 소문을 신경 쓰지 않고 저를 받아주셨잖아요.
수오미,"그리고 저를 위해서 환영회를 열어 주시고, 선물도 주셨죠."
수오미,게다가 저를 믿고 대장 대행까지 맡겨 주셨잖아요...
수오미,정말 어떻게 보답해야 할지 모르겠어요...
지휘관,"보답은 무슨, 너도 여러모로 도와줬잖아."
수오미,"아니에요, 제가 한 건 당연한 일들인걸요... 지휘관님께서 저에게 주신 건 훨씬 특별하고... 따뜻한 것들이었으니까요."
수오미,"맞다, 생각났어요!"
수오미,"지휘관님, 제가 항상 가지고 다니는 이 랜턴을 선물로 드리고 싶어요."
수오미,"여행 중에, 이 랜턴 덕분에 정말 많은 도움을 받았어요. 제게는 부적과도 같은 존재예요."
수오미,"따뜻하고 밝아서, 마치 지휘관님 같거든요... 자연스럽게 곁에 다가가고 싶게 만드는 그런 존재요..."
수오미,이게 지휘관님께도 행운을 가져다줬으면 좋겠어요.
수오미,"그리고 이건 약속이기도 해요. 지휘관님이 위험에 닥쳤을 때도, 제가 항상 지휘관님의 곁에 있다는 걸 기억해 줬으면 좋겠어요."
수오미,"그, 그리고... 지휘관님도 이걸 보면서 따뜻함을 느끼셨으면 좋겠어요..."
지휘관,하지만 너에게 중요한 물건이잖아?
수오미,"네, 하지만 그래서... 지휘관님이 받아줬으면 좋겠어요..."
수오미,지휘관님은 저에게 정말 특별한 분이니까요.
수오미,"이, 이게 조금 오래되긴 했지만, 기능에는 문제가 없어요... 싫어하지 않으셨으면 좋겠어요...."
지휘관,"싫을 리가, 기쁘게 받을게. 고마워."
지휘관,"네 마음은 받을게. 하지만, 이 랜턴은 다시 네게 맡겨두는 게 좋겠어. 너에게 필요한 물건이니까.|선물에서 가장 중요한 건 마음이잖아, 그렇지?"
수오미,"...힝, 지휘관님은 정말 다정하고 좋은 분이세요..."
수오미,"알겠어요, 이 램프를 더 조심히 다룰게요, 왜냐면... 이제 이 램프는... 뭐라고 해야 하지... 저와 지휘관님을 연결하는 증표가 됐으니까요!"
수오미,이제 더더욱 소중한 물건이 됐어요!
수오미,"저, 앞으로도 해야 할 일에 최선을 다할게요!"
수오미,"아, 맞아요. 제가 좋아하는 음악도 지휘관님께 소개해 드릴게요."
수오미,스트레스 해소에도 큰 도움이 돼요. 지휘관님께서도 분명 좋아하실 거예요.
수오미,"자, 지휘관님. 다음 CD도 같이 들어요."
지휘관,"어, 어... 그래, 그러자..."
