내레이션,"(샤크리가 엘모호에 합류한 뒤의 어느 오후, 단체 훈련이 끝난 뒤 샤크리가 나에게 스프링필드 카페에 합류하게 된 일을 이야기하기 시작했다...)"
샤크리,그래서 결국 안목 있는 스프링필드 점장의 눈에 띄어서 카페에 들어가게 됐어~
샤크리,"헤헤, 지휘관도 샤크리를 엘모호에 초대했으니 안·목·최·고야~"
샤크리,자주 싸워야 하는 건 좀 귀찮지만... 슈퍼 아이돌 샤크리는 특별한 관객을 실망시키지 않아.
샤크리,음... 그런데 지휘관이 공연 소품을 조금 더 구매해주면 더 완벽한 상태로 임무를 완수할 수 있는데~
샤크리,"특별한 관객 지휘관, 샤크리의 소원을 들어줘~"
지휘관,구매 신청 중에서 합리적인 항목들은 벌써 승인 했어.
샤크리,"헤헤, 역시 지휘관이 거절하지 않을 줄 알았어."
샤크리,그런데 지휘관에게 오라고 한 이유는 이것 뿐만이 아니야♥
샤크리,여기 앉아봐~~ 내 옆에~~
샤크리,"지휘관, 오늘 나 뭐 다른 거 없어~?"
지휘관,...무슨 일 있어?
샤크리,"흥, 지휘관은 정말 아무것도 모른다니까!"
샤크리,"샤크리가 오늘을 위해 의상도 꼼꼼히 준비하고, 요새 제일 유행하는 '사슴 메이크업'도 했잖아~"
샤크리,단체 훈련에서도 샤크리는 최선을 다해 공연과 전투를 결합하고 있다고.
샤크리,가장 완벽한 모습을 보여주기 위해 오랫동안 준비했어!
샤크리,이번에는 예전처럼 말도 안 되는 이유로 폐기될 뻔할 수 없어...
샤크리,"아, 그러니까 샤크리는 엘모호에서 가장 귀엽고, 가장 능력 있는 슈퍼 아이돌이겠지?♥"
샤크리,지휘관은 샤크리의 가장 중요하고 유일한 특별한 관객이니까 이 질문에 성실하게 답하겠지?
샤크리,시간 있으니까 서두르지 마. 샤크리가 지휘관에게 생각할 시간을 더 줄 수 있으니까~
샤크리,"셋, 둘, 둘 반, 둘 반의 반, 둘 반의 반의 반, 하나... 시간 됐어! 지휘관~?"
지휘관,샤크리의 노력은 나를 포함한 모두가 지켜보고 있으니까 걱정할 필요 없어...
샤크리,"헤헤, 역시 지휘관다운 대답이네."
샤크리,하지만~ 샤크리는 걱정하지 않지. 샤크리는 다만... 난 그냥...
샤크리,"열심히 노력하고, 춤도 노래도 다 훌륭한데 실적 평가는 꼴찌에 총까지 맞는 그런 상황이 싫을 뿐이야."
샤크리,"...흥, 내 매력을 모르다니 정말 안목 없는 관객이었어. 하지만 난 절대 공연을 포기하지 않을 거야."
샤크리,지휘관은 분명 내 공연을 좋아하겠지?
지휘관,...공연은 잘 모르지만 샤크리가 호소력 있는 무대를 보여주기 위해 노력하는 건 모든 관객들을 응원하고 싶어서지?
샤크리,"어? 무, 무슨 소리야, 아니거..."
샤크리,"...맞아, 내 출고 설정이 그래. 관객들을 즐겁게 해주는 게 내 책임이야..."
샤크리,하지만 지휘관이 그렇게 말하니까... 난...
샤크리,......
샤크리,지휘관이 었어서 샤크리는 정말 안심이야♥
샤크리,지휘관이 관객이 되어 주다니 난 정말 행운이야~
샤크리,"지휘관, 앞으로..."
샤크리,언제나처럼 진심으로 나를 응원해 줘♥
지휘관,응.
