나레이션,"(치타가 엘모호에 합류한 뒤의 어느 날, 동료들과 함께 e스포츠 시합에 참가했던 경험을 나에게 자세히 이야기해주었다.)"
치타,사육사! 이제 알겠지? 사육사의 사육사가 정말 너무하지 않아? 내 상금을 삭감하다니...
치타,전혀 일리가 없는 건 아니지만... 그래도 사육사였으면 이러지 않았을 거야!
치타,"흥, 됐어, 어쨌든 게임을 재밌게 했으니까. 소체를 교환할 돈은 나중에 다시 생각해보지 뭐."
치타,"게임 얘기가 나와서 말인데, 사육사, 그때 우리가 했던 <특공 소대> 제작팀이 새로운 게임을 발매했대!"
치타,"짜잔, 바로 이거야, <정의 수호 소대>!"
치타,"이 게임은 캐릭터가 100명이 넘고 맵도 다양하고, 대전 모드도 더 많아. 명실상부한 <특공 소대>의 후속작이야!"
치타,그리고 더 대단한 게 있어. 게임 대회도 준비 중이래! 상금을 받으면...
치타,"헤헤, 사육사, 저번에 작전 팀워크가 크게 향상됐잖아..."
치타,그리고 최근에 폭발을 일으킨 것도 없고... 어쨌든 사육사에게 폐를 끼치지 않았잖아!
지휘관,그 게임 사고 싶어?
치타,오오~~ 역시 사육사는 날 잘 안다니까!
치타,<정의 수호 소대> 두 개를 장바구니에 넣어놨어. 사육사는 주문하기만 클릭하면 돼...
지휘관,두 개? 왜 두 개야?
치타,"무슨 소리야? 사육사 하나, 나 하나, 당연히 두 개지."
치타,"다운로드하고 설치하면 바로 게임을 할 수 있어. 아니, 훈련을 시작해야 해. 목표는 다음에 그린존에 가서 시합에 참가하는 거야! 분명 제1회 대회 우승을 차지할 수 있을 거야! 걱정 마, 내가 사육사를 잘 이끌 테니까."
지휘관,"잠깐, 단순히 같이 게임하는 게 아니라 시합도 참가해야 해?"
치타,당연하지. 괜히 <정의 수호 소대>겠어?... 이 게임 제작자가 '소대'는 혼자 하는 게임이 아니라고 했어. 그러니까 시합에 참가하려면 적어도 두 명이 팀으로 참가해야지...
치타,"그래서 바로 사육사를 떠올렸어! 사육사라면 흔쾌히 들어주겠지?... 다음에 그린존에 가면 같이 시합에 참가하자, 응?"
치타,"봐, 저번에도 시합에 참가했을 때 내 리드 덕에 우리 소대가 단체전 우승을 차지했잖아."
치타,이 전문가의 안목으로 볼 때 사육사의 e스포츠 자질은 그 두 사람보다 뛰어나. 우리가 팀을 이루면 분명 문제가 없을 거야! 천재의 확신이야!
치타,"내 소체와 엘모호의 영광을 위해, 그리고 내 기분과 작전 효율을 위해 같이 해줄 거지? 응?"
지휘관,그럼 일은 어떡해?
치타,"이, 일? 그, 글쎄……물론 의뢰로 버는 돈은 배상하는 데 다 써서 소체를 바꾸기엔 충분하지 않지만……"
치타,"그래도 난 됐어, 사육사는 일을 해야 하잖아. 게다가 쉬는 시간도 보장해 줘야 하고……흠……"
치타,"그래, 알겠어. 사육사 대리 로봇을 만들면 되잖아. 이름은……사육사의 대역·실험기 1호!"
치타,연구 개발이 끝나면 대리 로봇에게 대신 일을 시키는 거야. 그럼 아주 편하지 않겠어?
지휘관,연구 개발 경비는 있어?
치타,"어, 경비는 없지……사육사, 돈 좀 빌려줄래…?"
치타,"……왜 그런 눈빛으로 봐? 아니, 생각해 봐. 이 연구가 성공하기만 하면 사육사는 계속 지휘실에 있을 필요가 없다니까?"
치타,사육사가 예전에 그리폰에 있을 때보다 훨씬 고생하는 거 다 알고 있어. 가끔은 하루 종일 만나기도 힘들고……엘모호에 타자마자 깨달았다니까!
치타,"사육사의 대역·실험기 1호가 사육사의 일을 대신하면, 사육사도 나랑 더 많이 놀아줄 수 있잖아. 그럼 나도 종일 사육사를 찾아다닐 필요 없고 말이야!"
지휘관,"……게임을 사는 건 괜찮은데, 로봇은 좀 더 생각해 볼게."
치타,뭐야……그럼 최대한 빨리 생각해야 해! 난 그동안 사육사의 행동 데이터를 수집하고 있을게!
치타,"사육사, 협조 좀 해 줘! <정의수호대> 훈련도 빠지면 안 돼!"
지휘관,"알겠어, 한가할 때 협조할게."
