나레이션,"(경구가 엘모호에 오른 후 어느 날, 그녀는 그리폰과 프린슬러 가가 협력 관계를 맺게 된 경위를 설명해 주었다.)"
경구,"지휘관, 내 체면을 지켜주려는 세심함은 고맙지만..."
경구,웃고 싶으면 그냥 웃는 게 어떻소? 지금 그 표정이 날 놀리는 것보다 더 심하니까.
지휘관,"미안, 정말 재미있는 경험이네."
경구,괜찮소. 내가 동물을 다루는 데 별로 재능이 없는 건 사실이니까. 동물들을 이해하는 건 너무 어렵소. 감정도 통제할 수 없고...
경구,헤이디 아가씨의 나이면 날다람쥐 세계에선 할머니나 다름없소. 그런데 상강 소대가 호위 임무를 수행하려고 할 때마다 어찌나 난장판을 만들던지...
경구,"난... 동물 관련 의뢰에 좀 더 잘 대응하기 위해 관련 학자들을 찾아가 보기도 했고, 심지어 여가 시간에는 동물 관련 기구에서 자원봉사를 하기도 했소."
경구,"안타깝게도 대단한 효과는 없었소. |관계가 좋다고 해서 완전히 계획에 따라주는 건 아니더군. 하지만, 내 계획을 좀 더 과학적이고 합리적으로 세울 수 있게 되었소... 그렇게 하니 동물들의 반항 심리도 적어져 어느 정도는 계획대로 진행할 수 있었소."
경구,"그러고 보니, 며칠 전 소식을 들었소만, 본부 근처의 화이트존 도시에 동물원이 하나 새로 생겼다더군."
경구,"그곳에 동물들을 들여놓을 계획인데, 그 동물은 다른 화이트존 도시에서 운송되어 온다고 했소.|동물원 측에서 오염지대를 지나는 게 걱정돼 소인에게 연락을 해왔소. 호송 임무 일부분에 협조해 달라는 부탁이었는데, 지휘관도 같이 가겠소?"
경구,"최근 일정표를 확인했을 때, 시간은 조정할 수 있을 것 같소. 우리 둘 다 말이오."
지휘관,이미 결정해놓은 것 같은데?
경구,물론 지휘관이 고개를 끄덕여야만 하오. 그렇지 않으면 강호에서 길을 가로막고 협박하는 도적떼와 다를 게 무에 있겠소.
경구,"어떻소? 갈 거요? 임무 구역은 바로 근처이고, 임무에 걸리는 시간도 그리 길지 않소. 쉬어 가는 셈치면 되오."
지휘관,그러죠.
경구,그럼 오늘 저녁에 바로 일정을 조정하겠소. 내일 아침 9시에 공동도급계약서를 보내줘도 되겠소?
경구,조정이 필요한 부분이 있으면 17시 전에 말해 주시오. 그래야 늦지 않게 수정할 수 있소.
경구,그러면 3일 내에 동물원 측과 계약 서명을 마칠 수 있을 것이오.|이 계획대로 문제없겠소?
지휘관,전혀 문제없어. 아무래도 네 완벽한 계획을 거스를 수 있는 건 이 세상에 동물밖에 없는 것 같네.
경구,음... 과거엔 소인도 그렇게 생각했소. 하지만 사실... 동물보다 더 어려운 대상이 한 명 있소.
경구,"그분은 일과 휴식 스케줄이 전혀 규칙적이지 않고, 생각도 시시때때로 바뀌는 데다 자기만의 고집이 굉장하오.|게다가 몇 년 동안 못 본 사이 어딘가 조금 변한 것 같소. 내가 생각지도 못한 곳에서 계속 말썽을 일으키고 있소."
경구,"지휘관, 시선을 피하지 마시오."
지휘관,...난 전부 네 계획대로 움직였는데.
경구,"흠... 어디 보자... 오늘 두 건, 그리고 어제..."
경구,농담은 그만하겠소. 오염지대에서의 작전 수행은 돌발 상황이 아주 많으니 이해할 수 있소. 게다가 지휘관의 계획을 제대로 세우지 못한 건 소인의 책임도 있으니...
경구,소인은 계획 실행이 어렵다고 판단될 때마다 어떻게든 방법을 찾아 어떻게든 현상을 바로잡아 제 궤도로 되돌리곤 했소.
경구,"그런데 지휘관을 만나고부터는 늘 그런 경각심을 잃은 것처럼, 지휘관의 결정을 기다리고 그 결정을 따라가게 되었소..."
경구,아마 마인드맵 기반에 가끔은 잠시 내려놓고 싶다는 마음이 있나보오. 그래서 귀공에게 의존하게 되어버리는 것 같소.
경구,칼날이 번뜩이는 전장에선... 귀공에게 소인의 뒤를 맡기고 싶소.
지휘관,믿어줘서 고마워... 앞으로는 최대한 네 계획에 따르도록 할게.
경구,괜찮소. 귀공은 귀공의 방식대로 작전을 수행하면 되오.
경구,물론 계획 실행률은 떨어지겠지만... 그건 나중에 소인이 따로 계획을 조정하겠소.
경구,...지휘관님.
경구,"우리가 다시 만나 함께 엘모호에 오른 순간부터, 소인의 계획에는 언제나 귀공의 존재가 포함되어 있었다오."
경구,"그게 바로... 과거의 QBZ-191, 지금의 경구가 완벽하게 실행하고자 하는 영원한 계획이오."
경구,"지휘관, 부디 소인과 함께 그 계획을 완성해 주시오."
