나레이션,"(어느 화사한 아침, 숙소에서 울리드가 나에게 인형들과 구출했던 현상금 사냥꾼이 배신한 이야기를 들려주었다——)"
울리드,"더 이전에 있었던 일 때문에 나는 늘 인간을 경계하긴 했지만, 내가 직접 도왔던 사람이 배신하는 건 역시 마음이 아프더군."
울리드,"그래도, 그 일을 계기로 모두가 더 단결했으니...불행 중 다행이라고 해야 할까?"
울리드,"이미 내 안에서는 답을 내린 상태지만, 그래도 지휘관에게 묻고 싶었다."
지휘관,무슨 질문인데?
울리드,"리타라의 말대로, 애초에 그 현상금 사냥꾼에게 우리의 위치를 노출하지 않았다면 우리가 겪은 위험은 훨씬 적었을 테지.|하지만 그렇게 했다면 투표 제도와 인형 공동체의 초심을 위반한 것이 되겠지."
울리드,"지휘관, 내가 너무 순진한 이상주의자였다고 생각하나?"
지휘관,"결과만 본다면, 네 선택은 인형 공동체에 적합한 계획이었어.|그리고 이상주의자가 나쁜 건 아니야. 중요한 건 그 이상에 대한 책임을 질 수 있냐는 거지."
울리드,"하하, 역시 지휘관은 말이 잘 통하는 사람이군."
울리드,그래서 다들 지휘관을 특별하다고 여기는 것 같다.
울리드,"현상금 사냥꾼 사건 이후로 다들 오염지대의 인간을 경계하게 됐지만, 이상하게도 지휘관만큼은 예외다."
지휘관,"내가 ""진짜"" 현상금 사냥꾼처럼은 안 보여서?"
울리드,"그게 아니라! 글쎄, 뭐라고 설명해야 할까..."
울리드,"——그래, 지휘관에게는 뭔가 특별한 게 있는 것 같다. 인형을 대하는 태도라든지, 선의 같은 것 말이다. 그래서 다들 안심하고 진심으로 지휘관을 믿는 것이겠지."
울리드,내 생각엔 지휘관이 나보다 인형들의 리더에 훨씬 더 어울린다고 생각하는데...
울리드,"물론, 이 말을 해서 네게 책임을 떠넘기려는 건 아니다만."
울리드,"단지, 지휘관에 비하면 난 너무 미숙한 것 같아서...|그러니까... 좀 더 지휘관 곁에 오래 머물면서 많이 배우고 싶다. 모두가 의지할 수 있는 존재가 되도록 말이야."
울리드,"아, 내가 너무 혼자 떠들었나?"
지휘관,"아니야, 내가 도와줄 일이 있으면 뭐든 말해."
울리드,...어휴.
울리드,그렇게 말했다가 내가 부탁을 한 바가지 하면 어쩌려고 그러나? 무리한 부탁을 할지도 모른다고.
울리드,"하하, 자꾸 그렇게 받아주면 버릇 나빠질 거다."
울리드,하지만... 이렇게 누군가에게 의지할 수 있는 기분은 정말 좋군.
울리드,"리타라와 수오미도 믿음직스럽지만, 지휘관과는 또 달라... 그 둘과는 서로 의지하며 돕는 관계랄까?"
울리드,하지만 지휘관과 함께 있으면... 정말 안심이 되는군.
울리드,뭔가... 아주 신선한 느낌이랄까?
울리드,"하하하! 정말 이상하지, 마치 내가 아닌 것 같달까."
지휘관,그건 아주 좋은 거 아니야?
울리드,맞다. 최소한 지휘관 앞에선 완전히 긴장을 풀 수 있으니까.
울리드,아! 이렇게 스트레스를 푸는 것도 정말 괜찮구나!
울리드,가능하면 나만의 스트레스 해소법이 되어주면 좋겠다만... 그건 아무래도 너무 욕심쟁이일까?
울리드,큿! 좀 더 일찍 지휘관을 만났다면 좋았을 텐데!
울리드,"지휘관, 너는 내 파트너이자 멘토다..."
울리드,점점 더 지휘관처럼 되고 싶다는 생각이 강해진다. 내 동료들이 안심하고 의지할 수 있는 존재가 되고 싶달까.
울리드,"그러니, 앞으로 잘 부탁한다, 지휘관."
지휘관,응.
