나레이션,"(햇살이 따스한 어느 오후, 센타우레이시는 티타임 세트를 준비하면서 나에게 카페 주케로에서 도둑을 잡았던 이야기를 해 주었다.)"
센타우레이시,"당시에는 다소 위험했지만, 다행히 카페는 물론 아무도 피해를 입지 않았습니다. 손님들의 카페에 대한 신뢰도도 높아졌죠."
센타우레이시,"가끔은 나쁜 일로 시작되어도 좋은 결말을 얻을 수 있다니, 삶이란 참 복잡하고 신비로운 것 같습니다."
지휘관,좋은 결말을 얻을 수 있었던 건 다 센타우레이시가 카페를 지키고자 한 강한 의지 덕분이지.
센타우레이시,"네... 제가 하고 싶은 일이었기에 그랬죠, 설령 이 일로 인해 제가 다시 ""전장""으로 돌아가야 했을지라도."
센타우레이시,"그런데, 마키아토는 일상도 전장이라고, 아무도 도망칠 수 없다고 했습니다."
센타우레이시,"그렇다면, 제가 ""전장""에 있는지 고민할 바에야 차라리 전력을 다해 하고 싶은 일을 하는 편이 낫다는 생각이 들었습니다."
센타우레이시,"그리고 지금 하고 싶은 일은 카페 주케로를 지키는 것, 그리고... 주인님을 보좌하는 것입니다."
지휘관,내가 그렇게 지켜 줘야 할 존재로 보여?
센타우레이시,"그런 동시에, 그렇지 않다고나 할까요."
센타우레이시,주인님은 지금 매우 바쁘시잖습니까.
센타우레이시,그리폰에서부터 지금까지... 제가 겪은 것보다 훨씬 더 많은 일을 겪으셨지요.
센타우레이시,"엘모호에서의 다양한 업무도, 주인님이 계셔야만 정상적으로 돌아갈 수 있습니다."
센타우레이시,"임무 선택, 인원 배치, 자금 관리... 이 모든 업무들은, 그리폰에서와 비교해 봐도 전혀 쉽지 않습니다."
센타우레이시,"저는 주인님의 유능함과 세심함을 존경합니다. 다만, 저는 메이드로서 주인님의 일상을 보필해야 합니다."
센타우레이시,"깨끗하고 정돈된 환경, 적정 온도의 음료, 맛있는 식사..."
센타우레이시,저는 주인님께서 업무로 바쁜 나날을 보내시는 와중에도 높은 삶의 질을 누리셨으면 합니다.
센타우레이시,고민이 있으실 때에도 언제든지 제게 상담해 주십시오.
센타우레이시,최선을 다해 주인님의 고민을 덜어드리도록 하겠습니다.
센타우레이시,... 왜 웃으시죠? 제가 이상한 말이라도 했나요?
지휘관,"아니 그냥, 센타우레이시는 여전히 똑부러지구나 해서."
센타우레이시,주인님을 보살피는 것이 제 책임이자... 소망이니까요.
센타우레이시,"업무도, 일상도, 지금처럼 주인님의 피로를 풀어드릴 티타임 세트를 준비하는 것도..."
센타우레이시,"이 센타우레이시, 영원히 주인님을 정성껏 모시겠습니다."
