나레이션,"(사브리나가 엘모호에 탄 어떤 오후, 그녀가 나를 숙소로 초대해 같이 식사를 하기로 했다. 식사 후 그녀는 샤크리와 함께 요리 대결을 했던 이야기를 알려줬다——)"
사브리나,"지휘관, 지휘관, 그래서 아까 먹은 건 맛있었어?"
사브리나,방금 그게 시합 종료 후에 지휘관을 떠올리며 생각한 메뉴야!
사브리나,어떻게든 지휘관에게 맛을 보여주고 싶어서 초대했어!
사브리나,음... 사실... 조금은 자신감이 부족하긴 했어... 그래도 지휘관의 입맛에는 맞지?
지휘관,나쁘지 않았어. 근데 사브리나도 자신감이 부족할 때가 있네.
사브리나,"당, 당연하지!"
사브리나,그때는 레시피가 마인드맵에 있었는데... 정말 주방에 가니까... 한참 동안 고민하고 나서야 정해졌어.
사브리나,"아무래도, 그때는 지휘관과 같이 그리폰에서 작전을 수행했을 때보다 많은 시간이 흘러서..."
사브리나,자료에는 시간의 추이와 환경의 변화에 따라 인간의 입맛도 변한하고 해.
사브리나,"그, 그래서... 지휘관의 입맛에 안 맞을까 걱정이 돼..."
사브리나,결국은 마인드맵 기록에 있는 데이터를 기반으로 만들어 봤어.
사브리나,"그러니까, 지휘관... 맛은 어때?"
지휘관,"응, 맛있어."
사브리나,좋아!
사브리나,"응, 그럼 이 메뉴의 데이터를 모두 기록해서 지휘관의 전용 메뉴로 등록할게! 어디 보자, 재료... 조미료 배합 비율... 화력... 그리고..."
사브리나,"좋아, 다 했어! 이제부터 매일 지휘관에게 만들어 줄게!"
지휘관,"매일은 안 해줘도 되고, 다른 것도 만들어 볼래?"
사브리나,어? 맞네. 매일 같은 메뉴를 먹으면 금방 질리니까. 그럼... 지휘관의 입맛에 맞춰서 다른 신메뉴를 만들어 볼까? 그래야 지휘관이 정확하게 뭘 좋아하는지 알 수 있으니까!
사브리나,"응... 그럼, 하나씩 해볼까?"
사브리나,근데 지휘관이 싫어하면 어떡하지?
지휘관,그럴 리 없어.
사브리나,"그럴 수도 있지! 나한테 거짓말 하지 말고, 싫으면 먹으면 안 돼."
사브리나,이제는 내가 지휘관의 옆에 있으니까~
사브리나,"앞으로는 지휘관이 뭘 좋아하는지 천천히 시도하고, 확인할 시간이 많을 걸."
사브리나,"그럼 그런 줄 알고! 지휘관, 오늘부터 하루 세끼는 다 나한테 맡겨!"
사브리나,내 요리 실력을 갈고 닦아 한 번 또 한 번의 시도 하에 지휘관이 좋아하는 요리를 만들어낼 테니까!
사브리나,"음... 근데 과거의 경험을 생각하면, 어쩌면 어떤 시도들은 지휘관이... 조금... 놀랄 수도?"
사브리나,"근데 지휘관의 호불호에 따라 불호인 요리들을 ""지휘관 전용 레시피""에서 삭제할게!"
사브리나,"이렇게 계속해서 시도하고, 제거하고, 귀납하면! ""지휘관 전용 레시피""를 완성할 수 있을 거야!"
사브리나,지휘관도 꼭 식사 후의 감상을 나한테 알려 줘야 해!
지휘관,"응, 기대할게."
