나레이션,"(어느 한가로운 오후, 방금 외근 임무를 마친 크세니아가 클래식 카 도난 사건을 조사할 때의 일을 이야기해 주었다——)"
크세니아,"그래서 이 사건 말인데, 수익이 꽤 짭짤했어."
크세니아,사건을 해결하고 받은 보너스가 단기 아르바이트 몇 개를 한 것보다 훨씬 많았다니까?
크세니아,원래는 헛수고 할 줄 알았지만 말이야.
지휘관,착한 일을 한 보답이지.
크세니아,"에이, 이걸 착한 일이라고 할 수 있나? 그냥 아르바이트 하면서 겸사겸사 조사한 것뿐인데."
크세니아,지휘관도 선배처럼 그냥 듣기 좋은 말만 하는 거 아니야?
크세니아,그런 말보다는 차라리 장바구니 좀 비우게 보너스나 줘. 요즘 진짜 사고 싶은 게 많단 말이야.
지휘관,"오, 그건 문제 없지."
크세니아,"어라, 이렇게 쉽게? 농담이었는데."
크세니아,지금 엘모호의 재정 상태가 썩 좋진 않잖아?
크세니아,이럴 때 돈 뜯어낼 생각은 없어~
크세니아,"하지만 지휘관, 만약에 보수가 좋은 의뢰가 있다면 잊지 말고 꼭 나부터 떠올려줘. 알았지?"
크세니아,"난 지금 지휘관만을 위해서 일하고 있는데, 지휘관이 임무를 할당해주지 않으면 수입이 뚝 끊긴단 말이야."
크세니아,수입이 끊기면 아무 것도 못 산다고.
크세니아,"그러면 스트레스가 쌓이고, 마인드맵도 점점 불안해지고..."
크세니아,설마 내가 그렇게 되도록 지휘관이 놔두진 않겠지?
지휘관,그럴 일은 없으니 걱정 마.
크세니아,그럴 줄 알았어! 지휘관은 크레딧처럼 믿을 수 있다니까.
크세니아,지휘관에게서 얻는 안전감은 돈으로도 살 수 없는 거거든.
크세니아,...그러고 보면 지휘관에게 고마워해야 할 거 같은데?
크세니아,"좋아, 지휘관! 나 돈을 좀 모을게!"
크세니아,"이 돈은... ""지휘관 전용 비상금""이라고 불러야지!"
크세니아,그러면 언젠가 지휘관이 정말로 돈이 없어서 곤란해졌을 때 이걸로 해결할 수 있을 거야.
크세니아,하지만 다른 사람에게는 비밀이야?
크세니아,"이건 지휘관만 누릴 수 있는 특별 대우니까, 우리 둘 만의 비밀 계약인거지."
크세니아,"좋아, 계약 성립! 지휘관, 잊으면 안 돼?"
지휘관,"응, 기억할게."
