나레이션,"(어느 더운 날의 오후, 나를 방으로 끌고 간 강우가 손짓발짓을 하면서 위성도시로 대연을 찾아갔던 이야기를 들려주었다——)"
강우,"지휘관, 의견 좀 들려줘. 언니가 나한테 너무 심하다고 생각하지 않아?"
강우,"내가 그리폰을 떠난 것도 진작 알고 있었으면서 말도 안 하고, 몰래 돈 모아서 선물을 사기나 하고..."
강우,이러면 내가 완전 미안하잖아! 그리고 엄청 멍청해 보여!
지휘관,"하하, 결과가 좋으면 된 거지. 그리고 너도 대연을 진심으로 탓하고 있는 건 아니잖아?"
강우,당연하지! 난 이제 성숙한 어른 인형이라고!
강우,지금 생각해 보면 그때는 정말 유치했어. 체면 차리겠다고 시작한 거짓말을 덮으려고 계속 거짓말을 하고... 결국 큰 문제를 일으킬 뻔했잖아.
강우,처음부터 솔직하게 말할 걸!
강우,어쨌든... 다시는 거짓말 안 할 거야!
강우,그 시간에 차라리 주먹질 1000번을 더 하겠어.
지휘관,주관이 뚜렷하네.
강우,지——휘——관——! 언니처럼 날 놀리려는 거지!
강우,그때 내가 매일매일 바쁘게 사느라 얼마나 힘들었는지 모르지!
강우,다시 그때로 돌아간다면—— 다시 돌아갈 수 있다면——
강우,...나도 무슨 일이 벌어질 지 모르겠네.
지휘관,이미 해결된 일이니까 너무 깊이 생각하지 마.
강우,"아, 그렇긴 해..."
강우,지휘관 말이 맞아. 지나간 일은 신경 쓰지 않을래!
강우,"이런저런 사건을 겪긴 했지만, 결국 지휘관의 곁에 올 수 있어서 다행이야."
강우,난 지금 엘모호에서의 생활을 아주 소중하게 여기고 있으니까!
강우,하지만 지나간 사건에서 교훈은 얻어야 겠지...
강우,좋아! 앞으로 우리 둘 다 숨기는 것 없이 솔직하게 말하자. 거짓말을 하지 않는 거야. 어때?
지휘관,"음, 노력해 볼게."
강우,"지휘관, 그 대답 좀 불안해. 말로만 약속하지 말라고! 어디 보자..."
강우,"그래! 지휘관, 손 좀 줘봐. 우리 손가락 걸고 약속하자!"
강우,"헤헤, 손가락 걸고 약속하면 반드시 지켜야 하는 거 알지? 안 지키면 아주 큰 벌 받게 되잖아."
지휘관,...믿을만한 거야?
강우,당연하지! 완전 확실해. 얼른 손 줘!
강우,손가락 걸고... 꼭꼭 약속! 도장 꽝!
강우,"좋아, 이걸로 끝~!"
강우,나는 지휘관이 벌받는 게 싫으니까... 약속 꼭 지켜야 해. 알았지?
