나레이션,"(엘모호에서 휴식하던 어느 오후, 롯타가 인형들을 위해 '영화'를 찍은 일을 이야기해주었다...)"
롯타,"결론적으로, 촬, 촬영 과정에서... 많은 일이 있었고, 편집도 급하게 했지만..."
롯타,"하지만 완성작은 동료들이 좋아해서... 정, 정말 기뻤어요!"
지휘관,기대 이상의 촬영이었나 보네.
롯타,"네! 그런데 지휘관 님, 제가 나중에 깨달은 게 있는데요..."
롯타,"다들 그렇게 인정해준 게 영화를 잘 찍어서가 아니더라고요...|저도 초보 감독이고, 출연한 동료들도 전문 배우가 아니니까요."
롯타,동료들이 영화를 좋아한 더 큰 이유는 우리의 삶을 기록했기 때문이었어요!
롯타,그 촬영 덕분에... 평소에 남기지 못한 일상의 편린이 기록되어... 모두가 공유할 수 있는 소중한 추억이 된 거예요...
롯타,"그게... 저기... 지휘관님, 저, 제가..."
롯타,혹시... 지휘관님을 위해 영화를 찍고 싶은데 지휘관님이 원하실지...
지휘관,"롯타 감독님, 저를 출연시키시려고요?"
롯타,"힝... 지휘관님, 그렇게 부르지 마세요! 제, 제가 무슨 '감독'이라고..."
롯타,"전 그냥... 지휘관님과 함께 보낸 세월을, 기록하고 싶어서..."
롯타,"엘모호에서 지휘관님과 함께 작전하고, 지휘관님과 함께 의뢰를 처리하고, 자료를 정리하고, 정보를 분석하고..."
지휘관,기록하려는 게 다 일인 것 같네.
롯타,"네? 그게... 당연히 아니죠! 영화에 분, 분명 일하지 않는 부분도 있을 거예요!"
롯타,예를 들면 의뢰가 끝난 뒤에 지휘관님과 대화를 나누고... 오늘처럼 지휘관님과 단둘이...
롯타,이런 시간을 기록하고 싶어요. 지휘관님은 항상 재밌는 일들을 얘기해 주시거든요!
롯타,음... 그리고... 지휘관님과 함께 보낸 명절도 기록하고 싶어요... 지휘관님에게 드린 선물과 지휘관님이 주신 선물... 귀여운 스티커... 전용 부호...
롯타,"그리고... 사, 사실 전에 지휘관님이 실수로 지휘실에서 잠들었을 때 제가 참지 못하고 지휘관님의 잠꼬대를 찍었거든요. 이, 이것도 기록해도 돼요?"
지휘관,그건 필요 없을 것 같은데...
롯타,"좋, 좋아요!"
롯타,"아! 그런데... 지휘실에서 자면 감기 걸리기 쉬워요... 다음에는 졸리면 숙소에서 주무시고, 급한 일은 저에게 맡기세요."
지휘관,"알겠어, 주의할게."
롯타,그런데 지금 말한 것만 해도 많네요...|마인드맵에 있는 이 소재들로만 해도 긴 영화가 완성되겠어요!
롯타,그렇게 생각하니 엘모호에 있는 다른 많은 인형들과 비교는 안 되지만...|저도 지휘관님과 긴 시간을 보냈네요! 소중한 추억도 이렇게 많고요...
롯타,"음... 이런 추억들은 마인드맵 기록에서 볼 수 있지만... 혼자 추억하는 것보단 역, 역시 지휘관님과 함께 공유하고 싶어요!"
롯타,지휘관님의 기억 속에 그 시간들은 또 어떤 모습일까요?
롯타,"음... 저기, 지휘관님?"
지휘관,왜 그래?
롯타,"저, 저 혹시... 당장 마인드맵의 기록으로 우리가 주인공인 영화를 만들어도 될까요?"
롯타,저... 전 최대한 빨리 지휘관님에게 이 영화를 보여드리고 싶어요.
롯타,"왜냐면, 과거에 대한 소중한 마음을... 지휘관님과 공유하고 싶거든요."
지휘관,물론이지. 롯타 '감독님'의 신작이 기대되는걸!
