??,"지휘관, 특별히 좋아하는 거 있어?"
나레이션,"(이번 달 엘모호 지출명세서 때문에 골머리를 앓던 중, 갑자기 들려오는 유쾌한 목소리에 깜짝 놀라 고개를 들었다.)"
지휘관,베프리? 그건 갑자기 왜?
베프리,베프리가 요즘 어떻게 하면 무대를 더 멋지게 만들 수 있을지 연구해 봤거든!
베프리,"그런데 자료를 보니까, 관객들이 만족할 무대를 만들기 위해서는 취향을 파악하는 게 아주 중요하대☆"
베프리,"지휘관은 아주 중요한 관객이니까, 베프리의 관객 중에 가장 먼저 물어보고 싶었어☆"
나레이션,"(베프리의 반짝거리는 눈을 보니, 대충 넘어갈 수 없어 진지하게 고민해 보기로 했다.)"
나레이션,(꼭 하나를 이야기하자면...)
지휘관,"요즘 엘모호의 재정 상황이 그렇게 좋지 않으니까, 크레딧이랑 붕괴결정 샤드가 좀 더 많으면 좋겠는걸..."
베프리,크레딧이랑 붕괴결정 샤드?
베프리,"흠, 그걸 어떻게 무대에 표현하지..."
베프리,"돈을 어디서 구할지도 문제네, 베프리는 돈이 없는데..."
베프리,"돈은 없는데, 돈이 아주 많은 것처럼 보여야 하다니..."
베프리,아! 공연할 때 뿌리는 테이프에 크레딧이랑 붕괴결정 샤드 그림을 넣으면 되겠다!
베프리,"그럼 공연장에 돈이 막 쏟아져 내릴 테니까, 지휘관이 분명 좋아할 거야☆"
나레이션,(하늘에서 돈이 비처럼 쏟아지는 모습을 상상하니 나도 모르게 웃음이 나왔다.)
지휘관,괜찮네. 확실히 관객의 취향을 파악하면 관객 입맛에 맞는 무대 만들기에 도움이 되겠구나.
지휘관,"근데, 갑자기 왜 이런 걸 연구하게 된 거야? 지금까지는 미리 조사하는 모습 본 적 없었는데."
베프리,"아, 그게... 아무래도 그로자 대장이 항상 내 공연을 제대로 즐기지 못하는 것 같아서..."
베프리,베프리는 모두를 즐겁게 해주고 싶어. 대장도 물론이고! 그러니까 대장도 공연을 마음껏 즐길 수 있게 해야 해!
베프리,"그래서 베프리는 오랫동안 고민한 끝에, 일단 관객의 취향을 파악하는 것부터 시작하기로 했어!"
지휘관,"내 생각엔, 그로자는 그런 문제가 아니라... 그냥 네가 작전에 더 집중하길 바라는 것 같은데..."
베프리,"하지만 베프리는 전장이라는 무대에 이미 아주, 아주 집중하고 있단 말이야."
베프리,"흠... 잘 모르겠네. 이따가 다시 그로자 대장한테 물어봐야겠어. 하지만, 어쨌든 공연을 개선하려는 건 좋은 거잖아. 그렇지, 지휘관?"
지휘관,응... 좋은 방향이긴 하지.
지휘관,"그럼, 베프리가 좋아하는 건 뭔데?"
베프리,베프리? 그야 물론 지휘관이지☆
나레이션,(너무 빠르고 당연한 듯이 대답해서 조금 부끄러워졌다.)
지휘관,"어—— 나 말이야? 크흠, 그런 말을 남들이 다 듣게... 그렇게 큰소리로 하면 어떡해..."
베프리,왜? 안 돼? 베프리는 지휘관이 좋은데!
베프리,좋아하는 건 큰 소리로 모두에게 알려야 하는 거 아니야? 그래야 다들 베프리의 사랑을 알 수 있잖아☆
베프리,베프리가 피자 씨를 좋아해서 항상 등에 메고 다니는 것처럼 말이야!
지휘관,"음, 그건 좀 다르지. 피자 씨는 좋아한다고 말해도 괜찮지만..."
베프리,"왜? 왜 피자 씨는 되고, 지휘관은 안 돼?"
나레이션,(베프리가 아주 혼란스러운 듯이 무의식적으로 내 곁에 바짝 다가왔다. 나도 모르게 침을 삼키고 급히 어떻게 말을 꺼낼지 고민했다.)
베프리,"뭐야, 지휘관! 베프리를 놀린 거지?!"
베프리,"베프리가 그 얘기했을 때, 지휘관의 감정 신호 수치가 올·라·갔·거·든!"
베프리,"헤헤, 지휘관한테 이런 장난꾸러기 같은 모습이 있었다니☆"
베프리,"하지만, 지휘관이 큰 소리로 말하는 게 싫다면..."
나레이션,(베프리가 갑자기 내 귓가로 바짝 다가온다. 베프리의 숨결 때문에 귀가 간지러웠다.)
베프리,"베프리, 앞으로는 이렇게 지휘관한테만 몰래 말할게. 좋아한다고☆"
지휘관,"아, 아니——"
베프리,"야호! 오늘은 지휘관이 좋아하는 것도 알아냈고, 지휘관의 기분을 좋게 만드는 방법도 알아냈어! 큰 수확이야☆"
베프리,"그럼 베프리는 이만 다른 사람들의 취향을 수집하러 가 볼게. 안녕, 지휘관!"
나레이션,(베프리가 밝은 표정으로 나를 향해 손을 흔들고 깡충깡충 뛰며 지휘실을 떠났다. 나는 그대로 홀로 남겨졌다.)
나레이션,(그래... 이렇게 단순한 게 베프리의 귀여운 점 중 하나지.)
