내부 방송,"...다시 한번 알립니다. 모두 주의하시길 바랍니다. 엘모호는 붕괴폭풍으로 인해 정전 상태입니다. 현재 전기 공급 장치를 긴급 수리 중인 관계로 비상 전기가 공급되고 있습니다. 위험을 최소화하기 위해, 모두 당황하지 마시고 계신 곳에서 침착하게 정전이 끝날 때까지 기다려 주시기 바랍니다. 방송을 마칩니다."
나레이션,"(메이링의 긴급 방송이 끝나자 지휘실 안은 다시 고요한 어둠 속에 잠기고, 비상등만 은은한 초록빛을 내고 있었다. 비상 전력은 기초적인 설비만 운용할 수 있을 정도라, 완전히 복구가 될 때까지는 얼마간 시간이 필요할 듯했다.)"
나레이션,"(문득 지휘실 문이 열렸다. 메이링이 상황을 보고하러 온 줄 알았으나, 뜻밖에도 다른 누군가가 나를 꽉 껴안았다.)"
나레이션,"(나는 반사적으로 팔을 올려 배와 가슴을 보호하려 했지만, 양팔도 이미 단단히 껴안긴 상태였다.)"
지휘관,으악——누구야?
베프리,베프리! 베프리야!
베프리,"지휘관, 기분은 좀 나아졌어?"
지휘관,기분이 나아졌냐고? 그게 무슨 소리야...?
지휘관,"으윽... 베프리, 일단 이것 좀 놔 줄래? 숨을 못 쉬겠어..."
베프리,"아, 응!"
나레이션,(내 팔을 감고 있던 강철 고리가 마침내 풀렸다.)
베프리,"미안, 너무 꽉 껴안았지? 지휘관이 많이 걱정돼서... 지휘관, 어디 아파? 혹시 가슴이 답답해? 머리가 어지럽지는 않고?"
지휘관,"갑자기 정전이 돼서 조금 놀랐을 뿐이야, 난 괜찮아."
지휘관,"난 어두운 거 안 무서워하니까, 그렇게 걱정 안 해도 돼."
베프리,"아... 베프리는 어둠 속에 놓일 때마다 가슴이 항상 이상하거든... 그래서 정전이 됐을 때, 지휘실도 깜깜해졌을 테니까 지휘관도 기분이 안 좋을 거라고 생각했어!"
베프리,"베프리는 지휘관이 그러는 거 절대 가만 못 보니까, 그래서 얼른 지휘관을 달래 주려고 달려왔지."
지휘관,그렇구나... 걱정해 줘서 고마워.
지휘관,"그래도, 나보다는 헬레나나 다른 겁 많은 인형들한테 가주는 게 좋을 것 같아."
베프리,응? 아... 하지만 헬레나에겐 콜펜이 있으니까 베프리가 필요 없을 거야. 그리고 다른 인형들은...
베프리,"지휘관의 눈은 인형의 시각 모듈과 다르니까, 어둠 속에서는 똑바로 보기 힘들지 않아? 그러니까 베프리는 지휘관 옆에서 지휘관을 지켜줄 거야!"
지휘관,확실히 야간 시력은 너희만큼 뛰어나진 않지.
지휘관,"근데 베프리, 혹시 요즘 마인드맵 강화했어? 예전보다 이것저것 고려하는 게 많아진 것 같은데."
베프리,"그, 그래?"
지휘관,"응, 예전과는 달라졌어. 전에는 늘 허둥지둥하면서 정신없는 모습이었잖아. 항상 누군가를 위로하거나 달래주고, 그게 아니라면 공연을 하거나... 곰곰이 생각하는 모습은 보기 힘들었는데."
베프리,"그, 그래...? 그래서 지휘관은 기분이 좋아졌어? 감정 신호 수치가 좀 더 높아진 것 같은데."
지휘관,"물론이지, 관심받는 건 누구에게든 기쁜 일이잖아."
베프리,감사합니다!
베프리,헤헤... 지휘관은 베프리의 가장 중요한 관객이니까...
지휘관,그게 무슨 소리야?
나레이션,(어둠 속에서 베프리가 무언가 중얼거렸지만 들리지가 않았다. 앞으로 바짝 다가가자 베프리가 갑자기 뒷걸음을 쳤다.)
베프리,어——아——
지휘관,"베프리, 괜찮아? 너무 어두워? 메이링한테 봐 달라고 할까?"
나레이션,"(평소 베프리가 어두운 환경에서 불안정해지던 것이 떠올랐다. 그런데 이 ""어둠을 무서워하는' 인형이, 정작 어둠을 전혀 무서워하지 않는 나를 지키겠다며 찾아온 것이다.)"
베프리,아... 아니야——괜찮아!
베프리,"베프리는, 그, 그러니까... 지, 지금 그냥 지휘관 곁에 있고 싶다고!"
베프리,"아이돌의 일이나 책임 때문이 아니야. 다른 사람들은 생각 안 했어... 베프리는, 그냥 지휘관과 함께 있고 싶을 뿐이야!"
나레이션,(베프리가 갑자기 큰 소리로 말해 조금 놀랐다. 평소와는 다른 모습이었다.)
나레이션,(그냥 나랑 함께 있고 싶다니... 왜지?)
나레이션,"(질문을 하려던 찰나, 갑자기 주위가 밝아졌다, 마침내 전기가 다시 돌아온 것이다.)"
나레이션,"(갑자기 밝아진 불빛에 눈이 부셔 잠시 눈을 찌푸렸다. 시야가 다시 또렷해졌을 때, 가장 먼저 보인 것은 베프리의 붉게 상기된 얼굴이었다.)"
지휘관,"얼굴이 엄청 빨개졌네, 어디 아파?"
나레이션,"(베프리는 이제야 전등에 불이 들어온 걸 깨달은 듯, 황급히 얼굴을 손으로 가리고 비틀거리며 지휘실 문 쪽을 향해 걸어갔다.)"
베프리,"으악! 지, 지휘관은 아무것도 못 본 거야!"
지휘관,"잠깐만, 베프리——"
베프리,"베, 베프리한테 그런 거 묻지 마! 으으... 이제 정전도 끝났으니까, 베프리는——어서 리허설하러 가야겠어! 지휘관, 안녕!"
나레이션,"(베프리가 허둥지둥 자리를 떠나고, 나는 혼자 자리에 남겨졌다. 머릿속에는 물음표와 방금 전 베프리의 빨개진 얼굴만 가득했다.)"
나레이션,(그래서 도대체 왜 그런 거지?)
