나레이션,"(엘모호는 예정대로 마을에서 멀지 않은 곳에 정박했고, 메이링도 여러 인형들을 데리고 기체 정비에 들어갔다.)"
나레이션,(나는 수오미와 함께 지프를 타고 마을로 들어갔다.)
수오미,지휘관님! 지휘관님! 이쪽이요!
지휘관,"응, 지금 가."
나레이션,"(차를 세우자마자 수오미가 뛰어내렸다. 오랜만에 밖에 나오기도 했고, 새 음반을 살 생각에 수오미는 잔뜩 들뜬 표정이었다.)"
나레이션,(나는 미소를 지으며 그녀를 따라갔다. 뛰어다니는 수오미를 보니 나까지 즐거워졌다.)
나레이션,(이곳은 마을의 폐허 위에 세워진 정착지다. 정화 프로젝트의 최전선에서 멀지 않아서 붕괴 방사선량도 그리 높지 않다. 심지어 이곳을 지키지 위해 고용된 무장인력도 드물게 보였다.)
나레이션,"(짧은 대화 끝에 수오미와 나는 정착지 시장에 도착했다. 폐허 위에 들어선 시장이라 초라할 수밖에 없었지만, 옐로우존이란 걸 생각해보면 사치스러운 느낌이었다.)"
수오미,와... 가게가 엄청 많은데요?
나레이션,"(오랜 시간 동안 옐로우존에 있었던 수오미는, 이곳이 얼마나 큰 건지 이해하고 있었기에 마음 속으로 감탄을 내뱉었다.)"
지휘관,위치도 좋고 붕괴방사선량도 낮아. 폐허긴 해도 원래 마을이 있던 곳이라 인프라도 제법 갖춰져 있고.
지휘관,현상금 사냥꾼이나 일 때문에 옐로우존을 오가야 하는 사람들이 이곳에 머물며 물자를 보충해. 심지어 여기서 재고를 매입하는 암상인들도 있을 정도야.
지휘관,그래서 옐로우존에 어울리지 않게 떠들썩한 거겠지.
수오미,"그, 그렇구나..."
수오미,안타깝네요... 아무리 사람이 많아도... 옐로우존은 결국 옐로우존이니까요...
수오미,모두가 그린존에서...... 안정된 환경에서 살 수 있다면 참 좋을 텐데.
지휘관,이 세상은 스스로 정할 수 없는 것들이 너무나 많아. 가장 평화로운 시대에서조차 모든 곳이 살기 좋은 곳이었던 건 아니었어...
나레이션,(나는 살짝 숙인 수오미의 머리를 쓰다듬고 한숨을 쉬며 '가게'들을 둘러보았다.)
지휘관,여긴 레코드는 취급 안 하는 것 같은데?
나레이션,(요즘 같은 세상에 옐로우존과 그린존 변두리에서 발버둥치는 사람들에게 예술과 아름다움은 사치품이다.)
나레이션,(때문에 이곳엔 생계 관련 상품이 더 많다.)
수오미,너무 신경 쓰지 마.
수오미,음악은 언제가 됐든 인류에게 없어서는 안 될 창작물이니까요.
수오미,음악을 사랑하는 사람은 언제나 있을 것이라 믿어요.
지휘관,그럼 쇼핑하러 가자. 오늘은 아직 시간이 많으니까.
나레이션,(우리는 나란히 거리로 나갔다.)
나레이션,"(수오미는 아까 얘기에 살짝 풀이 죽었지만, 가는 내내 흥분이 가시지 않은 채 내 손까지 잡아당겼다.)"
나레이션,"(거의 모든 가게를 돌아다니며, 보이는 것마다 보물을 발견한 듯 칭찬 일색이었다.)"
수오미,지휘관님! 지휘관님! 과자예요!
지휘관,...직접 구운 걸까? 이런 곳에서... 제법 사치스러운걸.
수오미,엘모호 분들한테 선물을 좀 사가는 게 어떨까요?
지휘관,괜찮네. 한번 골라보자.
수오미,"아까 저쪽에 수공예품 가게가 있던데, 거기로 가봐요!"
지휘관,"돌아갈 때 보자, 가방이 무거우면 들고 다니기 힘드니까."
수오미,알았어!
나레이션,"(웃고 떠들며 계속 돌아다니던 와중, 모퉁이에 있는 골동품 가게가 눈에 들어왔다.)"
지휘관,"수오미, 저기 한번 가볼까? 골동품 가게에서 오래된 레코드를 팔기도 하니까."
수오미,아... 그렇네요! 어쩌면 괜찮은 걸 찾을 수 있을지도 몰라요!
나레이션,(나는 수오미의 손을 잡고 골동품 가게 안으로 들어갔다.)
나레이션,(카운터 뒤에는 조끼를 입은 청년이 테이블 앞에 앉아 게임을 하고 있었다.)
나레이션,(나는 카운터로 가서 살짝 헛기침을 한 뒤 인사를 던졌다.)
지휘관,...여보세요?
점원,마음에 드는 거 골라오시면 가격 말해드릴게요.
나레이션,"(점원은 고개도 돌리지 않고, 눈앞에 있는 화면만 뚫어지게 바라보며 차갑게 말했다.)"
지휘관,"실례지만, 여기 오래된 레코드도 팝니까?"
점원,앞쪽에서 두 번째 선반 있죠? 그 옆에 바구니 봐보세요.
지휘관,고마워.
나레이션,"(점원의 냉담함과 결례에도 개의치 않고, 나는 수오미를 데리고 오래된 레코드가 들어 있는 바구니를 찾았다.)"
나레이션,"(적당한 크기의 바구니 안에 오래된 레코드가 수십 장 쌓여있었다. 육안으로도 느껴질 만큼 낡은데다 포장지가 조금씩 말려 있었다. 심지어 누군가 표지를 찢어버려서 레코드 플레이어에 올려보지 않으면 무슨 음반인지 알 수 없는 것도 있었고,)"
나레이션,(심지어 케이스도 없이 비닐 포장지에 넣어둔 것도 있었다.)
나레이션,(나는 수오미가 데이터를 직접 읽어들이려는 걸 제지했다. 이런 저장매체는 안전성이 영 의심스러웠다. 혹시나 바이러스라도 심겨 있으면 큰일이다.)
지휘관,나가서 다른 가게가 있는지 둘러보는 건 어때?
수오미,괜찮아요! 애초에 제가 어리광부린 건데 지휘관님을 더 고생시키고 싶진 않아요.
나레이션,(수오미는 모두가 준 레코드 플레이어를 꺼냈다. 선물받은 날부터 항상 가지고 다니는 필수품이었다.)
수오미,이걸로 들어봐요!
지휘관,응.
나레이션,"(나는 고개를 끄덕인 후, 음반들 중 표지가 그대로 남아 있는 몇 장을 골라서 수오미에게 건넸다.)"
나레이션,(수오미는 그것을 받아 유심히 살펴보았다. 두 눈이 늑대처럼 날카롭게 빛나고 있었다.)
수오미,"이, 이건... '블러'의 Parklife!!"
수오미,"이건 전설의 명반이에요! 왜 이런 데 있는 거지? 지휘관님, 이게 꿈은 아니겠죠?"
지휘관,물론이지. 잘 모르겠지만 마음에 든다니 다행이네.
지휘관,나도 나눠서 확인해줄게.
나레이션,(나는 웃으며 레코드 플레이어를 들고 정체불명의 레코드들을 하나하나 확인하기 시작했다.)
나레이션,"(아니나 다를까. 읽히지도 않는 것이 태반이고, 나머지도 음질이 너무 나빴다. 플레이어가 낡아서인지 레코드판 자체의 문제인진 몰라도, 중간중간에 묻어나는 잡음은 확실히 치명적이었다.)"
지휘관,응? 이건...
나레이션,"(...특이하긴 한데, 수오미가 평소에 듣던 것에 비하면 마일드한 느낌이었다.)"
나레이션,"(신나게 음반을 확인 중인 수오미를 힐끗 보며, 내가 먼저 확인해보기로 했다.)"
나레이션,"(이어폰을 끼고 이 레코드를 계속 듣다 보니, 이런 스타일의 음악에 익숙하지는 않지만 왠지 모르게 귀가 끌리는 느낌이 든다.)"
나레이션,"(레코드의 플레이리스트를 살짝 보니 총 12곡이 들어 있는 것 같았다. 12곡 전부 비슷한 수준이라면, 수오미 취향이 아니더라도 내가 소장해도 될 것 같다.)"
지휘관,"수오미, 이것 좀 들어봐."
수오미,네? 네.
나레이션,(수오미는 영문도 모른 채 그냥 이어폰을 가져갔다.)
나레이션,"(조용히 귀를 기울이던 그녀는, 멜로디가 울리자마자 오늘 중 가장 환희에 찬 눈빛을 반짝였다.)"
수오미,"이, 이건......Nevermind!!"
지휘관,어? 유명한 거야?
수오미,유명이라기보단...... 획기적인 작품이에요!
나레이션,(그녀는 레코드가 손상될까봐 조심스럽게 레코드 플레이어를 끄고 레코드를 꺼냈다.)
수오미,그것도 12곡짜리 풀 앨범이라니... 인터넷에서도 이렇게 완전한 음원은 찾을 수가 없어요.
나레이션,(수오미가 기뻐하는 모습을 보고 나도 웃었다.)
지휘관,그럼 이것들로 할까?
수오미,네!
나레이션,"(수오미는 레코드 다섯 장을 집어들고 머뭇거리다가, 두 장을 다시 바구니에 집어넣고 카운터를 향해 빠르게 달려갔다.)"
나레이션,"(나는 미소지으며 고개를 젓고는, 그 두 장을 다시 집어들고 걸어갔다.)"
수오미,안녕하세요! 이것들 주세요!
지휘관,그리고 이것도.
수오미,"에?! 지, 지휘관님..."
지휘관,계산해 주세요.
점원,아...네. 다섯 장 합쳐서. 이 만큼만 주세요.
지휘관,예.
나레이션,"(수오미의 의견을 전혀 묻지 않은 채, 나는 계산을 하고 곧바로 레코드 다섯 장을 가방에 넣었다.)"
수오미,"...감사합니다 지휘관님! 꼬, 꼭 보답할게요!"
지휘관,너무 신경 쓰지 마.
나레이션,(나는 빙긋 웃었다.)
지휘관,뭘 사는지는 중요한 게 아니야. 네가 옆에 있는 게 중요하지.
나레이션,(수오미는 나를 올려다보더니 잠시 어리둥절하다가 이내 자신이 한 말이 생각났다.)
나레이션,(수오미의 머리가 빨갛게 달아오르는 게 보였다.)
수오미,"지, 지휘관님! 놀리지 마세요!"
지휘관,하하하.
나레이션,(나는 웃으며 그녀의 머리를 쓰다듬고 나서 미소를 지었다.)
지휘관,그동안 노력한 것에 대한 보답이라고 생각해.
지휘관,엘모호 뿐만 아니라 인형 공동체에서도 다른 사람을 위해 참아 왔잖아.
수오미,저건...
지휘관,"가자, 아직 시간도 많으니까."
수오미,"...네! 그럼 이제 어디로 갈까요, 지휘관님?"
나레이션,"(그 후, 나는 수오미와 마을을 돌아다니며 명물 간식을 맛보고, 오래된 시계탑도 구경하고, 마지막으로 수오미가 말한 그 수공예품 가게로 가서 그로자와 메이링, 그리고 다른 엘모호 대원들에게 줄 선물을 산 뒤, 발걸음을 돌려 귀갓길에 올랐다.)"
수오미,흥흥~♪ 흥흥~♪
나레이션,"(수오미는 짐을 들고 앞에서 폴짝폴짝 뛰는 것이, 얼마나 기분이 좋은지 눈에 훤히 보였다.)"
나레이션,(그녀가 흥얼거리는 건 내가 방금 들은 그 노래였다.)
나레이션,"(가는 동안 말없이 웃으며 수오미가 흥얼거리는 것을 들었다. 수오미는 엘모호에 도착한 뒤에야 차분해진 듯, 구매한 선물을 메이링에게 건네주고는 사온 레코드들을 내게서 받아갔다.)"
지휘관,돌아가서 푹 쉬어.
지휘관,하루 종일 돌아다녔더니 피곤하네.
수오미,"네... 저기, 지휘관님!"
지휘관,음?
수오미,정말... 정말 고마워요.
수오미,오늘이 지난 10년 중에 가장 즐거운 날이었어요.
지휘관,......
나레이션,(나는 미소를 지으며 수오미의 머리를 쓰다듬었다.)
지휘관,그럼 됐고.
