???,흠~흐흠~♪♪♪
나레이션,(라운지를 지날 때 박자감이 느껴지는 발소리와 함께 유쾌함이 묻어나는 콧노래가 들려왔다.)
나레이션,"(호기심에 소리가 나는 쪽, 문이 반쯤 열린 주방을 슬쩍 바라봤다.)"
나레이션,"(주방에는 유희가 있었다. 유희는 방문을 등진 채, '남은 시간 3분'이라고 표시된 전자레인지를 빤히 보고 있었다. 유희는 내가 다가온 것도 모른 채 그 자리에서 춤을 추고 있었다.)"
나레이션,"(내 기억 속 유희의 춤은 언제나 역동적이었다. 하지만 오늘의 춤은 아주 부드럽고 우아했고, 리듬도 평소보다 느릿했다. 그러다 한 번의 우아한 회전을 끝으로, 유희의 춤이 마무리되었다.)"
나레이션,(나는 박수를 치면서 다가갔다.)
지휘관,"브라보, 잘 추는걸."
유희,"지, 지휘관!?|언제부터 거기 있었어...?"
지휘관,"지나다가다 보고 왔어.|덕분에 유희의 ""특별 공연""을 봤네."
유희,"아, 아니야!"
유희,"이 안무 아직 끝까지 다 짜지도 않았고, 지휘관한테 보여줄 춤은 따로 있으니까 방금 건 무효! 지휘관은 방금 아무것도 못 본 거야!"
나레이션,(유희가 많이 당황하길래 괜히 궁금해졌다.)
지휘관,"응? 뭣 때문에 그래?|나한테 보여줄 춤이라니, 그건 대체..."
나레이션,(띵 하는 소리를 울리며 전자레인지가 멈췄다.)
유희,"아, 아무튼, 방금 본 건 잊어버려."
유희,치킨 식겠다. 나 먼저 갈게!
나레이션,"(유희는 허둥지둥 전자레인지에서 ""스파이시 윙""을 꺼냈다. 좋아하는 양념 소스를 뿌릴 틈도 없이 문을 열고 조리 구역에서 꽁무니 빠지게 도망갔다.)"
나레이션,(나는 활짝 열린 전자레인지를 멍하니 바라봤다.)
나레이션,(며칠 후...)
나레이션,"(내가 라운지에서 최근 의뢰 시세를 보고 있을 때, 유희가 커피 포트를 들고 불쑥 다가왔다.)"
유희,"지휘관, 커피 한잔 따라줄게..."
나레이션,"(싱글벙글 미소 짓는 유희를 보고, 나는 이미 가득 찬 커피잔에 커피를 따르려던 손을 막았다.)"
지휘관,"...유희야, 무슨 일 있으면 그냥 말해."
유희,"어, 엣!? 아, 아무 일도 없는데?|지휘관, 그게 갑자기 무슨 말이야?"
지휘관,하아...
나레이션,"(주방에서 마주친 그날 이후로, 유희는 드문드문 내게 댄스 영상을 같이 보자고 초대했지만, 요즘 엘모호 업무가 바빠서 나는 계속 초대를 거절했다.)"
나레이션,"(그 뒤로 유희는 자주 지휘실을 드나들며, 마치 나를 관찰하는 듯한 행동을 보였다.)"
지휘관,"이 커피, 나 아직 한 방울도 안 마셨는데."
유희,"앗, 하하... 그렇구나, 내가 잘 못 봤어.|미안해, 지휘관~"
지휘관,"유희야, 요즘 대체 왜 그래? 제발 알려주지 않을래?"
유희,"어, 그게..."
나레이션,(나는 유희를 똑바로 바라봤다. 유희는 점점 미소를 유지하지 못하더니 고개를 숙이고선 바닥을 보며 이리저리 눈알을 굴렸다.)
나레이션,(더는 얼버무리지 못하게 된 유희는 커피 포트를 꼭 쥐고서 손잡이를 계속 문지르며 입을 열었다.)
유희,"엘모호에... 합류해서 지휘관이랑 다시 만난 지도 꽤 오래됐는데, 정작 지휘관을 위한 춤은 전혀 진전이 없어."
유희,이대로는... 안 돼.
유희,"더 서둘러야, 방법을 생각해야..."
나레이션,(유희의 말에서 몇 마디가 신경 쓰였다..)
지휘관,나를 위한 춤?
유희,......
나레이션,"(유희는 불안하고 걱정스러운 표정을 지었지만, 내 질문을 듣고는 곧바로 침묵해 버렸다.)"
나레이션,(다른 방법이 없겠다.)
지휘관,"유희야, 내가 꼭 네 개인적인 속마음을 캐물을 생각은 아니지만, 지금처럼 이러면 내 일에도 영향을 주게 돼."
유희,"...죄송합니다, 지휘관."
지휘관,"그럼 이렇게 하자, 우리 내기 하나 할까?"
나레이션,(나는 서랍에서 동전을 하나 꺼냈다.)
유희,어? 내기...?
지휘관,"응, 내가 이기면 솔직하게 다 털어놔."
유희,근데... 이런 걸로 내기할 것까진...
지휘관,"내 일에 지장이 생기잖아, 응?"
유희,......
유희,"알았어... 그럼, 무슨 내기인데?"
나레이션,(나는 동전의 앞면을 유희에게 보여줬다.)
지휘관,"이 동전, 던져서 앞면이 나오면 내가 이긴 거로 하자. 어때?"
유희,...그래.
나레이션,(나는 동의를 얻자마자 동전을 엄지 위에 올리고 높게 튕겼다.)
유희,아앗!
나레이션,(유희는 긴장한 채로 동전이 그리는 포물선을 지켜보았다. 동전이 내 손바닥에 떨어지자 나는 재빨리 그것을 받아 다른 손으로 덮었다.)
나레이션,"(나는 동전을 덮고 있던 손을 천천히 치우며, 유희에게 결과를 보여줬다.)"
지휘관,"앞면이네, 내가 이겼어."
유희,윽... 이럴 수가...
유희,하아... 알았어...
나레이션,"(유희는 몹시 우울한 표정이었지만, 이내 담담히 승부를 받아들이고 커피 포트를 테이블 위에 내려놓았다. 그리고 잠시 감정을 추스른 뒤 말을 꺼냈다.)"
유희,그게... 내가 춤의 표현력을 추구하고 있잖아...
나레이션,(나는 조용히 고개를 끄덕이며 이야기를 재촉했다.)
유희,"표현하는 내용이 담기지 않은 춤은 마인드맵이 설치되지 않은 기계처럼, 영혼이 없다고 생각해."
유희,춤으로 어떻게 내 감정과 생각을 표현할 수 있을까... 그게 내가 그리폰을 떠난 뒤로 줄곧 추구해온 거였어.
유희,"그리고 지금은 이렇게 무용수가 되었고, 내 마인드맵 안엔 10년 동안 쌓여온 수많은 감정이 있어. 그걸 지휘관에게 전하고, 지휘관이랑 나누고 싶은데..."
지휘관,"그래서 그때 그 춤...?|아, 미안해. 내가 춤에 대해서는 잘 몰라서."
