354,"(그로부터 얼마 지나지 않은 어느 오후, 나는 지휘실로 향했다.)"
지휘관,메이링.
메이링,"왜 그러나, 지휘관?"
지휘관,스프링필드가 찾아온 적 있어?
메이링,스프링필드 씨가요? 저를요? 왜요?
지휘관,그럼 아직 너한텐 말 안 한 모양이구나.
지휘관,"있잖아, 메이링. 스프링필드가 공용 구역에 카페를 만들 계획인 것 같아."
지휘관,주케로 같은 느낌으로 말이야. 아니면 주케로의 분점이라고 해야 하나?
메이링,"에에, 정말요? 완전 좋네요!"
메이링,공용 구역 시설은 예전부터 손봐야겠다고 생각하고 있었어요!
지휘관,네가 좋아하니 다행이네.
지휘관,"스프링필드가 깜짝 선물을 줄 생각인지, 구체적인 작업엔 나를 일부러 안 끼워줄 모양이야."
지휘관,그래도 예산 문제만큼은 우리가 먼저 해결해야 하지 않을까?
메이링,"그렇네요... 지휘관님, 잠시만요!"
나레이션,"(메이링은 재빨리 단말을 켜고, 창고 재고와 각종 장부를 확인하기 시작했다.)"
나레이션,(지휘실에서 업무를 돕고 있던 그로자와 콜펜도 그 소리를 듣고 이쪽으로 다가왔다.)
그로자,...카페?
그로자,조금 그립네.
콜펜,그립다고요?
그로자,그리폰에 있을 때 우리만의 카페가 있었거든.|그 카페엔 정말 많은 추억이 남아 있어.
콜펜,"에에, 멋지네요!"
콜펜,어떤 추억들이 있었는데요?
그로자,"명절이든 축하할 만한 기념일이든, 특별한 날이 다가오면 모두가 모여서 카페를 꾸미곤 했었어."
그로자,"스프링필드랑 센타우레이시가... 아, 그땐 우리가 G36이라고 불렀지. 잡무에 능한 인형들을 데리고 준비를 도맡아서 했지."
그로자,"그렇게 준비가 끝나면 다 함께 한자리에 모여서, 떠들썩하게 즐겼어."
콜펜,"와, 그거 진짜 재밌었겠어요!"
그로자,"응, 우리에게는 아주 소중한 추억이지."
콜펜,저도 지휘관님이랑 그런 추억을 만들고 싶어요.
콜펜,"그쵸, 지휘관님~"
지휘관,...네.
지휘관,"돌이켜보면, 스프링필드는 언제나 자진해 이런 일을 도맡아서 했었네."
지휘관,아마도 모두와 함께할 추억을 남기고 싶었던 건 아닐까.
메이링,"지휘관님, 계산 끝났어요!"
지휘관,어때?
메이링,저희 형편이야 늘 빠듯하지만요.|그래도 이 정도 예산쯤은 좀 당겨올 수 있을 것 같아요!
나레이션,"(메이링이 내민 보고서를 대충 훑어보니, 쓸 수 있는 예산이 그렇게 크지는 않았지만 카페를 만드는 데엔 무리가 없어 보였다.)"
메이링,그리고 공용 구역의 장소도 확보해 뒀어요. 이 정도면 충분하겠죠?
지휘관,"응, 넉넉할 것 같아."
지휘관,"고마워, 메이링. 지금 바로 스프링필드랑 이야기해 봐야겠다."
메이링,저도 같이 갈게요!|구체적인 내용은 스프링필드 씨와 다시 상의해야 하니까요!
그로자,여긴 우리에게 맡겨줘.
콜펜,응응! 콜펜도 열심히 할게요~
지휘관,그럼 믿고 맡길게.
나레이션,"(간단히 업무를 정리한 뒤, 나는 메이링과 함께 자리를 떴다.)"
나레이션,(스프링필드를 찾는 건 그렇게 어렵지 않았다. 임무가 없는 날이면 그녀는 늘 잡일을 해결할 사람이 있는 곳에 있었으니까.)
나레이션,(스프링필드와 센타우레이시가 오기 전엔 아무도 눈길 주지 않던 곳들도 둘이 엘모호에 온 뒤로는 하나같이 깔끔하게 정리되어 있었다.)
메이링,아! 스프링필드 씨 저기 계시네요!
나레이션,(곧 우리는 격납고에 세워져 있던 지프를 청소하고 있던 스프링필드를 발견할 수 있었다.)
나레이션,"(그녀는 소매와 바짓단을 걷어붙이고 머리를 묶은 채, 쪼그려 앉아 손으로 걸레를 힘주어 짜고 있었다.)"
