지휘관,"...""지휘관님, 택배가 도착했어요. 라운지 홀로 와서 수령해 주세요.""라고?"
나레이션,"(나는 통신 단말기에 뜬 메시지를 보며, 머리를 긁었다. 보통 내 모든 택배를 알아서 처리한 다음, 사무실에서 한꺼번에 확인하게 해줬는데.)"
나레이션,(이렇게 직접 택배를 찾아가라고 알려주는 건 처음이네.)
나레이션,(...그리고 라운지 홀에서 택배를 찾으라고? 뭔가 수상한데.)
나레이션,(하지만 나는 메시지에 적힌 내용대로 라운지 홀로 갔다. 어차피 엘모호 안이니까 별문제는 없을 테니.)
나레이션,"(오라는 곳에 도착했지만, 홀에는 택배는커녕 사람도 하나 보이지 않았다.)"
나레이션,"(장난이 아닐까 하고 메이링에게 확인하려던 순간, 뒤에서 발소리가 들렸다.)"
나레이션,(나는 바로 돌아섰다. 밝지 않은 조명 아래 사쿠라가 홀로 서 있었다.)
사쿠라,드디어... 드디어 뵙게 되었네요...
사쿠라,우와앗!
나레이션,"(그 말이 끝나자마자, 사쿠라는 내게 달려왔다. 거의 내게 부딪힐 뻔했지만, 가까스로 멈춰서 내게 안겼다. 고개를 들어 나를 바라보는 그녀의 눈에는 눈물이 그렁그렁했다.)"
사쿠라,"역시, 지휘관님이 직접 찾으러 오셨네요. ""택배가 도착했다""는 메시지를 보내면, 지휘관님이 나타나시니까..."
사쿠라,"으우... 지휘관님도 아시잖아요, 요즘 지휘관님 뵙는 게 얼마나 힘들었는지요.|회의 중이시거나, 엘모호에 안 계시거나, 아니면 이미 쉬고 계시거나..."
사쿠라,"최근 배송 업무가 많아서, 한 달 동안 엘모호에 돌아오지도 못하구. 겨우 돌아왔는데, 지휘관님 얼굴도 한 번 못 보고... 저, 저어... 우우..."
사쿠라,저... 꼬옥 안아주시면 안 될까요?
나레이션,"(사쿠라는 살짝 손을 내밀었지만, 여전히 나와는 거리가 약간 있었다.)"
나레이션,(나는 한숨을 쉬고 나아가서 그녀를 품에 안아주었다.)
나레이션,"(그녀는 얼굴을 내 가슴에 묻었다. 내가 그녀를 감싸주자, 그녀의 소체가 살짝 떨리는 것 같았다.)"
사쿠라,이런 핑계로 지휘관님을 뵈려던 건 아니었어요. 그치만... 정말로 지휘관님이 필요해서...
사쿠라,"그동안 제가 계속 노력해 올 수 있었던 원동력... 지휘관님은, 아시죠?"
사쿠라,"엘모호에서 함께 있지 못하는 날에는, 지휘관님과 제 목표를 위해 노력하고 있는 거라고 스스로를 다독여 왔어요. 하지만... 자꾸만 웃으면서 제게 말을 걸어 주시던 지휘관님의 모습이 떠올라서... 그리움을 참을 수가 없었어요..."
사쿠라,"힘들게 일을 마치고 돌아오면, 이번에는 지휘관님을 다시 뵐 수 있을 거라고 생각했는데...|기대가 조금씩 닳아 없어지는 기분이 어떤 건지, 지휘관님은 아시나요? 저는 예전에 이미 한 번 겪어 봤거든요. 다시는 그런 일을 겪고 싶지 않아요..."
나레이션,"(사쿠라는 고개를 들어 올렸다. 붉게 달아오른 그녀의 얼굴에는 눈물이 그렁그렁 맺혀 있었다. 그녀는 내 팔을 안은 채, 점점 더 힘을 주었다.)"
사쿠라,"그러니까 오늘 밤만큼은, 이 ""특별 배송""을 받아 주시고... 제가 곁에 있게 해 주세요... 괜찮을까요?"
