열차 방송,승객 여러분께 안내 말씀 드립니다. 잠시 후 이번 역은——
나레이션,(무미건조한 안내 방송이 다음 역 도착을 알렸다.)
나레이션,(시간표를 확인하니 목적지인 위성 도시까지는 약 30분 정도 남았다.)
소프,흥흥흥흥흥~♪
나레이션,(내 옆에 앉은 소프는 몸을 흔들거리며 무척 기분이 좋아 보였다.)
소프,"지휘관, 우리 오늘 그 농업 과학 기술 박람회인가 뭔가 하는 데 가는 거 맞지?"
지휘관,응. 새로운 장비들이 뭐가 있나 보러 가는 거야. 나중에 인형 커뮤니티에서 쓸만한 게 있을지도 모르니까.
지휘관,나를 뭐라고 불러야 하는지는 기억하고 있지?
소프,"응? 지휘관이지…… 아, 아니지! '부장님'!"
지휘관,그래. 난 구매부 부장이다. 절대 실수하면 안 돼.
소프,"알았어, 알았다구~ 부장님~"
지휘관,좋아. 아직 시간이 좀 남았으니까——
나레이션,(나는 태블릿 PC를 소프의 무릎 위에 올려두었다.)
소프,음? 이게 뭐야?
지휘관,이건 임무 파견 시스템이야. 너희가 받는 임무들은 다 이걸로 배정되거든.
지휘관,"평소엔 그로자가 하던 일인데, 지금은 네가 맡아봐."
소프,오오! 대단한걸! 대원들 얼굴이 다 나와 있어!
소프,어? 그로자 얼굴은 왜 회색이야?
지휘관,지금 임무 수행 중이라 그래.
지휘관,"잘 들어, 소프. 이건 대원들의 능력, 성격, 소체 상태 같은 걸 잘 알아야 적절한 팀과 임무를 짤 수 있어. 모르는 게 있으면 나한테 물어보고."
지휘관,아니면…… 로벨라한테 물어봐도 돼.
나레이션,"(말해놓고 아차 싶었다. 소프와 로벨라가 대화를 통해 오해를 풀길 바라는 마음이었지만, 지금의 소프에겐 역효과일 게 뻔했다.)"
소프,나 혼자서도 할 수 있어! 엘모호 인형들은 이미 다 만나봤는걸.
소프,지휘관은 그냥 나만 믿으라고!
나레이션,(소프는 태블릿을 뚫어지게 쳐다보며 미간을 찌푸린 채 열중하기 시작했다.)
나레이션,"(처음엔 옆에서 지켜봤지만, 쏟아지는 졸음을 이겨내기가 힘들었다. 눈꺼풀이 천근만근 무거워졌다.)"
나레이션,"(뭐, 큰 일이야 나겠어.)"
나레이션,(나는 그렇게 생각하며 눈을 감고 부족한 잠을 청했다.)
소프,오오~ 오오오오~!
나레이션,(회장에 들어선 이후로 소프는 계속 감탄사를 내뱉었다. 그녀의 기분이 이해가 가지 않는 건 아니었다.)
나레이션,(화려한 호텔 로비에 전시된 최신식 기계 장치들은 확실히 시선을 사로잡기에 충분했다.)
