나레이션,"（어느 날, 턱을 괴고 업무 자료를 들여다보고 있었다.）"
지휘관,"（아……너무 졸려, 자고 싶어……하지만 안 돼, 이거 오늘 안에 다 봐야 하는데, 안 그러면 일이 기하급수적으로 늘어날 거야……）"
페일린,으으! 지휘관! 슬퍼하지 마!
지휘관,"……어? 왜 그래, 페일린?"
페일린,"지휘관, 또 그 표정이에요!"
지휘관,그 표정?
페일린,그러니까…… 예전에 지휘관이 '사람은 변하는 법이야'라고 말할 때 짓던 그 표정이요!
페일린,마인드맵이 텅 빈 것처럼 느껴지는 그런 표정.
지휘관,"아…… 그, 그렇구나?"
지휘관,（내가 지쳐있을 때 그런 표정을 짓고 있었던 건가?）
페일린,"다른 사람이 변하는지 어떤지는 모르겠지만, 나는 지휘관한테 약속할게, 나는 절대 안 변해!"
페일린,나는 영원히 지휘관 곁에 있을 거야!
지휘관,고맙긴 한데……
페일린,"매일 지휘관한테 머리 쓰다듬어 달라고, 그다음에 빗겨 달라고 조를 거야, 이 루틴은 절대 안 흔들려!"
페일린,"음……근데 안 변하는 거면, 새로운 걸 추가할 수 없다는 뜻이 되는 건가……"
페일린,"<size=20>나, 나는 지휘관이 안아줬으면도 싶고……뽀, 뽀뽀도 해줬으면 싶고……</size>"
지휘관,"페일린……혼자 중얼거린다고 생각하는 거 알겠는데, 다 들려."
페일린,"상관없어! 나, 나는 그냥 그러고 싶었을 뿐이야!"
페일린,지휘관! 우리 매일 루틴에 안아주기랑 뽀뽀 추가해줄 수 있어?!
페일린,"추가해주면, 다시는 안 변한다고 약속할게!"
페일린,나는 지휘관 곁에서 가장 확실한 존재가 될 거야! 그러면 지휘관도 그 표정 안 짓겠지!
