지휘관,......
콜레다,......
콜레다,……어머! 지휘관.
지휘관,……그 억지로 밝게 하는 인사는 무슨 뜻이야?
콜레다,가장 보고 싶었던 지휘관을 만나서 저도 모르게 기분이 좋아진 걸까?
지휘관,"말 돌리지 마, 내가 뭘 묻고 싶은지 알잖아."
콜레다,음…… 지휘관의 심박수가 12.8% 빨라졌네. 아무래도 내 옷차림을 보고 갑자기 어떤 특별한…… 열정이 불타오른 거겠지?
지휘관,오해 살 만한 말은 자제해 주지 않을래……
지휘관,그냥 전에 해변에 있었을 때가 생각나서 그런 거랄까……
지휘관,"(큰일 났다, 공에 맞았던 두통이 다시 밀려오고 있어——)"
콜레다,"응응, 내가 말한 게 바로 그거야."
콜레다,지휘관이야말로 아까 무슨 생각 했어? 심박수가 아직도 빨라지고 있는데?
지휘관,두근거림이라기보다는 오히려 고통으로 인한 회피 반응에 더 가깝다고 생각하는데……
지휘관,"어쨌든, 그렇게 입은 모습은 오랜만인데, 뭐 하러 가는 길이야?"
콜레다,조금 있으면 지휘관도 알게 될 거야.
지휘관,음?
콜레다,"아, 내 말은 무슨 나쁜 짓을 하려는 건 아니란 뜻이야."
지휘관,하지만 오늘은 여름이나 해변과 관련된…… 활동 같은 건 없잖아.
콜레다,"음…… 그렇긴 하지만, 물에 젖을 거라면 역시 수영복으로 갈아입는 편이 편하지 않겠어?"
지휘관,"그러니까…… 내 질문에 대답해 줘, 콜레다. 뭘 하려는 거야?"
콜레다,어…… 어쩌면 수영장에 수영하러 가려던 걸지도?
콜레다,"봐봐, 클루카이도 거기서 수영하는 거 되게 좋아하잖아."
지휘관,클루카이랑 한판 붙어보려고?
콜레다,"안 될 것도 없지, 맨날 보이마스티나랑 레슬링만 하는 것도 이젠 좀 질렸거든."
지휘관,"알았어, 그럼 좋을 대로 해."
콜레다,"그럼, 이따 보자, 지휘관."
지휘관,……난 수영장에 갈 생각 없는데.
콜레다,"후후, 그게 무슨 상관이야. 이 옷차림을 마음에 들어 하는 걸 보니 나도 슬슬 기대가 되기 시작했어."
