그로자,"리스트는 다 정리했지만, 구매하는 일이 문제네."
클루카이,"응, 내가 미슈티랑 빨리 구입하고 돌아올게."
미슈티,"그래 그래, 파티가 시작되면 난 어디 구석에서 하룻밤 동안 누워 있을 거야."
미슈티,"아 맞다, 파티 날에는 일과 훈련 안 해도 되겠지?"
클루카이,꿈 깨.
미슈티,아랐써...
미슈티,그럼 오늘 임무로 일과 훈련한 셈으로 치는 건 돼?
클루카이,좋아.
미슈티,아싸! 다행히 리스트의 물건이 대단히 많은 편은 아니네...
미슈티,"잠깐만, 빈백 소파는 누가 시킨 거지, 아… 나도 끌리는걸."
클루카이,그거 네가 시킨 게 아니야?
미슈티,내가 신청한 선물은 빈백 소파랑 비교하면 초라하다고.
클루카이,갖고 싶다고 반드시 가질 수 있는 건 아니야.
미슈티,"추첨으로 주는 건 나도 알아. 그치만 빈백 소파는 크기가 있으니까, 딱 봐도 어느 포장 안에 있을지 보이잖아."
미슈티,모처럼 좋은 작업을 분담받았네...
미슈티,"아, 이건 나한테 주는 포상인 거지, 클루카이? 고마워."
